variant,motion_floor,stability_floor,energy_floor,label_churn_fraction,margin_median,margin_p10,margin_p05,margin_le_0p001_fraction,margin_le_0p01_fraction,frozen_score_sacrifice_mean,frozen_score_sacrifice_p95,frozen_score_sacrifice_max,frozen_score_sacrifice_le_0p01_fraction
baseline,0.0,0.0,0.0,0.0,0.0522120146137286,0.0035839598986071317,0.0015430588960808915,0.02736842105263158,0.21894736842105264,0.0,0.0,0.0,1.0
q10,0.011762746269945445,0.0010260361755961567,0.2925537248772002,0.056,0.04991261040520185,0.003782970827394658,0.0015172919411622022,0.02736842105263158,0.2168421052631579,0.013484789793129047,0.011251963978199886,0.7043996511078876,0.948
q25,0.02167849596064464,0.0017236340977177383,0.37346787847361185,0.074,0.048983243041614735,0.0033021245449575253,0.0014367098026742576,0.02526315789473684,0.2063157894736842,0.015368290388808683,0.04816628244593287,0.7043996511078876,0.938
q50,0.046107194951423125,0.004373205023359528,0.740798652443857,0.122,0.040100487387678733,0.003242369057012288,0.0015044206247838837,0.02736842105263158,0.2231578947368421,0.01895083517086447,0.10397799637688934,0.7043996511078876,0.896
