variant,context_id,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,shadow_score,best_second_margin,frozen_beta_name,changed_from_frozen,frozen_oracle_score,shadow_beta_frozen_score,frozen_score_sacrifice
baseline,low_friction,wm020_ws040_we040,grid,0.2,0.4,0.4,lm000_ls080_le020,0.202,0.07332359658451498,lm000_ls080_le020,0,0.202,0.202,0.0
baseline,low_friction,wm020_ws020_we060,grid,0.2,0.2,0.6,lm080_ls020_le000,0.14779885211231392,0.054201147887686096,lm080_ls020_le000,0,0.14779885211231392,0.14779885211231392,0.0
baseline,low_friction,wm020_ws000_we080,grid,0.2,0.0,0.8,lm080_ls020_le000,0.18411477996040793,0.017885220039592087,lm080_ls020_le000,0,0.18411477996040793,0.18411477996040793,0.0
baseline,low_friction,wm000_ws100_we000,grid,0.0,1.0,0.0,lm000_ls080_le020,0.0,0.17366558340806704,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,low_friction,wm000_ws080_we020,grid,0.0,0.8,0.2,lm000_ls080_le020,0.0,0.20337556897748965,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,low_friction,wm000_ws060_we040,grid,0.0,0.6,0.4,lm000_ls080_le020,0.0,0.30541821524684704,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,low_friction,wm000_ws040_we060,grid,0.0,0.4,0.6,lm000_ls080_le020,0.0,0.29375211653125005,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,low_friction,wm000_ws020_we080,grid,0.0,0.2,0.8,lm000_ls080_le020,0.0,0.1853221481300519,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,low_friction,wm000_ws000_we100,grid,0.0,0.0,1.0,lm000_ls080_le020,0.0,0.22984336145944873,lm000_ls080_le020,0,0.0,0.0,0.0
baseline,low_friction,balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm060_ls040_le000,0.22976538587806483,0.015048916411702917,lm060_ls040_le000,0,0.22976538587806483,0.22976538587806483,0.0
baseline,low_friction,motion,canonical,0.7,0.15,0.15,lm080_ls020_le000,0.1108266857107301,0.030521264207018867,lm080_ls020_le000,0,0.1108266857107301,0.1108266857107301,0.0
baseline,low_friction,stability,canonical,0.15,0.7,0.15,lm000_ls080_le020,0.1515,0.001798827990379781,lm000_ls080_le020,0,0.1515,0.1515,0.0
baseline,low_friction,energy,canonical,0.15,0.15,0.7,lm000_ls080_le020,0.1515,0.010656015338120495,lm000_ls080_le020,0,0.1515,0.1515,0.0
baseline,rough_seed_13,wm100_ws000_we000,grid,1.0,0.0,0.0,lm100_ls000_le000,0.0,0.08012978166580986,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,rough_seed_13,wm080_ws020_we000,grid,0.8,0.2,0.0,lm080_ls020_le000,0.1072576846278984,0.05634357274316158,lm080_ls020_le000,0,0.1072576846278984,0.1072576846278984,0.0
baseline,rough_seed_13,wm080_ws000_we020,grid,0.8,0.0,0.2,lm080_ls020_le000,0.1438770625572425,0.030023974709252055,lm080_ls020_le000,0,0.1438770625572425,0.1438770625572425,0.0
baseline,rough_seed_13,wm060_ws040_we000,grid,0.6,0.4,0.0,lm040_ls060_le000,0.12927293943228274,0.08444906564860505,lm040_ls060_le000,0,0.12927293943228274,0.12927293943228274,0.0
baseline,rough_seed_13,wm060_ws020_we020,grid,0.6,0.2,0.2,lm080_ls020_le000,0.1447740629231317,0.011754787538795552,lm080_ls020_le000,0,0.1447740629231317,0.1447740629231317,0.0
baseline,rough_seed_13,wm060_ws000_we040,grid,0.6,0.0,0.4,lm020_ls060_le020,0.2618352378713939,0.02512552306818211,lm020_ls060_le020,0,0.2618352378713939,0.2618352378713939,0.0
baseline,rough_seed_13,wm040_ws060_we000,grid,0.4,0.6,0.0,lm040_ls060_le000,0.08618195962152184,0.23400436591235532,lm040_ls060_le000,0,0.08618195962152184,0.08618195962152184,0.0
baseline,rough_seed_13,wm040_ws040_we020,grid,0.4,0.4,0.2,lm040_ls060_le000,0.15610220709746428,0.058879366447623066,lm040_ls060_le000,0,0.15610220709746428,0.15610220709746428,0.0
baseline,rough_seed_13,wm040_ws020_we040,grid,0.4,0.2,0.4,lm040_ls020_le040,0.21776439638815032,0.00798036734874974,lm040_ls020_le040,0,0.21776439638815032,0.21776439638815032,0.0
baseline,rough_seed_13,wm040_ws000_we060,grid,0.4,0.0,0.6,lm060_ls000_le040,0.2248266004422157,0.04581721899309399,lm060_ls000_le040,0,0.2248266004422157,0.2248266004422157,0.0
baseline,rough_seed_13,wm020_ws080_we000,grid,0.2,0.8,0.0,lm040_ls060_le000,0.04309097981076092,0.1601573511312055,lm040_ls060_le000,0,0.04309097981076092,0.04309097981076092,0.0
baseline,rough_seed_13,wm020_ws060_we020,grid,0.2,0.6,0.2,lm040_ls060_le000,0.1556755637330013,0.04726678944554452,lm040_ls060_le000,0,0.1556755637330013,0.1556755637330013,0.0
baseline,rough_seed_13,wm020_ws040_we040,grid,0.2,0.4,0.4,lm020_ls000_le080,0.20263637541512522,0.08470963663332101,lm020_ls000_le080,0,0.20263637541512522,0.20263637541512522,0.0
baseline,rough_seed_13,wm020_ws020_we060,grid,0.2,0.2,0.6,lm040_ls000_le060,0.14776604966765258,0.05306552755736585,lm040_ls000_le060,0,0.14776604966765258,0.14776604966765258,0.0
baseline,rough_seed_13,wm020_ws000_we080,grid,0.2,0.0,0.8,lm040_ls000_le060,0.13532190971765484,0.06670251017062917,lm040_ls000_le060,0,0.13532190971765484,0.13532190971765484,0.0
baseline,rough_seed_13,wm000_ws100_we000,grid,0.0,1.0,0.0,lm040_ls060_le000,0.0,0.1576017814232586,lm040_ls060_le000,0,0.0,0.0,0.0
baseline,rough_seed_13,wm000_ws080_we020,grid,0.0,0.8,0.2,lm020_ls000_le080,0.12608753011067786,0.029161390257860464,lm020_ls000_le080,0,0.12608753011067786,0.12608753011067786,0.0
baseline,rough_seed_13,wm000_ws060_we040,grid,0.0,0.6,0.4,lm020_ls000_le080,0.09457327879809715,0.2159245619389795,lm020_ls000_le080,0,0.09457327879809715,0.09457327879809715,0.0
baseline,rough_seed_13,wm000_ws040_we060,grid,0.0,0.4,0.6,lm020_ls000_le080,0.06305902748551644,0.22979343007320152,lm020_ls000_le080,0,0.06305902748551644,0.06305902748551644,0.0
baseline,rough_seed_13,wm000_ws020_we080,grid,0.0,0.2,0.8,lm020_ls000_le080,0.03154477617293572,0.11488145260642327,lm020_ls000_le080,0,0.03154477617293572,0.03154477617293572,0.0
baseline,rough_seed_13,wm000_ws000_we100,grid,0.0,0.0,1.0,lm040_ls000_le060,0.0,0.00308301089585534,lm040_ls000_le060,0,0.0,0.0,0.0
baseline,rough_seed_13,balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm080_ls020_le000,0.2407611954219468,0.00053251138278812,lm080_ls020_le000,0,0.2407611954219468,0.2407611954219468,0.0
baseline,rough_seed_13,motion,canonical,0.7,0.15,0.15,lm080_ls020_le000,0.10877888823607601,0.043192379619175325,lm080_ls020_le000,0,0.10877888823607601,0.10877888823607601,0.0
baseline,rough_seed_13,stability,canonical,0.15,0.7,0.15,lm040_ls060_le000,0.11675667279975097,0.03584019550352288,lm040_ls060_le000,0,0.11675667279975097,0.11675667279975097,0.0
baseline,rough_seed_13,energy,canonical,0.15,0.15,0.7,lm040_ls000_le060,0.11082453725073943,0.04093089220312776,lm040_ls000_le060,0,0.11082453725073943,0.11082453725073943,0.0
baseline,rough_seed_7,wm100_ws000_we000,grid,1.0,0.0,0.0,lm100_ls000_le000,0.0,0.04346468193076507,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,rough_seed_7,wm080_ws020_we000,grid,0.8,0.2,0.0,lm080_ls020_le000,0.0800047950810735,0.006689858030120691,lm080_ls020_le000,0,0.0800047950810735,0.0800047950810735,0.0
baseline,rough_seed_7,wm080_ws000_we020,grid,0.8,0.0,0.2,lm000_ls100_le000,0.13792513460456318,0.017969505503513533,lm000_ls100_le000,0,0.13792513460456318,0.13792513460456318,0.0
baseline,rough_seed_7,wm060_ws040_we000,grid,0.6,0.4,0.0,lm080_ls020_le000,0.15957924677669388,0.013004396618231245,lm080_ls020_le000,0,0.15957924677669388,0.15957924677669388,0.0
baseline,rough_seed_7,wm060_ws020_we020,grid,0.6,0.2,0.2,lm000_ls100_le000,0.13855825830360913,0.01846369111832316,lm000_ls100_le000,0,0.13855825830360913,0.13855825830360913,0.0
baseline,rough_seed_7,wm060_ws000_we040,grid,0.6,0.0,0.4,lm040_ls040_le020,0.19151342886230452,0.0372083502763188,lm040_ls040_le020,0,0.19151342886230452,0.19151342886230452,0.0
baseline,rough_seed_7,wm040_ws060_we000,grid,0.4,0.6,0.0,lm080_ls020_le000,0.23915369847231424,0.019318935206341842,lm080_ls020_le000,0,0.23915369847231424,0.23915369847231424,0.0
