variant,quantile,motion_floor,stability_floor,energy_floor,motion_positive_contexts,stability_positive_contexts,energy_positive_contexts
q10,0.1,0.011762746269945445,0.0010260361755961567,0.2925537248772002,19,19,19
q25,0.25,0.02167849596064464,0.0017236340977177383,0.37346787847361185,19,19,19
q50,0.5,0.046107194951423125,0.004373205023359528,0.740798652443857,19,19,19
