descriptor,variant,test_context,nearest_context,preference_name,transferred_beta,shadow_oracle_beta,exact,shadow_oracle_score,transferred_score,score_excess
v1,baseline,rough_seed_15,rough_seed_28,wm080_ws000_we020,lm040_ls060_le000,lm020_ls060_le020,0,0.05259529022903838,0.097101400218543,0.04450610998950461
v1,baseline,rough_seed_15,rough_seed_28,wm060_ws040_we000,lm000_ls100_le000,lm060_ls040_le000,0,0.13357670966840973,0.3930286152356917,0.259451905567282
v1,baseline,rough_seed_15,rough_seed_28,wm060_ws020_we020,lm040_ls060_le000,lm060_ls040_le000,0,0.0989941531530156,0.10779458300918354,0.00880042985616794
v1,baseline,rough_seed_15,rough_seed_28,wm060_ws000_we040,lm000_ls100_le000,lm000_ls080_le020,0,0.10375638555318287,0.34205622700826066,0.2382998414550778
v1,baseline,rough_seed_15,rough_seed_28,wm040_ws060_we000,lm000_ls100_le000,lm060_ls040_le000,0,0.19963632702685763,0.5893283339582712,0.3896920069314136
v1,baseline,rough_seed_15,rough_seed_28,wm040_ws040_we020,lm000_ls100_le000,lm060_ls040_le000,0,0.13425019216796522,0.3946348525505255,0.26038466038256025
v1,baseline,rough_seed_15,rough_seed_28,wm040_ws020_we040,lm000_ls100_le000,lm000_ls080_le020,0,0.11883651661357011,0.3439148028786758,0.2250782862651057
v1,baseline,rough_seed_15,rough_seed_28,wm040_ws000_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.06917092370212191,0.5128697516171247,0.44369882791500276
v1,baseline,rough_seed_15,rough_seed_28,wm020_ws080_we000,lm000_ls100_le000,lm000_ls060_le040,0,0.16906897526761827,0.7856280526808509,0.6165590774132326
v1,baseline,rough_seed_15,rough_seed_28,wm020_ws060_we020,lm000_ls100_le000,lm020_ls040_le040,0,0.13665082942840379,0.5909345712731051,0.4542837418447013
v1,baseline,rough_seed_15,rough_seed_28,wm020_ws040_we040,lm000_ls100_le000,lm060_ls040_le000,0,0.19653083135451732,0.39624108986535933,0.199710258510842
v1,baseline,rough_seed_15,rough_seed_28,wm020_ws020_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.11849408629821308,0.5147283274875398,0.39623424118932676
v1,baseline,rough_seed_15,rough_seed_28,wm020_ws000_we080,lm000_ls100_le000,lm000_ls080_le020,0,0.034585461851060956,0.6836832762259888,0.6490978143749279
v1,baseline,rough_seed_15,rough_seed_28,wm000_ws100_we000,lm000_ls100_le000,lm000_ls040_le060,0,0.0,0.9819277714034305,0.9819277714034305
v1,baseline,rough_seed_15,rough_seed_28,wm000_ws080_we020,lm000_ls100_le000,lm000_ls040_le060,0,0.0837719963357539,0.7872342899956847,0.7034622936599307
v1,baseline,rough_seed_15,rough_seed_28,wm000_ws060_we040,lm000_ls100_le000,lm000_ls040_le060,0,0.1675439926715078,0.5925408085879389,0.4249968159164311
v1,baseline,rough_seed_15,rough_seed_28,wm000_ws040_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.23630331196571208,0.516586903357955,0.2802835913922429
