terrain,seed,objective,shared_steps,advantage_u30,advantage_u40,advantage_change_u40_minus_u30,posture_advantage_u30,posture_advantage_u40,traction_advantage_u30,traction_advantage_u40,u30_balanced_steps,u30_specialized_steps,u40_balanced_steps,u40_specialized_steps
flat,27100,motion,33,0.002867114304393542,0.005704993931646196,0.002837879627252654,0.00016210790568894212,0.00022310472022513995,7.303717719130977e-05,8.861767517060934e-05,35,35,34,33
flat,27100,stability,34,-0.00020565520870394725,-0.00023817752454902488,-3.252231584507763e-05,-0.00020565520870394725,-0.00023817752454902488,0.00013352688483713447,0.00011176557070325765,35,36,34,35
flat,27100,energy,34,0.007728686248200556,0.010770763839782704,0.0030420775915821485,-9.955414493751334e-05,-0.00025218301044055424,7.960211227500463e-05,4.411997723230833e-05,35,36,34,34
flat,27101,motion,33,0.0036120501734601407,0.006339264551937035,0.0027272143784768943,0.00034537909664739304,0.00023534646045657477,1.0259231584737157e-05,5.3432263324599714e-05,35,35,34,33
flat,27101,stability,34,-2.9174383382988417e-05,-5.694433137960579e-05,-2.7769947996617375e-05,-2.9174383382988417e-05,-5.694433137960579e-05,5.992287145591157e-05,9.946768146502786e-05,35,36,34,35
flat,27101,energy,34,0.0036481664556067273,0.004600003114109019,0.0009518366585022919,9.50970279250795e-05,-0.00016969205148163573,2.387983007668239e-05,2.8782450172287017e-05,35,36,34,34
flat,27102,motion,33,0.0031783999738481394,0.005637799233907115,0.0024593992600589754,0.00015116220775821324,0.0001844195692035002,-3.476056222349714e-05,9.162617311450822e-05,35,35,34,33
flat,27102,stability,34,-0.0003155836554502144,-0.00015969114372884306,0.00015589251172137136,-0.0003155836554502144,-0.00015969114372884306,6.98781672670522e-05,8.156728118225483e-05,35,36,34,35
flat,27102,energy,34,-0.0012204224929968088,0.003079785436732041,0.00430020792972885,-0.00012119455108268624,-0.00021823495168576783,4.2732183806221515e-05,3.9296436036097065e-05,35,36,34,34
low_friction,27200,motion,34,0.004841689327759108,0.007308556148062223,0.002466866820303115,0.0003148806998896272,0.00028427069549567287,0.0013065660913566535,-0.007700884248687645,36,35,35,34
low_friction,27200,stability,35,0.01244195153851324,0.003808148116631521,-0.00863380342188172,-0.0002923527500869553,-0.0011690891747744396,0.013587596110437083,0.0049085537130649365,36,36,35,35
low_friction,27200,energy,35,-0.0024274482202290004,-0.003693107331791401,-0.0012656591115624005,-0.00013060856867337135,-0.00040822128916120394,0.008945063695352862,0.00036817220282617247,36,36,35,35
low_friction,27201,motion,34,0.0034986575340743287,0.007725974292947052,0.004227316758872723,0.00033838836436245884,0.0005852058964772137,0.00040025432424897756,-0.0016190269389997347,35,35,35,34
low_friction,27201,stability,35,0.00173798589594501,0.009093891181490732,0.007355905285545722,-0.00026933496877899754,-0.0010081649183722747,0.0019513002829624343,0.009661298953994424,35,36,35,35
low_friction,27201,energy,35,0.005711973590250441,0.002773448745357121,-0.00293852484489332,-0.00024295119155975063,-0.0003075564072132445,0.003467030410703481,0.00716926309011251,35,36,35,35
low_friction,27202,motion,34,0.004156471970002601,0.007389780526851797,0.003233308556849196,0.00045742298099963295,0.0004789363978143866,-0.0024065937620978695,-0.0006351856312866166,36,35,35,34
low_friction,27202,stability,35,0.014105433318765626,-0.004917321764105448,-0.019022755082871073,-0.0004228399727697896,-0.0002796414860770421,0.015071315327563686,-0.0048275388029381805,36,36,35,35
low_friction,27202,energy,35,-0.01064567995352761,0.0058363343142799895,0.0164820142678076,-0.0002145828664435242,-0.00036035559662610933,0.016487083282805626,0.006450489815365751,36,36,35,35
rough,7,motion,35,0.005018443293048874,0.00815625114272267,0.003137807849673796,-0.0043248503517671205,-0.004103776094048869,0.000821650763312567,-0.00024472211320554146,37,36,36,35
rough,7,stability,36,0.006182027975875012,0.002173352642224499,-0.004008675333650513,0.006182027975875012,0.002173352642224499,0.0007327584110030914,0.0005756708912568013,37,37,36,37
rough,7,energy,36,-0.011132502092456531,0.014696236219195913,0.025828738311652444,-0.0038898517590443132,-0.0031939861931468,-0.0006637681485975409,0.00029238555142462714,37,37,36,37
rough,13,motion,34,0.005147054269426188,0.0069945874177186895,0.0018475331482925017,-0.006822740615846978,-0.0010148101492185313,-0.0015400215813605976,0.00044491907343381393,35,34,35,34
rough,13,stability,35,0.011462053142230921,-9.054533658348074e-06,-0.01147110767588927,0.011466580968157503,5.528141449365198e-05,5.3724709749848956e-05,0.0017995166852350529,35,36,35,35
rough,13,energy,35,0.01999327801152284,0.04144364212180984,0.021450364110287,0.0007656715725481433,0.0053944222227639005,-0.0031624675080081455,0.0019422318371622197,35,35,35,36
rough,15,motion,33,0.0003282002615962176,0.008961898316281136,0.008633698054684918,0.0026407898130972607,-0.003786444174103787,-0.0002022578840690948,-0.001958124552393034,36,36,35,33
rough,15,stability,35,0.0013924041480375682,-0.0021195902055569094,-0.0035119943535944775,0.0014658648910756134,-0.002223010708389095,2.541577915073437e-05,-0.0010465584534112174,36,36,35,35
rough,15,energy,35,0.006305145876064011,-0.007289919703155068,-0.013595065579219079,0.00011936621805608283,0.0011206135472979495,-0.0017268896294932055,-0.0010836559204108515,36,37,35,35
