terrain,gate_s,median_rms_mps,median_mean_mps,median_contact_time_s
flat,0.02,0.009378561827997052,0.0022180372109363166,20.37999999999546
flat,0.03,0.006175141181056592,0.0013587542695326176,19.87999999999549
flat,0.04,0.00581824838456948,0.001099693760617146,19.37999999999552
flat,0.05,0.005848399043265176,0.0010332905309059393,18.87999999999555
flat,0.06,0.005922085136612722,0.0010286721023465002,18.379999999995583
flat,0.08,0.006089127339200006,0.0010678406721579352,17.379999999995643
flat,0.1,0.006271212013209844,0.00111022869408063,16.379999999995704
low_friction,0.02,0.11902628381981945,0.03967708890062982,19.717999999995655
low_friction,0.03,0.09596600690713862,0.030992106880056967,19.103999999995683
low_friction,0.04,0.08224310602447953,0.02553190741722653,18.523999999995713
low_friction,0.05,0.07538224049711864,0.022316673946865262,17.969999999995743
low_friction,0.06,0.07226011071607971,0.020500686409408577,17.443999999995775
low_friction,0.08,0.0706615420393302,0.01898117701267039,16.403999999995836
low_friction,0.1,0.06984732251010622,0.01861381190891172,15.383999999995897
rough,0.02,0.02078245613657584,0.005261654307807523,19.4319999999963
rough,0.03,0.015379411199996319,0.003451877587194262,18.713999999996346
rough,0.04,0.01339570455677433,0.002515701439808588,18.073999999996385
rough,0.05,0.010413196820892078,0.0019408459930252773,17.471999999996424
rough,0.06,0.008063684380736501,0.0016152304192174152,16.89399999999646
rough,0.08,0.0074858728262474665,0.0014542989209480166,15.833999999996529
rough,0.1,0.007712373609339501,0.001391294764498161,14.835999999996591
