policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy
beta_conditioned,results/icra27/phase1a_beta_conditioned_v1_seed27027/m7_ppo_beta_conditioned_final.pt,tracer_cost_v2,tracer_cost_v2,rough_test_seed2,rough_perlin,2,success,True,5,True,False,0,40,1.8059377480430905,0.13930810245859754,1.666629645584493,8.166000000000004,213.46131684621986,8.165999999999906,0.24493151842678768,0.13005387276688896,0.6106694945587483,9.797260737071507,5.202154910675558,24.426779782349932,0.2040547852585699,1.197405383206361,0.013157245315510165,0.09440065574971519,0.03713192045688629,0.21457591652870178,-0.0008994338073534891,0.04107123093563132,0.010204913097550162,0.19982011323852927,0.016428492374252528,0.3001376252363843,0.06,0.19982011323852927,0.016428492374252528,0.3001376252363843,0.06,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333
beta_conditioned,results/icra27/phase1a_beta_conditioned_v1_seed27027/m7_ppo_beta_conditioned_final.pt,tracer_cost_v2,tracer_cost_v2,rough_test_seed2,rough_perlin,2,success,True,5,True,False,0,40,1.8094419729860103,0.1264330787724585,1.6830088942135517,8.148000000000003,215.30851036781735,8.147999999999893,0.24179078172970084,0.12839056011572464,0.615953940241236,9.671631269188033,5.135622404628985,24.638157609649436,0.20656737461623936,1.2099739219419656,0.012084854382740177,0.09379531147807729,0.03391497582197189,0.21912655234336853,0.005888202002097387,0.04182585535309045,0.01044036974926712,0.20117764040041947,0.016730342141236178,0.3001406036232656,0.06,0.20117764040041947,0.016730342141236178,0.3001406036232656,0.06,motion,0.7,0.15,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v1_seed27027/m7_ppo_beta_conditioned_final.pt,tracer_cost_v2,tracer_cost_v2,rough_test_seed2,rough_perlin,2,success,True,5,True,False,0,40,1.8059377480430905,0.10536055478023222,1.7005771932628582,8.161999999999999,219.295690257212,8.161999999999907,0.23951260224195797,0.13677162452117464,0.6273604525018415,9.58050408967832,5.470864980846986,25.09441810007366,0.20838991820643363,1.2310161784537628,0.013280614568047577,0.09681321131959778,0.04075378179550171,0.22630776464939117,0.011822221206966788,0.037427480973565255,0.032735446956939994,0.20236444424139335,0.014970992389426101,0.3006547089391388,0.06,0.20236444424139335,0.014970992389426101,0.3006547089391388,0.06,stability,0.15,0.7,0.15
beta_conditioned,results/icra27/phase1a_beta_conditioned_v1_seed27027/m7_ppo_beta_conditioned_final.pt,tracer_cost_v2,tracer_cost_v2,rough_test_seed2,rough_perlin,2,success,True,5,True,False,0,41,1.8059377480430905,0.14766169113635713,1.6582760569067334,8.356000000000003,235.76702851372306,8.35399999999997,0.2518999737364727,0.12999502509569355,0.6580308366337578,10.32789892319538,5.329796028923435,26.97926430198407,0.19848002101082185,1.2915462692070074,0.012955161224545712,0.09435195850990169,0.03220467269420624,0.19972185790538788,-0.01846689897413343,0.043987980839319346,-0.014074580699188361,0.19630662020517334,0.017595192335727736,0.29914235072657636,0.06,0.19630662020517334,0.017595192335727736,0.29914235072657636,0.06,energy,0.15,0.15,0.7
