terrain,mission,unique_pair_constraint_count,shared_exact_class,shared_exact_rho,support_nonempty,support_area,support_area_fraction_of_simplex,support_uniform_mean_motion,support_uniform_mean_stability,support_uniform_mean_energy,support_motion_dominant_fraction,support_stability_dominant_fraction,support_energy_dominant_fraction,boltzmann_mean_motion,boltzmann_mean_stability,boltzmann_mean_energy,support_vs_boltzmann_l1
flat,efficient,93,strict,9.558452379088145e-05,1,0.00406852062270635,0.0081370412454127,0.010348511693711307,0.08736673646357933,0.9022847518427094,0.0,0.0,1.0,0.07796800676941328,0.15545772171903446,0.7665742715115506,0.27142096066231597
flat,fast,78,unsupported,-0.00023056820628854642,0,0.0,0.0,,,,,,,0.44639819493710386,0.4680744861151208,0.085527318947776,
flat,stable,97,strict,7.775244355543147e-06,1,4.3943301070412805e-05,8.788660214082561e-05,0.009717447977063384,0.9862389149105077,0.004043637112428833,0.0,1.0000000000000395,0.0,0.7570281971894013,0.176001059807322,0.066970743003277,1.6204757102063718
low_friction,efficient,93,strict,0.00037314175556957263,1,0.018387694695527153,0.036775389391054306,0.026815724174826548,0.15237904261484453,0.8208052332103288,0.0,0.0,1.0,0.08027692612603325,0.15056894793242684,0.7691541259415382,0.10692240390241503
low_friction,fast,89,unsupported,-0.000331613255970264,0,0.0,0.0,,,,,,,0.6429968552006198,0.22203137243569449,0.134971772363686,
low_friction,stable,89,strict,5.8031211844351676e-06,1,7.778574516830328e-06,1.5557149033660657e-05,0.003091643262702676,0.9945572022717473,0.0023511544655500094,0.0,1.0,0.0,0.47883178758615735,0.47436693528937524,0.046801277124465565,1.0403805339647423
rough_perlin,efficient,80,strict,8.239872473225773e-08,1,1.4436838978011237e-09,2.8873677956022474e-09,7.021834720142657e-06,4.568872050427405e-05,0.9999472894447756,0.0,0.0,1.0,0.07865730524075452,0.12850459017787574,0.7928381045813707,0.41421836972681075
rough_perlin,fast,90,unsupported,-0.0016943076365591803,0,0.0,0.0,,,,,,,0.7871026706949121,0.14443620828035073,0.06846112102473689,
rough_perlin,stable,76,strict,0.00010925591922485499,1,0.0003456372011287571,0.0006912744022575142,0.01134765179614906,0.9770593725231204,0.011592975680730588,0.0,1.0,0.0,0.0855829046851964,0.8597907679279034,0.054626327386898696,0.23453720919043236
