context_a,context_b,height_patch_rms_distance_m,response_distance
rough_seed_13,rough_seed_7,0.10339591134171779,1.4341820472767308
rough_seed_13,rough_seed_15,0.037554269602732386,0.4713227921855785
rough_seed_13,rough_seed_0,0.07642706377497706,1.2651096826415424
rough_seed_13,rough_seed_5,0.10231357562813656,1.780282784227827
rough_seed_13,rough_seed_11,0.07083308794318366,1.7100794337514933
rough_seed_13,rough_seed_4,0.062328231496847755,2.568066956054809
rough_seed_13,rough_seed_25,0.08433130220589723,2.6763336590434483
rough_seed_13,rough_seed_12,0.07010838331438612,1.350734802911964
rough_seed_13,rough_seed_6,0.043662085971266425,2.7127648720130764
rough_seed_13,rough_seed_29,0.0772445707313957,1.3822889061663162
rough_seed_13,rough_seed_18,0.03372071134728919,3.5471231903110105
rough_seed_13,rough_seed_10,0.1384558861346414,2.6302301513803665
rough_seed_13,rough_seed_8,0.05823625558394976,1.458867578597186
rough_seed_13,rough_seed_22,0.08983179612571986,1.6799067831950012
rough_seed_13,rough_seed_20,0.09370986356446254,2.4807798881244887
rough_seed_13,rough_seed_28,0.11202029542294618,2.622296686036589
rough_seed_13,rough_seed_17,0.11028263206485625,2.557129146041477
rough_seed_7,rough_seed_15,0.0808750267422678,1.4880700806894134
rough_seed_7,rough_seed_0,0.049438902037132734,0.3747533706272079
rough_seed_7,rough_seed_5,0.03609859271508346,0.6739601373323555
rough_seed_7,rough_seed_11,0.055894325103220004,0.39299560940917816
rough_seed_7,rough_seed_4,0.061047722732020006,1.2784333543425932
rough_seed_7,rough_seed_25,0.047894275913025426,1.317326168662141
rough_seed_7,rough_seed_12,0.05074236426727532,0.16234466306872222
rough_seed_7,rough_seed_6,0.0671152178158672,1.4162155067798254
rough_seed_7,rough_seed_29,0.06145811103050608,0.25108880716712934
rough_seed_7,rough_seed_18,0.08575292249245992,2.3689751445279503
rough_seed_7,rough_seed_10,0.06860036447089672,1.2396564753171262
rough_seed_7,rough_seed_8,0.0635939588753684,0.23847674845050987
rough_seed_7,rough_seed_22,0.05557682283955524,0.27377433832313924
rough_seed_7,rough_seed_20,0.04347150147869212,1.2277577142291805
rough_seed_7,rough_seed_28,0.05802666406907468,1.4368689923894433
rough_seed_7,rough_seed_17,0.04258267495886791,1.142708647097909
rough_seed_15,rough_seed_0,0.05669084047145886,1.3615413399285008
rough_seed_15,rough_seed_5,0.08665884755892296,1.7862550397471537
rough_seed_15,rough_seed_11,0.0600628236271564,1.8139362622802158
rough_seed_15,rough_seed_4,0.05714602044200634,2.577222798960801
rough_seed_15,rough_seed_25,0.0740383703355936,2.754390472317289
rough_seed_15,rough_seed_12,0.06012931002212178,1.4195028235992113
rough_seed_15,rough_seed_6,0.03878671041644496,2.7345294682323544
rough_seed_15,rough_seed_29,0.06846776055470176,1.4360339293334117
rough_seed_15,rough_seed_18,0.036199740720035324,3.498371685000848
rough_seed_15,rough_seed_10,0.12386572936506,2.642482807366001
rough_seed_15,rough_seed_8,0.05301790530377736,1.5513403611215224
rough_seed_15,rough_seed_22,0.08440833871678667,1.7211484012829148
rough_seed_15,rough_seed_20,0.0835921282351227,2.46959335741237
rough_seed_15,rough_seed_28,0.10204535695934625,2.664502597408887
rough_seed_15,rough_seed_17,0.09341484775299176,2.591363420568395
rough_seed_0,rough_seed_5,0.052084018751002215,0.6254627059268777
rough_seed_0,rough_seed_11,0.04038625757970609,0.5127574568496213
rough_seed_0,rough_seed_4,0.049938003996050584,1.3413734512213333
rough_seed_0,rough_seed_25,0.04252473083930546,1.428192794080428
rough_seed_0,rough_seed_12,0.047155945476751095,0.27768189611810135
rough_seed_0,rough_seed_6,0.04591590774595386,1.4779148556661192
rough_seed_0,rough_seed_29,0.037167413905818604,0.48638247876692364
rough_seed_0,rough_seed_18,0.05776420943346626,2.3975114390569785
rough_seed_0,rough_seed_10,0.08399645246015305,1.3920245219388527
rough_seed_0,rough_seed_8,0.04544837682613635,0.4367846270789356
rough_seed_0,rough_seed_22,0.057323661847246285,0.579001291954227
rough_seed_0,rough_seed_20,0.053762547856774,1.2791574584011105
rough_seed_0,rough_seed_28,0.07190288366605663,1.4208136130457898
rough_seed_0,rough_seed_17,0.04659301244261575,1.322736112472435
rough_seed_5,rough_seed_11,0.03996691193994524,0.6411783496001223
rough_seed_5,rough_seed_4,0.05159437338913628,0.818907361710852
rough_seed_5,rough_seed_25,0.028947176534290176,1.1025331843962476
rough_seed_5,rough_seed_12,0.041878014415764074,0.689152876769412
rough_seed_5,rough_seed_6,0.0682511989775599,0.9775899210907028
rough_seed_5,rough_seed_29,0.056566147331720086,0.8737748117439709
rough_seed_5,rough_seed_18,0.0835337580176882,1.8020662039491888
rough_seed_5,rough_seed_10,0.050082987077013155,0.9776519417093453
rough_seed_5,rough_seed_8,0.05968500502686052,0.8098623301252443
rough_seed_5,rough_seed_22,0.03301812436942739,0.709128399828954
rough_seed_5,rough_seed_20,0.027642678154035313,0.7203372510831788
rough_seed_5,rough_seed_28,0.0330758664389332,0.916361243014295
rough_seed_5,rough_seed_17,0.033789025158102975,0.9916882943030955
rough_seed_11,rough_seed_4,0.03181431844066288,1.0615316144729752
rough_seed_11,rough_seed_25,0.025296212376063915,0.9965342033356789
rough_seed_11,rough_seed_12,0.027320876941484443,0.40642402276124107
rough_seed_11,rough_seed_6,0.043120196840953855,1.1705144121541777
rough_seed_11,rough_seed_29,0.043041451976870294,0.5024219076603029
rough_seed_11,rough_seed_18,0.05118172040636193,2.1860564878126407
rough_seed_11,rough_seed_10,0.07349022354130731,1.0027106220116253
rough_seed_11,rough_seed_8,0.04008679397122445,0.3420779819311569
rough_seed_11,rough_seed_22,0.03934310999451752,0.31521414872701464
rough_seed_11,rough_seed_20,0.04067884817310736,1.0533442960202686
rough_seed_11,rough_seed_28,0.05047730477466117,1.1907572204971208
rough_seed_11,rough_seed_17,0.04980612280430473,0.8864208403850359
rough_seed_4,rough_seed_25,0.04154973505270932,0.577964262557123
rough_seed_4,rough_seed_12,0.03840198147530775,1.330102828701186
rough_seed_4,rough_seed_6,0.03297756637254447,0.18839727875211712
rough_seed_4,rough_seed_29,0.03939286473971611,1.4491208819677475
rough_seed_4,rough_seed_18,0.04152200545959041,1.1356395802017556
rough_seed_4,rough_seed_10,0.09173770740438035,0.41051128467110776
rough_seed_4,rough_seed_8,0.039151940959708656,1.3531087508046185
rough_seed_4,rough_seed_22,0.04265441141855694,1.151762673532205
rough_seed_4,rough_seed_20,0.050242003925063464,0.1825400592726643
rough_seed_4,rough_seed_28,0.06630792381361418,0.3588699358246884
rough_seed_4,rough_seed_17,0.062077345367371375,0.5694468868444912
rough_seed_25,rough_seed_12,0.027787944947119204,1.366595522224397
rough_seed_25,rough_seed_6,0.05568384540797149,0.5104329406521663
rough_seed_25,rough_seed_29,0.04453615755079258,1.4396386408416593
rough_seed_25,rough_seed_18,0.06753681886741457,1.5002383995647612
rough_seed_25,rough_seed_10,0.056823389012551864,0.40252043370005963
rough_seed_25,rough_seed_8,0.04912301339216624,1.3090219651181587
rough_seed_25,rough_seed_22,0.030869273061741885,1.1316068116654197
rough_seed_25,rough_seed_20,0.022037529572129393,0.720636304431529
rough_seed_25,rough_seed_28,0.03507217751334615,0.6940606644413542
rough_seed_25,rough_seed_17,0.037034544482949544,0.35973563079332443
rough_seed_12,rough_seed_6,0.04300666883310986,1.4643316781498932
rough_seed_12,rough_seed_29,0.0543360854537246,0.23988767946923825
rough_seed_12,rough_seed_18,0.05892965423113711,2.417003144713586
rough_seed_12,rough_seed_10,0.07415596616259917,1.3072508257114555
rough_seed_12,rough_seed_8,0.036097853572098056,0.20669200120576783
rough_seed_12,rough_seed_22,0.03611675871616553,0.3598432092742129
rough_seed_12,rough_seed_20,0.031134546424978645,1.2773798073902893
rough_seed_12,rough_seed_28,0.04731251908815646,1.461974275177087
rough_seed_12,rough_seed_17,0.05752631471593636,1.2158637563984633
rough_seed_6,rough_seed_29,0.0470616415239429,1.5791310310260551
rough_seed_6,rough_seed_18,0.029777924253508455,1.0626282745323536
rough_seed_6,rough_seed_10,0.10886787433216841,0.4184978157245382
rough_seed_6,rough_seed_8,0.027952054366840697,1.4740899834425032
rough_seed_6,rough_seed_22,0.05867923283514942,1.2775194717908156
rough_seed_6,rough_seed_20,0.06384581039950869,0.3328607241121109
rough_seed_6,rough_seed_28,0.0839851552738385,0.327577398994538
rough_seed_6,rough_seed_17,0.07576975489211135,0.5892397071425626
rough_seed_29,rough_seed_18,0.05384333108877957,2.5455070235035806
rough_seed_29,rough_seed_10,0.08938593363036287,1.3687525284660662
rough_seed_29,rough_seed_8,0.05423980008907132,0.1944678683249411
rough_seed_29,rough_seed_22,0.05395916100414154,0.3403353133545355
rough_seed_29,rough_seed_20,0.057757915954813194,1.4059364309866016
rough_seed_29,rough_seed_28,0.07348617850064186,1.6161418942596755
rough_seed_29,rough_seed_17,0.049976359651411936,1.255240698638952
rough_seed_18,rough_seed_10,0.12061588470578824,1.3616534335266708
rough_seed_18,rough_seed_8,0.048618339517994394,2.465783508864034
rough_seed_18,rough_seed_22,0.07605700217006378,2.2575929795508043
rough_seed_18,rough_seed_20,0.08003026299886394,1.1490137102438192
rough_seed_18,rough_seed_28,0.09620871053530121,1.0897287011801349
rough_seed_18,rough_seed_17,0.0882313691802799,1.5644461593399246
rough_seed_10,rough_seed_8,0.09812331028547873,1.2768607776551337
rough_seed_10,rough_seed_22,0.06731157182974051,1.0432985987981813
rough_seed_10,rough_seed_20,0.052426271380406654,0.5082190294349568
