terrain,mission,held_context_id,held_signature_count,shared_log_predictive,uniform_log_predictive,delta_log_predictive
flat,efficient,flat_train:flat:27100,3,-0.13605392727124274,-0.7962695384412518,0.660215611170009
flat,efficient,flat_train:flat:27101,2,-0.22421148647149902,-0.9669054198219476,0.7426939333504485
flat,efficient,flat_train:flat:27102,4,-0.08011736148582327,-0.756973000406455,0.6768556389206317
flat,efficient,flat_train:flat:27103,3,-0.06678914968535565,-0.7255557047453062,0.6587665550599505
flat,efficient,flat_train:flat:27104,2,-0.03465816525836152,-0.5557825329238151,0.5211243676654536
flat,efficient,flat_train:flat:27105,4,-0.0725577843157923,-0.7649469088531564,0.6923891245373641
flat,efficient,flat_train:flat:27106,4,-0.1647484562973156,-0.771772891934722,0.6070244356374064
flat,efficient,flat_train:flat:27107,3,-0.1598954013758173,-0.8654702165992815,0.7055748152234642
flat,efficient,flat_train:flat:27108,3,-0.19425374761698824,-0.83992885947674,0.6456751118597518
flat,efficient,flat_train:flat:27109,2,-0.02892848162002215,-0.5995092809495195,0.5705807993294973
flat,efficient,flat_train:flat:27110,3,-0.06463848456570946,-0.7379998790829241,0.6733613945172147
flat,efficient,flat_train:flat:27111,3,-0.07889255959944445,-0.7394436185042723,0.6605510589048279
flat,efficient,flat_train:flat:27112,4,-0.3194704467790559,-1.0344954795022985,0.7150250327232426
flat,efficient,flat_train:flat:27113,3,-0.28035516541965294,-0.8557050591944195,0.5753498937747665
flat,efficient,flat_train:flat:27114,3,-0.014219930072757236,-0.5311349146028377,0.5169149845300804
flat,efficient,flat_train:flat:27115,3,-0.0838473571707515,-0.740753410856469,0.6569060536857174
flat,efficient,flat_train:flat:27116,3,-0.1772369200722285,-0.881506089314834,0.7042691692426055
flat,efficient,flat_train:flat:27117,4,-0.08718585219080666,-0.7661560571458477,0.678970204955041
flat,fast,flat_train:flat:27100,6,-1.0850314698379584,-1.3349616451190514,0.24993017528109296
flat,fast,flat_train:flat:27101,3,-1.2362807599392969,-1.1112596768129765,-0.12502108312632032
flat,fast,flat_train:flat:27102,6,-0.41251643897475115,-1.0117632452412424,0.5992468062664913
flat,fast,flat_train:flat:27103,6,-0.45753662166311165,-1.0877846207886133,0.6302479991255017
