terrain,mission,exact_context_count,unique_signature_count,shared_exact_class,shared_exact_rho,shared_exact_beta_motion,shared_exact_beta_stability,shared_exact_beta_energy,shared_posterior_mean_motion,shared_posterior_mean_stability,shared_posterior_mean_energy,shared_posterior_entropy_norm,loo_delta_log_predictive_mean,loo_delta_log_predictive_median,loo_delta_log_predictive_min,loo_delta_log_predictive_max,loo_contexts_improved,loo_context_count
flat,efficient,18,56,strict,9.558452379088145e-05,0.0,0.0,1.0,0.07796800676941328,0.15545772171903446,0.7665742715115506,0.7952741517557661,0.6479026769493041,0.6603833350374184,0.5169149845300804,0.7426939333504485,18,18
flat,fast,18,96,unsupported,-0.00023056820628854642,0.0,0.9825155722655922,0.017484427734407813,0.44639819493710386,0.4680744861151208,0.085527318947776,0.8390356594880461,0.3359923061829209,0.30764918616239156,-0.12502108312632032,0.6802357563946222,15,18
flat,stable,18,99,strict,7.775244355543147e-06,0.0,0.9990619914123451,0.0009380085876549009,0.7570281971894013,0.176001059807322,0.066970743003277,0.7839984045031613,0.6595543570587973,0.7327863223133433,-0.5124534997379612,0.9186004116140559,17,18
low_friction,efficient,18,73,strict,0.00037314175556957263,0.0,0.0,1.0,0.08027692612603325,0.15056894793242684,0.7691541259415382,0.7961967445306273,0.6005211938731634,0.6265158912303928,0.38486677527087887,0.7580071213801235,18,18
low_friction,fast,18,92,unsupported,-0.000331613255970264,0.13140787601264883,0.7986466225209627,0.06994550146638852,0.6429968552006198,0.22203137243569449,0.134971772363686,0.8322679780966854,0.41651117862262654,0.5432808399090335,-0.15776817149636901,0.7619920926240291,16,18
low_friction,stable,18,98,strict,5.8031211844351676e-06,0.0025452552929437094,0.9956238607770557,0.0018308839300006572,0.47883178758615735,0.47436693528937524,0.046801277124465565,0.7977769927491939,0.43892255945527875,0.5495156846257504,-0.621334619203791,1.009317427213051,16,18
rough_perlin,efficient,18,81,strict,8.239872473225773e-08,0.0,0.0,1.0,0.07865730524075452,0.12850459017787574,0.7928381045813707,0.7770742745206229,0.5526348744220326,0.5004886441460343,0.16968101319939896,1.335636697464592,18,18
rough_perlin,fast,18,74,unsupported,-0.0016943076365591803,0.535089660648697,0.3472519193512501,0.11765842000005289,0.7871026706949121,0.14443620828035073,0.06846112102473689,0.7498893376641702,0.6929343868488116,0.7420706994446342,0.15640588184474724,1.3525889290082018,18,18
rough_perlin,stable,18,91,strict,0.00010925591922485499,0.010725743903604817,0.9765016733767485,0.012772582719646652,0.0855829046851964,0.8597907679279034,0.054626327386898696,0.6814531484841518,0.3772765211640359,0.27130946900764297,-0.06534563969932794,0.7876328534432815,16,18
