variant,context_id,preference_name,preference_kind,frozen_beta_name,shadow_beta_name,frozen_score_sacrifice,frozen_motion,shadow_motion,delta_motion,abs_delta_motion,abs_delta_motion_over_train_iqr,frozen_stability,shadow_stability,delta_stability,abs_delta_stability,abs_delta_stability_over_train_iqr,frozen_energy,shadow_energy,delta_energy,abs_delta_energy,abs_delta_energy_over_train_iqr,normalized_physical_l1_mean,normalized_physical_linf
q10,low_friction,wm080_ws000_we020,grid,lm080_ls020_le000,lm100_ls000_le000,0.02257498813971917,4.542541160232466,4.539224297512309,-0.0033168627201574097,0.0033168627201574097,0.020568031721569277,0.2509052680762073,0.25137314479378425,0.000467876717576976,0.000467876717576976,0.004223370351102166,110.51206006721317,110.58335893441934,0.07129886720616696,0.07129886720616696,0.005725568726232523,0.010172323599634655,0.020568031721569277
q10,low_friction,wm020_ws060_we020,grid,lm040_ls060_le000,lm020_ls080_le000,0.02426942566557766,4.547219700831385,4.550188003922176,0.0029683030907907693,0.0029683030907907693,0.018406596016044732,0.25017519271203076,0.24997079780404255,-0.00020439490798820903,0.00020439490798820903,0.001845006092169218,110.62720484327328,110.6622779661086,0.03507312283532826,0.03507312283532826,0.002816504428557008,0.0076893688455903185,0.018406596016044732
q10,low_friction,stability,canonical,lm000_ls080_le020,lm020_ls080_le000,0.001798827990379781,4.566854367627028,4.550188003922176,-0.01666636370485186,0.01666636370485186,0.10334895540938632,0.2496795992077843,0.24997079780404255,0.0002911985962582575,0.0002911985962582575,0.0026285546416772903,110.4678040997217,110.6622779661086,0.19447386638690034,0.19447386638690034,0.015616987072664873,0.04053149904124283,0.10334895540938632
q10,low_friction,energy,canonical,lm000_ls080_le020,lm080_ls020_le000,0.010656015338120495,4.566854367627028,4.542541160232466,-0.02431320739456133,0.02431320739456133,0.15076741581897546,0.2496795992077843,0.2509052680762073,0.0012256688684229855,0.0012256688684229855,0.01106371265057646,110.4678040997217,110.51206006721317,0.04425596749146621,0.04425596749146621,0.003553921588762426,0.05512835001943811,0.15076741581897546
q10,rough_seed_4,wm080_ws020_we000,grid,lm020_ls080_le000,lm000_ls100_le000,0.7043996511078876,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm080_ws000_we020,grid,lm020_ls080_le000,lm060_ls040_le000,0.10436175735223276,4.6256119816452355,4.625746297597826,0.00013431595259039142,0.00013431595259039142,0.0008328999439147301,0.22224542110427503,0.22282333007507935,0.0005779089708043139,0.0005779089708043139,0.0052165955715232915,121.31433315768827,121.30480247817712,-0.009530679511144058,0.009530679511144058,0.000765349614755613,0.002271615043397878,0.0052165955715232915
q10,rough_seed_4,wm060_ws040_we000,grid,lm020_ls080_le000,lm000_ls100_le000,0.3993985281156007,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm060_ws020_we020,grid,lm020_ls080_le000,lm000_ls100_le000,0.5022149095676165,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm060_ws000_we040,grid,lm020_ls080_le000,lm060_ls040_le000,0.05323395075138375,4.6256119816452355,4.625746297597826,0.00013431595259039142,0.00013431595259039142,0.0008328999439147301,0.22224542110427503,0.22282333007507935,0.0005779089708043139,0.0005779089708043139,0.0052165955715232915,121.31433315768827,121.30480247817712,-0.009530679511144058,0.009530679511144058,0.000765349614755613,0.002271615043397878,0.0052165955715232915
q10,rough_seed_4,wm040_ws060_we000,grid,lm020_ls080_le000,lm000_ls100_le000,0.09439740512331402,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm040_ws040_we020,grid,lm020_ls080_le000,lm000_ls100_le000,0.19721378657532976,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm040_ws020_we040,grid,lm020_ls080_le000,lm000_ls100_le000,0.30003016802734556,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm040_ws000_we060,grid,lm060_ls040_le000,lm000_ls100_le000,0.32684378922041457,4.625746297597826,4.626589030567893,0.000842732970067317,0.000842732970067317,0.005225829322334532,0.22282333007507935,0.2216246169651689,-0.001198713109910432,0.001198713109910432,0.010820391820501905,121.30480247817712,121.26501560053696,-0.03978687764016797,0.03978687764016797,0.0031950367692697664,0.006413752637368735,0.010820391820501905
q10,rough_seed_4,wm020_ws020_we060,grid,lm020_ls080_le000,lm000_ls100_le000,0.0978454264870745,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,wm020_ws000_we080,grid,lm060_ls040_le000,lm000_ls100_le000,0.10234880565295623,4.625746297597826,4.626589030567893,0.000842732970067317,0.000842732970067317,0.005225829322334532,0.22282333007507935,0.2216246169651689,-0.001198713109910432,0.001198713109910432,0.010820391820501905,121.30480247817712,121.26501560053696,-0.03978687764016797,0.03978687764016797,0.0031950367692697664,0.006413752637368735,0.010820391820501905
q10,rough_seed_4,balanced,canonical,lm020_ls080_le000,lm000_ls100_le000,0.1640909998792447,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,motion,canonical,lm020_ls080_le000,lm000_ls100_le000,0.6290113757007559,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
q10,rough_seed_4,energy,canonical,lm020_ls080_le000,lm000_ls100_le000,0.042972960747891364,4.6256119816452355,4.626589030567893,0.0009770489226577084,0.0009770489226577084,0.006058729266249262,0.22224542110427503,0.2216246169651689,-0.0006208041391061181,0.0006208041391061181,0.005603796248978613,121.31433315768827,121.26501560053696,-0.04931755715131203,0.04931755715131203,0.00396038638402538,0.005207637299751085,0.006058729266249262
