objective,column,q25,median,q75,iqr,rows
motion,J_motion_s_per_m,4.490138884934902,4.556046418183703,4.6514018956623255,0.16126301072742333,420
stability,J_stability,0.21999168931906926,0.2739636573757366,0.33077447147665934,0.11078278215759008,420
energy,J_energy_j_per_m,119.49409167292318,125.47612242791405,131.94680521376338,12.452713540840207,420
