variant,labels_total,labels_changed,label_churn_fraction,motion_abs_delta_median,motion_abs_delta_p95,motion_abs_delta_max,motion_abs_over_iqr_median,motion_abs_over_iqr_p95,motion_abs_over_iqr_max,motion_improved_fraction,motion_worsened_fraction,motion_tie_fraction,stability_abs_delta_median,stability_abs_delta_p95,stability_abs_delta_max,stability_abs_over_iqr_median,stability_abs_over_iqr_p95,stability_abs_over_iqr_max,stability_improved_fraction,stability_worsened_fraction,stability_tie_fraction,energy_abs_delta_median,energy_abs_delta_p95,energy_abs_delta_max,energy_abs_over_iqr_median,energy_abs_over_iqr_p95,energy_abs_over_iqr_max,energy_improved_fraction,energy_worsened_fraction,energy_tie_fraction,normalized_physical_l1_median,normalized_physical_l1_p95,normalized_physical_linf_median,normalized_physical_linf_p95,normalized_physical_linf_max,linf_le_0p01_fraction,linf_le_0p05_fraction,linf_le_0p1_fraction,frozen_score_sacrifice_changed_median,frozen_score_sacrifice_changed_p95,corr_frozen_score_sacrifice_vs_physical_linf
q10,500,28,0.056,0.001972676006724239,0.020669795840060203,0.02431320739456133,0.012232662641146997,0.1281744384333588,0.15076741581897546,0.42857142857142855,0.5714285714285714,0.0,0.0005779089708043139,0.001198713109910432,0.0012256688684229855,0.0052165955715232915,0.010820391820501905,0.01106371265057646,0.5,0.5,0.0,0.04931755715131203,0.360436339145096,0.360436339145096,0.00396038638402538,0.0289444013919537,0.0289444013919537,0.75,0.25,0.0,0.007051560741479527,0.04546021251898016,0.014613493918273318,0.1281744384333588,0.15076741581897546,0.42857142857142855,0.6785714285714286,0.8928571428571429,0.1806523932272872,0.6209573942054913,-0.0977086630513611
q25,500,37,0.074,0.0025403092046163422,0.022825490066710863,0.02431320739456133,0.015752584508732317,0.14154200621549792,0.15076741581897546,0.35135135135135137,0.6486486486486487,0.0,0.000467876717576976,0.0012041042616129426,0.00393069401855084,0.004223370351102166,0.010869055986516815,0.035481091393420434,0.5405405405405406,0.4594594594594595,0.0,0.04931755715131203,0.360436339145096,0.4204843347381484,0.00396038638402538,0.0289444013919537,0.033766482570976857,0.6486486486486487,0.35135135135135137,0.0,0.0076893688455903185,0.04811413516083874,0.015752584508732317,0.14154200621549792,0.15076741581897546,0.35135135135135137,0.6486486486486487,0.8648648648648649,0.1256238310446848,0.6106022751401512,-0.13455986230125763
q50,500,61,0.122,0.003813194764262562,0.022673366949542917,0.02431320739456133,0.023645811566223692,0.1405986831528703,0.15076741581897546,0.4426229508196721,0.5573770491803278,0.0,0.0006208041391061181,0.0030959184710639964,0.003959311725620196,0.005603796248978613,0.027945845110298895,0.03573941409043166,0.5245901639344263,0.47540983606557374,0.0,0.06771083636982667,0.534054924504261,0.7567600239188437,0.0054374362782666314,0.04288663051251938,0.0607706923825844,0.6721311475409836,0.32786885245901637,0.0,0.012069667771795106,0.05512835001943811,0.02720853074240094,0.1405986831528703,0.15076741581897546,0.26229508196721313,0.639344262295082,0.8688524590163934,0.07332359658451498,0.6060000000000001,-0.0576776125472789
