context_id,pareto_count,motion_ideal,motion_nadir,motion_span,stability_ideal,stability_nadir,stability_span,energy_ideal,energy_nadir,energy_span,inverse_motion_span,inverse_stability_span,inverse_energy_span,v2_transfer_score_excess_mean
rough_seed_0,8,4.499353072637152,4.5777436774933085,0.0783906048561569,0.3620766548128629,0.3664498598362224,0.004373205023359528,129.7115052776725,134.31087483449625,4.599369556823746,12.756630744653053,228.66524543406675,0.21742110253270988,0.09691118496049465
rough_seed_4,4,4.625549702410184,4.626589030567893,0.0010393281577094626,0.2216246169651689,0.22284068813209168,0.0012160711669227664,121.26501560053696,121.5888482161748,0.3238326156378406,962.1600190298543,822.3202944038807,3.0880150785007823,4.334159145982917
rough_seed_5,14,4.558487248364316,4.6786072285628,0.12011998019848402,0.2972464679923494,0.3076861128019467,0.010439644809597304,130.1828326937916,132.30960632857662,2.1267736347850246,8.325009697367737,95.78869954279352,0.4701957855994771,0.08138422828349168
rough_seed_6,9,4.649983773589159,4.705051621204484,0.05506784761532568,0.2147754038349376,0.21814841588090939,0.0033730120459717905,119.03268774618753,119.51103111971635,0.4783433735288156,18.159416852197698,296.47092461298706,2.0905484539753107,0.2666835172080262
rough_seed_7,12,4.457193450320372,4.565303810371516,0.1081103600511435,0.3199357677276557,0.3265309299802105,0.006595162252554798,130.33310099906856,133.44172120843342,3.108620209364858,9.249807322137606,151.62629238008898,0.32168612845900413,0.36425770793294676
rough_seed_8,3,4.444756142384128,4.456594925914559,0.011838783530430774,0.33030354465182266,0.33596916088580847,0.005665616233985815,129.06596190712793,129.48644624186608,0.4204843347381484,84.46813791548509,176.50330673676612,2.378209881761084,1.0178724475671026
rough_seed_10,10,4.569619603168461,4.685135597047089,0.11551599387862765,0.19203583276109382,0.2078995034128659,0.015863670651772077,119.52297722918112,120.49582539094442,0.9728481617632951,8.656809905048277,63.037113033375626,1.0279096361630493,0.2786956568553691
rough_seed_11,4,4.474104281542436,4.490218916860584,0.016114635318148274,0.31924057719573234,0.3232691364021935,0.004028559206461169,125.28381453523822,125.58508642795526,0.3012718927170397,62.05539127986358,248.22770344200453,3.3192608543114877,0.13616012540158168
rough_seed_12,3,4.4729751418429275,4.4956485087924705,0.022673366949542917,0.3368289057281556,0.3385737561066201,0.001744850378464502,131.24375188337078,132.00051190728962,0.7567600239188437,44.104609704654365,573.1150431821077,1.3214228664214454,0.75079352830455
rough_seed_13,9,4.425768838781536,4.518383985560771,0.09261514677923444,0.480545692682495,0.4904870473813614,0.009941354698866423,145.32719359313973,148.2619747782019,2.934781185062178,10.797369920318621,100.58991257137485,0.3407409060307211,0.36392027794740556
rough_seed_15,11,4.453475368085315,4.503668003129401,0.050192635044085776,0.4390288881572686,0.44396975897545204,0.0049408708181834515,151.10764345690615,153.784242345689,2.6765988887828485,19.923241709100715,202.39347208184196,0.37360846415606863,0.13638393508227648
rough_seed_17,4,4.536170285007224,4.570606106765785,0.03443582175856097,0.20975998378527672,0.2114624016022477,0.0017024178169709747,118.82968781248044,119.21618723028257,0.3864994178021277,29.039527704936894,587.3998674304579,2.587326018979827,0.36077834514040513
rough_seed_18,2,4.789394365536296,4.8008529627643,0.01145859722800413,0.12595293390731585,0.1260583716410282,0.00010543773371235465,118.129206688321,118.4896430274661,0.360436339145096,87.2707173576238,9484.270619170422,2.7744150392045888,2.105914149177358
rough_seed_20,10,4.632606806971819,4.773834436644039,0.1412276296722199,0.2206061137984559,0.22794681138057118,0.00734069758211528,123.5643306903904,124.89680162820964,1.332470937819238,7.080767427173667,136.22683523107924,0.7504854114391643,0.23626818000414082
rough_seed_22,5,4.456161709144545,4.502268904095968,0.046107194951423125,0.2918907353996407,0.2964430835008966,0.004552348101255876,128.5473484424561,129.28814709489995,0.740798652443857,21.688588973013083,219.6668571377759,1.349894464171946,0.28286570092572905
rough_seed_25,7,4.582541332167897,4.6445231101955144,0.06198177802761773,0.23080022333849481,0.23539957866828726,0.004599355329792443,114.66701470937633,115.11867843060317,0.4516637212268364,16.13377401910642,217.42177507410096,2.2140365785495,0.34250879935694895
rough_seed_28,5,4.683081145864362,4.712953016458786,0.029871870594424088,0.25342085372924245,0.25368674993953216,0.00026589621028971777,119.4619850525099,119.71966610602774,0.25768105351784243,33.47630998999644,3760.8659367894347,3.8807664993140745,2.1962384130010553
rough_seed_29,6,4.441700033008183,4.462383657979929,0.02068362497174636,0.3237304880241609,0.32730155642594877,0.0035710684017878913,131.4637970363857,132.28884832469015,0.8250512883044507,48.34742465916833,280.0282401477776,1.212045862088263,0.3401697245949479
