context_id,preference_name,preference_kind,best_beta,best_score,second_beta,second_score,best_second_margin,motion_span,stability_span,energy_span
rough_seed_0,wm100_ws000_we000,grid,lm080_ls020_le000,0.0,lm060_ls040_le000,0.09024376691188865,0.09024376691188865,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm080_ws020_we000,grid,lm100_ls000_le000,0.1321155908798785,lm060_ls040_le000,0.13266143777085473,0.000545846890976226,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm080_ws000_we020,grid,lm060_ls040_le000,0.07240453062202368,lm100_ls000_le000,0.08495760887929187,0.012553078257268188,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm060_ws040_we000,grid,lm100_ls000_le000,0.26317972620432023,lm060_ls040_le000,0.2644293728990175,0.0012496466946972928,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm060_ws020_we020,grid,lm100_ls000_le000,0.13190529976879115,lm060_ls040_le000,0.1326922543348291,0.0007869545660379451,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm060_ws000_we040,grid,lm060_ls040_le000,0.0545652943321587,lm100_ls000_le000,0.0637182066594689,0.009152912327310199,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm040_ws060_we000,grid,lm060_ls000_le040,0.2718203446830262,lm040_ls020_le040,0.27955163324527943,0.007731288562253247,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm040_ws040_we020,grid,lm100_ls000_le000,0.26296943509323284,lm060_ls040_le000,0.2644601894629919,0.0014907543697590397,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm040_ws020_we040,grid,lm100_ls000_le000,0.13169500865770378,lm060_ls040_le000,0.13272307089880347,0.001028062241099692,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm040_ws000_we060,grid,lm100_ls000_le000,0.04247880443964593,lm060_ls040_le000,0.06384108008844247,0.021362275648796537,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm020_ws080_we000,grid,lm060_ls000_le040,0.1364945676812423,lm040_ls020_le040,0.14032453076001386,0.0038299630787715644,0.0783906048561569,0.004373205023359528,4.599369556823746
rough_seed_0,wm020_ws060_we020,grid,lm000_ls060_le040,0.14786028400704418,lm040_ls020_le040,0.1974339257196347,0.049573641712590516,0.0783906048561569,0.004373205023359528,4.599369556823746
