context_id,seed,split_group,terrain,beta_index,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,status,success,m4_interventions,feasible,infeasible_reason,raw_log_relpath,source_stage,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m
rough_seed_24,24,hard,rough_perlin,0,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,settling_fail,0,0,0,status_not_success+nonpositive_progress,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/00_lm100_ls000_le000/attempt_001/env_logs/episode_0011.jsonl,T6.12e_heldout,0,,,,,,,,,,,,,,,,,
rough_seed_1,1,val,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0000.jsonl,T6.12e_heldout,38,5,7.6,1.6699417248749664,214.54922315143006,0.010875418302121145,0.08886721290524191,0.029241842104447788,0.16445800005341416,0.07798665858097266,0.00691328077622964,0.0012128562765316812,4.551057014021873,0.339447749104059,0.07798665858097266,0.339447749104059,attitude,128.4770719574026
rough_seed_21,21,val,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0001.jsonl,T6.12e_heldout,40,5,8.0,1.6656253598057398,210.6046636434541,0.009529482766971707,0.06699892863849365,0.02101591985958791,0.12429458380362424,0.07173888827003376,0.008243288403699424,0.0005569789461959133,4.803000838635786,0.25591705619225796,0.07173888827003376,0.25591705619225796,attitude,126.4417970125147
rough_seed_16,16,val,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0002.jsonl,T6.12e_heldout,38,5,7.6,1.6956912732220961,216.04716151884753,0.006394488251906422,0.06114028393744918,0.016325033110128354,0.12963622651744866,0.07642519293006222,0.0036096589494654264,0.00037341299477231264,4.481947934755088,0.23353868185648913,0.07642519293006222,0.23353868185648913,attitude,127.40949070777602
rough_seed_14,14,val,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0003.jsonl,T6.12e_heldout,38,5,7.6,1.6861436145954198,219.40944051263546,0.008115086005057394,0.07031381731878196,0.018304741184103815,0.14769880655690892,0.08161543098253524,0.007715491259796488,0.0009644364074745794,4.507326620469144,0.2685789982546721,0.08161543098253524,0.2685789982546721,attitude,130.1250015795846
rough_seed_27,27,test,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0004.jsonl,T6.12e_heldout,38,5,7.6,1.6929946806298608,224.50765046515525,0.010480732995244994,0.10537813375329692,0.02573694977287815,0.21553186597722407,0.09160855974995692,0.009016590526570679,0.002885308968502714,4.489086756712372,0.4025148211352666,0.09160855974995692,0.4025148211352666,attitude,132.60977901101825
rough_seed_2,2,test,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0005.jsonl,T6.12e_heldout,41,5,8.200000000000001,1.6824724138664608,232.37876440677707,0.012430696768770113,0.09611149996751321,0.03382189399979063,0.21136110924027582,0.07808421291568868,0.00862558165929181,0.0019294064237891748,4.873779761509267,0.36711888738735043,0.07808421291568868,0.36711888738735043,attitude,138.11742914271707
rough_seed_3,3,test,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0006.jsonl,T6.12e_heldout,37,5,7.4,1.6705884185367201,208.19402360433622,0.006485683600482868,0.0808646330357982,0.014363780432340663,0.11319424929137778,0.06574351297406492,0.005613772455090738,0.0011227544910181477,4.429576978919626,0.30888014565502714,0.06574351297406492,0.30888014565502714,attitude,124.62316947384012
rough_seed_19,19,test,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0007.jsonl,T6.12e_heldout,37,5,7.4,1.6518791047313577,226.27051412474736,0.008759186097669264,0.09682804760035438,0.01573520081701823,0.16579484730610172,0.08041262739251015,0.006711409395974488,0.0006214267959235496,4.479746719239148,0.36985589773280964,0.08041262739251015,0.36985589773280964,attitude,136.97764774471517
rough_seed_26,26,test,rough_perlin,1,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,success,1,0,1,,results/icra27/os_t6p12e_heldout_physical_atlas_v0/blocks/01_lm080_ls020_le000/attempt_001/env_logs/episode_0008.jsonl,T6.12e_heldout,38,5,7.6,1.6777782357753486,202.09231064763205,0.005987077394011733,0.06298666440714287,0.019473536588633975,0.13833181075025247,0.06932327281302958,0.0017684508370672078,0.00011789672247114545,4.529800087964442,0.24059133574241123,0.06932327281302958,0.24059133574241123,attitude,120.45233770376065
