family,probe_step,probe_time_s,context_dim,held_context,selected_k,inner_Qex_k1,inner_Qex_k3,inner_Qex_k5,inner_Qex_k7,neighbors,oracle_beta,selected_beta,true_rank,exact,top3,top5,Q_excess,baseline_Q_excess,beats_baseline,rho_J_motion,rho_J_stability,rho_J_energy,rho_Q
semantic_plus_probe,0,0.0,81,rough_seed_13,3,0.4828367706526381,0.20024364599843175,0.2685812031799326,0.21629771495680328,rough_seed_18|rough_seed_15|rough_seed_30,lm080_ls020_le000,lm040_ls040_le020,18,0,0,0,0.11435036959168626,0.0,0,0.9376623376623376,-0.20909090909090908,-0.6922077922077923,-0.2727272727272727
semantic_plus_probe,0,0.0,81,rough_seed_7,5,0.8161978938828436,0.31906938658712136,0.1999515872720856,0.2287288119412033,rough_seed_20|rough_seed_38|rough_seed_5|rough_seed_17|rough_seed_10,lm000_ls060_le040,lm060_ls020_le020,15,0,0,0,0.11608609226524153,0.11426225020779207,0,0.9324675324675323,-0.3246753246753247,-0.5194805194805194,0.16753246753246753
semantic_plus_probe,0,0.0,81,rough_seed_15,5,0.4819130352458465,0.3351640304627236,0.20118212546119346,0.2628072184717925,rough_seed_42|rough_seed_30|rough_seed_8|rough_seed_13|rough_seed_32,lm060_ls040_le000,lm080_ls020_le000,2,0,1,1,0.0068616204234064615,0.0068616204234064615,0,0.8311688311688311,0.24415584415584415,-0.08571428571428572,0.764935064935065
semantic_plus_probe,0,0.0,81,rough_seed_0,5,0.48588180013062165,0.3284747745842302,0.18992272761376616,0.21510987919078556,rough_seed_6|rough_seed_32|rough_seed_4|rough_seed_20|rough_seed_30,lm100_ls000_le000,lm020_ls080_le000,14,0,0,0,0.15913808732990542,0.1191408580715218,0,0.9805194805194805,0.6532467532467533,0.7103896103896103,0.16493506493506493
semantic_plus_probe,0,0.0,81,rough_seed_5,7,0.471748916027828,0.33154914161860183,0.2063028293913129,0.20109890750483822,rough_seed_40|rough_seed_39|rough_seed_41|rough_seed_22|rough_seed_11|rough_seed_31|rough_seed_4,lm060_ls020_le020,lm020_ls080_le000,11,0,0,0,0.11916955103953375,0.04604145419202896,0,0.9103896103896105,-0.6649350649350649,0.8090909090909091,0.6467532467532467
semantic_plus_probe,0,0.0,81,rough_seed_11,3,0.8195260480666958,0.2109131887199106,0.27702973400815334,0.7563772854519699,rough_seed_4|rough_seed_39|rough_seed_5,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,0.03577286759580989,1,0.9506493506493506,-0.3051948051948052,0.7064935064935066,0.974025974025974
semantic_plus_probe,0,0.0,81,rough_seed_4,3,0.4989533103351833,0.3414100314154106,0.34546128813448146,0.37624194445840975,rough_seed_11|rough_seed_6|rough_seed_31,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,0.167424333212578,1,0.9584415584415583,-0.2909090909090909,0.7272727272727273,0.9441558441558441
semantic_plus_probe,0,0.0,81,rough_seed_25,5,0.5050210444275242,0.2041059682991295,0.19927935951491815,0.2647776553590327,rough_seed_12|rough_seed_41|rough_seed_11|rough_seed_39|rough_seed_6,lm040_ls040_le020,lm100_ls000_le000,4,0,0,1,0.17697867292882175,0.2333729512036904,1,0.9909090909090909,0.15064935064935067,-0.03506493506493507,0.5701298701298702
semantic_plus_probe,0,0.0,81,rough_seed_12,5,0.4959649488094989,0.3366458373112722,0.20212584535179523,0.2234880254295724,rough_seed_25|rough_seed_41|rough_seed_6|rough_seed_40|rough_seed_5,lm100_ls000_le000,lm040_ls040_le020,2,0,1,1,0.0023523746305496585,0.27336439191352324,1,0.9558441558441559,0.08181818181818182,0.3948051948051948,0.8480519480519481
semantic_plus_probe,0,0.0,81,rough_seed_6,5,0.4849480113954091,0.3367655139017483,0.19940635708199084,0.21784284426451278,rough_seed_4|rough_seed_31|rough_seed_11|rough_seed_0|rough_seed_25,lm000_ls080_le020,lm060_ls040_le000,10,0,0,0,0.13152902922354495,0.19646303752110775,1,0.9675324675324675,0.44675324675324674,0.7194805194805195,0.6467532467532467
semantic_plus_probe,0,0.0,81,rough_seed_29,5,0.46972410867658976,0.3265900075654644,0.19317556259551588,0.21370343204868314,rough_seed_32|rough_seed_17|rough_seed_37|rough_seed_18|rough_seed_36,lm060_ls040_le000,lm000_ls080_le020,9,0,0,0,0.2257992612852941,0.01807345113361848,0,0.9584415584415583,-0.35974025974025975,0.7168831168831169,0.6844155844155844
semantic_plus_probe,0,0.0,81,rough_seed_18,5,0.633888567902257,0.1506143021355994,0.13227320974215162,0.17142810566846378,rough_seed_36|rough_seed_13|rough_seed_32|rough_seed_4|rough_seed_11,lm000_ls100_le000,lm080_ls020_le000,8,0,0,0,1.6530904404215563,1.6530904404215563,0,0.9246753246753248,-0.18311688311688312,0.11688311688311687,0.6805194805194805
semantic_plus_probe,0,0.0,81,rough_seed_10,3,0.3433069274997161,0.19218385419412226,0.19455507630741128,0.25315893400533906,rough_seed_28|rough_seed_20|rough_seed_7,lm060_ls020_le020,lm000_ls100_le000,18,0,0,0,0.2560874033297659,0.04660870274838702,0,0.9857142857142858,0.5298701298701299,-0.2935064935064935,0.20909090909090908
semantic_plus_probe,0,0.0,81,rough_seed_8,5,0.49507723534850817,0.45801567325206616,0.32563356722589926,0.353831486817356,rough_seed_30|rough_seed_31|rough_seed_15|rough_seed_22|rough_seed_17,lm080_ls020_le000,lm100_ls000_le000,2,0,1,1,0.0016479083801680394,0.0,0,0.9896103896103896,0.2727272727272727,0.7103896103896103,0.7909090909090909
semantic_plus_probe,0,0.0,81,rough_seed_22,5,0.4827076130593002,0.3399826329471197,0.20583424712762677,0.24670692150314738,rough_seed_5|rough_seed_40|rough_seed_39|rough_seed_41|rough_seed_20,lm040_ls040_le020,lm020_ls060_le020,2,0,1,1,0.016188689692364505,0.14102356059836776,1,0.9454545454545454,-0.08961038961038961,0.4506493506493507,0.8324675324675326
semantic_plus_probe,0,0.0,81,rough_seed_20,5,0.48219517453985444,0.3266175947926978,0.20077907700591585,0.3017584740763598,rough_seed_41|rough_seed_5|rough_seed_4|rough_seed_11|rough_seed_39,lm000_ls060_le040,lm020_ls080_le000,14,0,0,0,0.21856784065894158,0.14667944598463062,0,0.9714285714285713,-0.6792207792207793,0.2753246753246753,-0.07532467532467534
semantic_plus_probe,0,0.0,81,rough_seed_28,5,0.7947428126233589,0.302618087695699,0.17584376952327047,0.19057453490136905,rough_seed_47|rough_seed_10|rough_seed_20|rough_seed_41|rough_seed_5,lm000_ls100_le000,lm040_ls040_le020,9,0,0,0,0.6179655636381415,0.2066409730589126,0,0.9688311688311689,-0.9181818181818181,0.36233766233766235,0.2857142857142857
semantic_plus_probe,0,0.0,81,rough_seed_17,5,0.4761388811866547,0.3209942193237065,0.19786112369473743,0.2121552659209967,rough_seed_39|rough_seed_41|rough_seed_5|rough_seed_7|rough_seed_22,lm100_ls000_le000,lm040_ls040_le020,5,0,0,1,0.19183746396762474,0.19233300719603325,1,0.9831168831168832,0.13636363636363635,0.8636363636363636,0.7181818181818181
semantic_plus_probe,1,0.2,81,rough_seed_13,7,0.6551692396452256,0.2890878167445372,0.18235812133666884,0.1760293913609397,rough_seed_18|rough_seed_15|rough_seed_30|rough_seed_42|rough_seed_4|rough_seed_29|rough_seed_32,lm080_ls020_le000,lm000_ls100_le000,8,0,0,0,0.03270896035207965,0.0,0,0.9649350649350649,-0.6532467532467533,-0.7090909090909091,0.10259740259740259
semantic_plus_probe,1,0.2,81,rough_seed_7,3,0.36080578778912675,0.17024773306578556,0.1766130532892798,0.18347203161627784,rough_seed_20|rough_seed_38|rough_seed_5,lm000_ls060_le040,lm060_ls020_le020,15,0,0,0,0.11608609226524153,0.11426225020779207,0,0.8974025974025974,-0.24805194805194808,-0.4948051948051948,0.22987012987012984
semantic_plus_probe,1,0.2,81,rough_seed_15,5,0.39378503830368095,0.2974841068628338,0.18092577416365324,0.21059243976290087,rough_seed_42|rough_seed_8|rough_seed_30|rough_seed_13|rough_seed_32,lm060_ls040_le000,lm080_ls020_le000,2,0,1,1,0.0068616204234064615,0.0068616204234064615,0,0.8311688311688311,0.24415584415584415,-0.08571428571428572,0.7597402597402596
semantic_plus_probe,1,0.2,81,rough_seed_0,5,0.35099693110863917,0.29730024590927173,0.1672858999157052,0.17632584479432967,rough_seed_6|rough_seed_32|rough_seed_4|rough_seed_20|rough_seed_30,lm100_ls000_le000,lm020_ls080_le000,14,0,0,0,0.15913808732990542,0.1191408580715218,0,0.9805194805194805,0.6532467532467533,0.7103896103896103,0.17662337662337665
semantic_plus_probe,1,0.2,81,rough_seed_5,7,0.3538968579252687,0.3033290373504016,0.19401729867577838,0.18901362201122657,rough_seed_40|rough_seed_41|rough_seed_22|rough_seed_11|rough_seed_31|rough_seed_4|rough_seed_38,lm060_ls020_le020,lm020_ls080_le000,11,0,0,0,0.11916955103953375,0.04604145419202896,0,0.9194805194805193,0.838961038961039,0.648051948051948,0.6571428571428571
semantic_plus_probe,1,0.2,81,rough_seed_11,3,0.6931395725534885,0.30614211461690194,0.6474167778161175,0.5136378782425921,rough_seed_4|rough_seed_5|rough_seed_6,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,0.03577286759580989,1,0.9350649350649349,0.16623376623376623,0.896103896103896,0.9792207792207792
semantic_plus_probe,1,0.2,81,rough_seed_4,5,0.38297622544024224,0.3429551990667573,0.23856395201156871,0.24604711601816215,rough_seed_11|rough_seed_6|rough_seed_31|rough_seed_30|rough_seed_5,lm020_ls080_le000,lm020_ls080_le000,1,1,1,1,0.0,0.167424333212578,1,0.9597402597402598,-0.4584415584415585,0.9090909090909091,0.961038961038961
semantic_plus_probe,1,0.2,81,rough_seed_25,5,0.36680802122168943,0.29387037274090244,0.1780244752055849,0.1809709428450514,rough_seed_12|rough_seed_41|rough_seed_11|rough_seed_6|rough_seed_5,lm040_ls040_le020,lm100_ls000_le000,4,0,0,1,0.17697867292882175,0.2333729512036904,1,0.9584415584415583,0.24025974025974026,0.024675324675324677,0.5636363636363637
semantic_plus_probe,1,0.2,81,rough_seed_12,5,0.3673267560161201,0.3008965299990476,0.18047722462423102,0.18228620731616346,rough_seed_25|rough_seed_41|rough_seed_6|rough_seed_40|rough_seed_5,lm100_ls000_le000,lm040_ls040_le020,2,0,1,1,0.0023523746305496585,0.27336439191352324,1,0.9558441558441559,0.08181818181818182,0.3948051948051948,0.8636363636363636
semantic_plus_probe,1,0.2,81,rough_seed_6,5,0.3500631423734265,0.3085680394199404,0.1826795161701425,0.1846514069636851,rough_seed_4|rough_seed_31|rough_seed_11|rough_seed_0|rough_seed_25,lm000_ls080_le020,lm060_ls040_le000,10,0,0,0,0.13152902922354495,0.19646303752110775,1,0.9675324675324675,0.4311688311688312,0.7194805194805195,0.6467532467532467
semantic_plus_probe,1,0.2,81,rough_seed_29,5,0.34108591588321097,0.301777673458347,0.16365633360603257,0.17257541686372102,rough_seed_32|rough_seed_17|rough_seed_18|rough_seed_37|rough_seed_22,lm060_ls040_le000,lm040_ls040_le020,8,0,0,0,0.22111780249293078,0.01807345113361848,0,0.9584415584415583,-0.44155844155844154,0.7623376623376623,0.6662337662337662
semantic_plus_probe,1,0.2,81,rough_seed_18,7,0.30848244059391766,0.2619759195988077,0.14649065424917032,0.14250437625778062,rough_seed_13|rough_seed_32|rough_seed_4|rough_seed_11|rough_seed_30|rough_seed_20|rough_seed_6,lm000_ls100_le000,lm020_ls080_le000,6,0,0,0,0.8790905326088567,1.6530904404215563,1,0.9285714285714285,-0.6467532467532467,0.5142857142857142,0.6883116883116883
semantic_plus_probe,1,0.2,81,rough_seed_10,7,0.34430466292629636,0.29624201054017807,0.18499210380290002,0.17089478025654845,rough_seed_28|rough_seed_20|rough_seed_47|rough_seed_7|rough_seed_38|rough_seed_17|rough_seed_41,lm060_ls020_le020,lm100_ls000_le000,13,0,0,0,0.20670168857455573,0.04660870274838702,0,0.9844155844155844,0.6610389610389611,0.2935064935064935,0.2571428571428571
semantic_plus_probe,1,0.2,81,rough_seed_8,3,0.3601923663265256,0.2954710352910284,0.30398532018253677,0.31516314198199447,rough_seed_30|rough_seed_31|rough_seed_15,lm080_ls020_le000,lm060_ls040_le000,4,0,0,1,0.04922286542421617,0.0,0,0.9857142857142858,0.2324675324675325,0.5584415584415584,0.7610389610389611
semantic_plus_probe,1,0.2,81,rough_seed_22,5,0.3563211375460929,0.30277839359120273,0.17562373950530524,0.19824559631036454,rough_seed_5|rough_seed_40|rough_seed_41|rough_seed_20|rough_seed_17,lm040_ls040_le020,lm080_ls000_le020,4,0,0,1,0.12362672594178001,0.14102356059836776,1,0.9415584415584415,0.7870129870129869,0.5948051948051949,0.8558441558441559
semantic_plus_probe,1,0.2,81,rough_seed_20,5,0.36532599767498664,0.3021618688413511,0.18583651828245695,0.19338637769877404,rough_seed_5|rough_seed_4|rough_seed_41|rough_seed_11|rough_seed_22,lm000_ls060_le040,lm020_ls080_le000,14,0,0,0,0.21856784065894158,0.14667944598463062,0,0.9662337662337662,0.8311688311688311,0.14415584415584418,-0.07662337662337662
semantic_plus_probe,1,0.2,81,rough_seed_28,5,0.35907499794963466,0.27357316766157,0.1514110572996496,0.15655442088549004,rough_seed_10|rough_seed_47|rough_seed_20|rough_seed_41|rough_seed_5,lm000_ls100_le000,lm040_ls040_le020,9,0,0,0,0.6179655636381415,0.2066409730589126,0,0.9688311688311689,-0.9181818181818181,0.36233766233766235,0.2753246753246753
