family,probe_step,probe_time_s,context_dim,Q_excess_mean,Q_excess_median,Q_excess_p95,Q_excess_max,baseline_Q_excess_mean,true_rank_mean,true_rank_median,exact_fraction,top3_fraction,top5_fraction,beats_baseline_fraction,rho_J_motion_mean,rho_J_stability_mean,rho_J_energy_mean,rho_Q_mean,selected_k1_fraction,selected_k3_fraction,selected_k5_fraction,selected_k7_fraction,all33_nonnormal_at_horizon,all33_nonnormal_prefix_any,original18_nonnormal_at_horizon,original18_nonnormal_prefix_any,all33_probe_progress_mean_m,all33_probe_progress_max_m,delta_Q_excess_mean_vs_h0,delta_rho_JS_vs_h0,delta_rho_JE_vs_h0,delta_rho_Q_vs_h0
semantic_plus_probe,0,0.0,81,0.2226472427114748,0.12534929013153934,0.7732342951556522,1.6530904404215563,0.1998418525268314,8.055555555555555,8.5,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.3888888888888889,0.9523809523809523,-0.08383838383838382,0.3298701298701298,0.5322510822510823,0.0,0.2222222222222222,0.7222222222222222,0.05555555555555555,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
semantic_plus_probe,1,0.2,81,0.1807197150833406,0.12757787758266248,0.6571343089837484,0.8790905326088567,0.1998418525268314,7.277777777777778,7.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.9495670995670997,0.07496392496392497,0.38391053391053387,0.5584415584415584,0.0,0.16666666666666666,0.6111111111111112,0.2222222222222222,1,1,0,0,0.025744753455236434,0.03311374777801479,-0.041927527628134204,0.15880230880230878,0.054040404040404055,0.026190476190476097
semantic_plus_probe,2,0.4,81,0.1549032923916982,0.05169140785263235,0.6571343089837484,0.8790905326088567,0.1998418525268314,6.055555555555555,4.0,0.1111111111111111,0.3888888888888889,0.6666666666666666,0.5555555555555556,0.9483405483405483,0.15093795093795093,0.36493506493506495,0.5464646464646464,0.0,0.8888888888888888,0.1111111111111111,0.0,0,1,0,0,0.06873537832895922,0.0763402665990418,-0.06774395031977659,0.23477633477633475,0.03506493506493513,0.014213564213564123
semantic_plus_probe,3,0.6000000000000001,81,0.1699183453553702,0.09430772446861715,0.6571343089837484,0.8790905326088567,0.1998418525268314,6.833333333333333,4.0,0.1111111111111111,0.3888888888888889,0.6111111111111112,0.5555555555555556,0.9494227994227994,0.20505050505050504,0.3538239538239538,0.543073593073593,0.0,1.0,0.0,0.0,1,2,0,0,0.1041425159832388,0.11548378870394105,-0.05272889735610459,0.28888888888888886,0.023953823953824005,0.010822510822510734
semantic_plus_probe,4,0.8,81,0.30224654819208285,0.16763408906344046,1.4536531681166571,1.6530904404215563,0.1998418525268314,8.11111111111111,5.5,0.05555555555555555,0.2777777777777778,0.5,0.3888888888888889,0.9495670995670995,0.2054834054834055,0.295021645021645,0.5080808080808081,0.0,0.9444444444444444,0.0,0.05555555555555555,1,2,0,0,0.15141059073355898,0.1698832013837921,0.07959930548060806,0.2893217893217893,-0.034848484848484795,-0.024170274170274175
semantic_plus_probe,5,1.0,81,0.3555148661505421,0.13299226393986535,1.1341515770166044,4.059205652827927,0.1998418525268314,8.166666666666666,7.5,0.1111111111111111,0.2777777777777778,0.3888888888888889,0.4444444444444444,0.9519480519480518,0.1724386724386725,0.2740981240981241,0.5445887445887445,0.16666666666666666,0.6111111111111112,0.0,0.2222222222222222,6,7,4,4,0.188664218328691,0.20416568645496858,0.13286762343906733,0.2562770562770563,-0.055772005772005695,0.012337662337662203
probe_only,1,0.2,7,0.43207243920922095,0.11106173010881262,1.3954618700282118,5.801274272905326,0.1998418525268314,6.5,4.5,0.1111111111111111,0.4444444444444444,0.6111111111111112,0.3333333333333333,0.9527417027417027,0.16277056277056276,0.4386724386724386,0.5814574314574315,0.0,0.8888888888888888,0.0,0.1111111111111111,1,1,0,0,0.025744753455236434,0.03311374777801479,,,,
probe_only,2,0.4,7,0.12102008019624111,0.12507687593956537,0.26015817012291653,0.27336439191352324,0.1998418525268314,7.0,6.0,0.05555555555555555,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.9595959595959594,0.12200577200577205,0.4396825396825397,0.5751082251082251,0.05555555555555555,0.0,0.7222222222222222,0.2222222222222222,0,1,0,0,0.06873537832895922,0.0763402665990418,,,,
probe_only,3,0.6000000000000001,7,0.11534487867043818,0.07743711003068801,0.2941041092703758,0.6179655636381415,0.1998418525268314,5.333333333333333,4.0,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.9613275613275611,0.11406926406926408,0.33304473304473303,0.5970418470418469,0.0,0.3333333333333333,0.6666666666666666,0.0,1,2,0,0,0.1041425159832388,0.11548378870394105,,,,
probe_only,4,0.8,7,0.21846348013188657,0.1393506648122061,0.7112745486593923,1.4184583553569694,0.1998418525268314,6.166666666666667,6.0,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.4444444444444444,0.9623376623376624,0.07366522366522367,0.3074314574314574,0.5875180375180373,0.0,0.05555555555555555,0.16666666666666666,0.7777777777777778,1,2,0,0,0.15141059073355898,0.1698832013837921,,,,
probe_only,5,1.0,7,0.2619090775707726,0.17140184337388784,0.7500450343394482,1.4184583553569694,0.1998418525268314,8.944444444444445,6.5,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.3333333333333333,0.9505050505050505,0.01594516594516596,0.24191919191919192,0.5038239538239537,0.7777777777777778,0.05555555555555555,0.0,0.16666666666666666,6,7,4,4,0.188664218328691,0.20416568645496858,,,,
