representation,context_dim,rho_J_motion_mean,rho_J_stability_mean,rho_J_energy_mean,rho_Q_mean,exact_fraction,top3_fraction,top5_fraction,true_rank_mean,Q_excess_mean,Q_excess_median,beats_baseline_fraction
raw_height,193,0.9466089466089466,0.12215007215007215,0.13953823953823952,0.28297258297258293,0.16666666666666666,0.2222222222222222,0.2777777777777778,8.0,0.2954333190628253,0.13896631545034394,0.3333333333333333
derivative_field,769,0.8512265512265511,0.17554112554112555,0.2846320346320347,0.3979076479076479,0.0,0.16666666666666666,0.3888888888888889,8.5,0.23765741503078786,0.16865209702027217,0.2777777777777778
semantic_regions,74,0.8527417027417027,0.24502164502164503,0.3242424242424243,0.42070707070707064,0.16666666666666666,0.2777777777777778,0.5,6.833333333333333,0.4674262784210087,0.058214221825230755,0.4444444444444444
