update,checkpoint,beta_name,terrain_label,terrain,seed,success,status,policy_steps,decision_time_s,energy_abs_j,mean_applied_vx_mps,aggregation_rule,reward_steps,mean_cost_motion,mean_cost_posture,mean_cost_traction,mean_cost_stability,mean_cost_energy,mean_objective_cost,median_cost_posture,median_cost_traction,traction_dominant_steps,traction_dominant_fraction,posture_dominant_fraction,tie_fraction,mean_established_contact_dt_s
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,flat,flat,27100,True,success,40,8.0,172.01984116705154,0.19772831745882286,last_policy_steps,40,0.23961821934144786,0.012685134558352466,0.0010202119765363876,0.012685134558352466,0.492113845316699,0.2481390664054998,0.011534819903159741,0.0007166203606916713,0,0.0,1.0,0.0,0.4637499999999076
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,flat,flat,27101,True,success,40,8.0,172.01984116705154,0.19772831745882286,last_policy_steps,40,0.23961821934144786,0.012685134558352466,0.0010202119765363876,0.012685134558352466,0.492113845316699,0.2481390664054998,0.011534819903159741,0.0007166203606916713,0,0.0,1.0,0.0,0.4637499999999076
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,flat,flat,27102,True,success,40,8.0,172.01984116705154,0.19772831745882286,last_policy_steps,40,0.23961821934144786,0.012685134558352466,0.0010202119765363876,0.012685134558352466,0.492113845316699,0.2481390664054998,0.011534819903159741,0.0007166203606916713,0,0.0,1.0,0.0,0.4637499999999076
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,low_friction,low_friction,27200,True,success,41,8.200000000000001,194.64837514637227,0.1954081421240983,last_policy_steps,41,0.24301247371290055,0.012057409295520204,0.213176351325731,0.21770381650975454,0.5432677925934567,0.3346613609387039,0.012130310250376789,0.0116907069033983,23,0.5609756097560976,0.43902439024390244,0.0,0.4468292682926199
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,low_friction,low_friction,27201,True,success,41,8.200000000000001,194.64837514637227,0.1954081421240983,last_policy_steps,41,0.24301247371290055,0.012057409295520204,0.213176351325731,0.21770381650975454,0.5432677925934567,0.3346613609387039,0.012130310250376789,0.0116907069033983,23,0.5609756097560976,0.43902439024390244,0.0,0.4468292682926199
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,low_friction,low_friction,27202,True,success,41,8.200000000000001,194.64837514637227,0.1954081421240983,last_policy_steps,41,0.24301247371290055,0.012057409295520204,0.213176351325731,0.21770381650975454,0.5432677925934567,0.3346613609387039,0.012130310250376789,0.0116907069033983,23,0.5609756097560976,0.43902439024390244,0.0,0.4468292682926199
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,rough,rough_perlin,13,True,success,41,8.200000000000001,255.17271904239868,0.19122537140075754,last_policy_steps,41,0.24564504821237026,0.22939100392108866,0.004386672526297154,0.22945969711986275,0.712192535385867,0.3957657602393667,0.20228348481630393,0.001405727532925229,1,0.024390243902439025,0.975609756097561,0.0,0.42956097560970563
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,rough,rough_perlin,7,True,success,42,8.4,229.16516385285334,0.19141419488227085,last_policy_steps,42,0.24819153602243849,0.09436081748681195,0.0017045453959356823,0.0944042473422098,0.6243762028022652,0.32232399538897116,0.04086954496318008,0.00033621829600185627,1,0.023809523809523808,0.9761904761904762,0.0,0.4309047619047098
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,balanced,rough,rough_perlin,15,True,success,41,8.200000000000001,270.53476867676636,0.1906321624611936,last_policy_steps,41,0.24538867379733795,0.1894800618221901,0.005516222683662095,0.18968913498854686,0.755068345616999,0.3967153848009613,0.11636475319337261,0.0003978724939210167,3,0.07317073170731707,0.926829268292683,0.0,0.42146341463409576
10,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v3_seed27027/checkpoint_update_0010.pt,motion,flat,flat,27100,True,success,40,8.0,172.94169170077888,0.20016668483702232,last_policy_steps,40,0.2368362151757469,0.012557969118929238,0.0010384918778884645,0.012557969118929238,0.49475107255677814,0.2418817068743789,0.011295729562145983,0.0007110050905349743,0,0.0,1.0,0.0,0.46394999999990755
