fold,held_context,pca_rank,k95,k95_explained_variance,model_input_dim,train_final_loss,train_log_mae,train_regret_mae,train_regret_abs_error_p95,train_preclip_negative_log_fraction,held_log_mae,held_log_abs_error_p95,held_regret_mae,held_regret_abs_error_p95,held_preclip_negative_log_fraction,predicted_pareto_count,selector_exact,selector_score_excess_mean,selector_score_excess_p95,selector_physical_linf_mean_iqr,selector_physical_linf_p95_iqr
1,rough_seed_13,31,6,0.927077720707182,10,0.01306081935763359,0.0457718846430366,0.14618971608668668,0.3961717892791489,0.03968253968253968,1.428321379545407,2.4754823127830754,0.6318552696894111,1.4353463109178437,0.7619047619047619,10,0.04,0.2733681249103495,0.5859591069181317,0.1911249012398121,0.2712522014651404
2,rough_seed_7,31,6,0.9301915194431265,10,0.012942063622176647,0.04500251719265713,0.13802368776314736,0.3878297070863241,0.035480859010270774,1.7145650872937441,3.8579936460271242,18.126631095858492,89.39335586453473,0.19047619047619047,1,0.04,0.24214272114299853,0.6136229364963418,0.3833558171352178,0.6703977531082952
3,rough_seed_15,31,6,0.9304608733470435,10,0.012215455062687397,0.04423561155560137,0.1171240662576415,0.33687760724066773,0.04108309990662932,2.793149729922739,4.373594237326026,46.58136629488301,125.98475346204185,0.031746031746031744,2,0.04,0.14254980683114873,0.3915695281371856,0.10681466355851908,0.27445632323911995
4,rough_seed_0,31,6,0.9319226055819853,10,0.012596622109413147,0.04502050577221638,0.13756863734371128,0.37966121967840705,0.03594771241830065,0.7023955451226511,1.4609956828870956,0.8105702774815945,2.429075010527895,0.5873015873015873,6,0.0,0.3898760549851442,0.8028962369283602,0.35311339179906626,0.45646864682254257
5,rough_seed_5,31,6,0.9310504033817563,10,0.009775356389582157,0.042155371294059316,0.12420661426003102,0.3269594707235625,0.032679738562091505,0.49457076674040057,1.2427470401804026,0.49017252553241164,1.0573189413609563,0.49206349206349204,1,0.0,0.44640061893769223,1.0272845689152292,0.49898683998405746,0.7690128443040102
6,rough_seed_11,31,6,0.9331639886935552,10,0.012783554382622242,0.04496386155939542,0.13286939036212186,0.3807614226595363,0.031746031746031744,0.8773369347440884,1.7389167199166389,2.021579180704883,5.152697631848669,0.23809523809523808,4,0.0,0.5216307068667714,1.01,0.07980034963953589,0.09008131524614764
7,rough_seed_4,31,6,0.9315051806081344,10,0.014196907170116901,0.04576839008540662,0.11621979078909989,0.3475974353799786,0.04481792717086835,1.537374168649735,4.115950627798749,16.293970459518828,100.49696857856648,0.38095238095238093,1,0.0,10.466480757738063,24.514475602007284,0.19311929681362097,0.19559397264949993
8,rough_seed_25,31,6,0.931276698985591,10,0.013350452296435833,0.044862409567939375,0.12657738617594955,0.3696914443398673,0.03314659197012138,0.5862952475154565,1.3955462427689416,0.5824608429194807,1.6212621838270833,0.6507936507936508,7,0.16,0.09593425406674305,0.2256183742864679,0.05478788257452683,0.090159383175928
9,rough_seed_12,31,6,0.9318391417570449,10,0.012343614362180233,0.04462864604456023,0.12895883866704563,0.3821923302259693,0.029411764705882353,0.6184880462868763,1.262856178058213,1.178097437113071,2.622512399953856,0.20634920634920634,4,0.0,1.1144099549909994,1.7772729784116743,0.3185335677502902,0.40457667463128916
10,rough_seed_6,31,6,0.930523977720767,10,0.014022959396243095,0.047408575402434074,0.1393054169036733,0.4258121982520486,0.04061624649859944,0.5510400980547122,1.9133040684506502,0.7237619416057182,2.6803428249083345,0.31746031746031744,5,0.24,0.12881204015997727,0.5482667992873487,0.06952202626023796,0.13378986599677462
