source_summary,source_manifest,world,trial,reset_y,context,n_rows,goal_x,lateral_bound,hold_vx,x_start,x_end,y_mean,mean_abs_y_context,max_abs_y_context,ref_vx_mean,ref_yaw_rate_mean,ref_body_h_mean,ref_clearance_mean,ref_enable_mean,input_beta_motion_mean,input_beta_stability_mean,input_beta_energy_mean,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,success,goal,startup_failed,out_lane,final_x,final_y,rollout_max_abs_y,rollout_mean_abs_y,hold_drift,motion_score,stability_score,energy_score,effort_proxy,motion_need,stability_need,energy_need,target_beta_motion,target_beta_stability,target_beta_energy
reports/phase_d6/phase_d4_context_meta_repeat_20260719_162757_d6_mlp_gated_control_smoke_n1_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_162757_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,downslope,498,8.0,2.0,0.025,6.00221734424996,7.996334629324381,-0.06760296107969328,0.06760296107969328,0.09438536699622191,0.20253601011980968,0.0017211447223501064,0.319999999999996,0.045051441344630766,1.0,0.25,0.5999999999999998,0.14999999999999994,0.25,0.14999999999999994,0.2999999999999999,1,1,0,0,8.033,0.026,0.143,0.04709836065573768,0.025000000000000355,0.9946685786570069,0.9337382924258497,0.5175791366761116,0.4824208633238884,0.005331421342993137,0.06626170757415029,0.48242086332388845,0.20099193253532197,0.5261816901021661,0.27282637736251203
reports/phase_d6/phase_d4_context_meta_repeat_20260719_162757_d6_mlp_gated_control_smoke_n1_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_162757_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,flat,432,8.0,2.0,0.025,-0.000921808635122389,1.9970933938187867,0.011475465523465615,0.03253421825366721,0.058466738343301794,0.20950209908049416,-0.00029479282599281624,0.31925925925925575,0.044895926970574596,0.9976851851851852,0.44999999999999746,0.25,0.29999999999999816,0.0,0.0500000000000004,0.0500000000000004,1,1,0,0,8.033,0.026,0.143,0.04709836065573768,0.025000000000000355,0.9996443564860672,0.9418199838727568,0.5078558034858365,0.4921441965141635,0.0003556435139328018,0.05818001612724322,0.4921441965141635,0.36082167291172657,0.2409423187175237,0.3982360083707498
reports/phase_d6/phase_d4_context_meta_repeat_20260719_162757_d6_mlp_gated_control_smoke_n1_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_162757_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,goal_flat,672,8.0,2.0,0.025,7.997670823511409,8.05932864763646,-0.012372506607694636,0.02687821941437838,0.07347409849771835,0.028433058719549847,3.25068107210223e-05,0.3199999999999953,0.04500003294265418,1.0,0.20000000000000137,0.5,0.3000000000000029,0.0,0.05000000000000034,0.05000000000000034,1,1,0,0,8.033,0.026,0.143,0.04709836065573768,0.025000000000000355,0.8703093276568213,0.9384433278380131,0.8466470519609011,0.153352948039099,0.12969067234317866,0.0615566721619869,0.15335294803909894,0.22467527704574244,0.46878947969926243,0.30653524325499515
reports/phase_d6/phase_d4_context_meta_repeat_20260719_162757_d6_mlp_gated_control_smoke_n1_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_162757_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,rough,408,8.0,2.0,0.025,4.004433596435749,5.996399139532117,-0.014168394536940396,0.018163664969326178,0.05084804737852249,0.20434572496542744,0.0008951359483819711,0.3199999999999967,0.05474251746108719,1.0,0.25,0.5500000000000038,0.2000000000000015,0.10000000000000075,0.400000000000003,0.3499999999999973,1,1,0,0,8.033,0.026,0.143,0.04709836065573768,0.025000000000000355,0.9959612321181625,0.9435341893398321,0.4183076711434742,0.5816923288565258,0.004038767881837546,0.05646581066016787,0.5816923288565258,0.19656160600825023,0.4659735878454296,0.33746480614632035
reports/phase_d6/phase_d4_context_meta_repeat_20260719_162757_d6_mlp_gated_control_smoke_n1_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_162757_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,upslope,410,8.0,2.0,0.025,2.0017980278588197,3.999604559863468,-0.10172319972001101,0.10172319972001101,0.1441457314000822,0.2101625654392126,0.0025348959979033326,0.3199999999999966,0.04499208378355678,1.0,0.3499999999999973,0.4000000000000031,0.25,0.10000000000000077,0.20000000000000154,0.20000000000000154,1,1,0,0,8.033,0.026,0.143,0.04709836065573768,0.025000000000000355,1.0,0.9225422104349812,0.5028557319685294,0.4971442680314706,0.0,0.07745778956501881,0.4971442680314706,0.2748246476011125,0.37272632037676473,0.3524490320221226
reports/phase_d6/phase_d4_context_meta_repeat_20260719_163540_d6_mlp_gated_control_final_n3_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_163540_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,downslope,488,8.0,2.0,0.025,6.0007787447352845,7.998238145169909,-0.2548363944015286,0.2548363944015286,0.3108586326612032,0.20265592381236006,0.006408587638212398,0.31999999999999607,0.04501066643164539,1.0,0.25,0.5999999999999993,0.14999999999999983,0.25,0.14999999999999983,0.29999999999999966,1,1,0,0,8.169,-0.488,0.488,0.19182377049180327,0.0129999999999999,0.9947542312945429,0.8342568076512294,0.5119027439876055,0.4880972560123945,0.005245768705457121,0.16574319234877055,0.4880972560123945,0.1854370292558043,0.5611414463659018,0.2534215243782939
reports/phase_d6/phase_d4_context_meta_repeat_20260719_163540_d6_mlp_gated_control_final_n3_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_163540_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,flat,444,8.0,2.0,0.025,-0.0007230837562531322,1.995292494419288,0.05577640433209992,0.05577640433209992,0.09800648757370783,0.20977804836523425,-0.0013794247411654343,0.3199999999999964,0.044993624617051975,1.0,0.44999999999999724,0.25,0.2999999999999985,0.0,0.050000000000000405,0.050000000000000405,1,1,0,0,8.169,-0.488,0.488,0.19182377049180327,0.0129999999999999,0.9998414631180245,0.8821485402959158,0.5050056322182093,0.49499436778179073,0.00015853688197553506,0.11785145970408417,0.49499436778179073,0.34639328533473346,0.2703340606965638,0.3832726539687027
reports/phase_d6/phase_d4_context_meta_repeat_20260719_163540_d6_mlp_gated_control_final_n3_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_163540_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,goal_flat,636,8.0,2.0,0.025,8.001606795863301,8.18240063820173,-0.3822296135806702,0.3822296135806702,0.48814276394742456,0.028628144654088118,0.00015871803236283363,0.3199999999999954,0.04500000000000072,1.0,0.20000000000000198,0.5,0.3000000000000024,0.0,0.050000000000000495,0.050000000000000495,1,1,0,0,8.169,-0.488,0.488,0.19182377049180327,0.0129999999999999,0.8704486747529201,0.7943678781118296,0.8461238312331241,0.15387616876687593,0.1295513252470799,0.20563212188817037,0.15387616876687593,0.19779887937561766,0.5321072736221167,0.2700938470022656
reports/phase_d6/phase_d4_context_meta_repeat_20260719_163540_d6_mlp_gated_control_final_n3_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_163540_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,rough,441,8.0,2.0,0.025,4.003070196860255,5.997160985416201,-0.14151236968577496,0.14151236968577496,0.21749178712170927,0.2049519335196402,0.003535280436807462,0.3199999999999964,0.054994579759382066,1.0,0.25,0.5500000000000044,0.20000000000000162,0.10000000000000081,0.40000000000000324,0.3499999999999971,1,1,0,0,8.169,-0.488,0.488,0.19182377049180327,0.0129999999999999,0.9963942382283144,0.8552643478976155,0.41135022651084474,0.5886497734891553,0.0036057617716855894,0.14473565210238448,0.5886497734891553,0.18369845126705941,0.4986192781272168,0.3176822706057238
reports/phase_d6/phase_d4_context_meta_repeat_20260719_163540_d6_mlp_gated_control_final_n3_summary_v0.json,reports/phase_d4_context_meta_repeat_20260719_163540_manifest.tsv,tracer_mixed_stress_course_v5_lowfric_from_solid,1,0.0,upslope,411,8.0,2.0,0.025,2.000146989748362,3.998273444254468,-0.004450017002948174,0.030284121953440487,0.05655226525341106,0.20913150270054812,0.00015292521471102217,0.3199999999999966,0.045023033205247566,1.0,0.3502433090024304,0.3996350364963534,0.25012165450121654,0.09975669099756768,0.1996350364963519,0.1996350364963519,1,1,0,0,8.169,-0.488,0.488,0.19182377049180327,0.0129999999999999,0.9993796447861057,0.8914757403179826,0.5074569438656078,0.49254305613439214,0.0006203552138942525,0.1085242596820174,0.4925430561343922,0.2719942432823094,0.38092445869188585,0.3470812980258047
