representation,held_context,eta_name,oracle_beta,learned_beta,baseline_beta,learned_rank,baseline_rank,learned_Q_excess,baseline_Q_excess,learned_beats_baseline,learned_ties_baseline,learned_worse_baseline,learned_exact,learned_top3,learned_top5
semantic_plus_prop_probe,rough_seed_15,stability_biased,lm000_ls040_le060,lm060_ls040_le000,lm020_ls080_le000,7,15,0.08104917830102726,0.46798225740402966,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_15,energy_biased,lm000_ls080_le020,lm040_ls020_le040,lm100_ls000_le000,12,10,0.302949663416314,0.27508491358795106,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_0,balanced,lm100_ls000_le000,lm000_ls060_le040,lm080_ls020_le000,3,10,0.026947920889475147,0.1191408580715218,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_0,motion_biased,lm100_ls000_le000,lm000_ls100_le000,lm080_ls020_le000,7,3,0.10642218937932311,0.05303508557669458,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_0,stability_biased,lm000_ls060_le040,lm040_ls000_le060,lm080_ls020_le000,6,14,0.10653285569790952,0.5967024525826499,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_0,energy_biased,lm100_ls000_le000,lm000_ls100_le000,lm080_ls020_le000,11,7,0.3973169068243888,0.24551011153872238,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_5,balanced,lm060_ls020_le020,lm000_ls040_le060,lm080_ls020_le000,15,7,0.13504226187794194,0.04604145419202896,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_5,motion_biased,lm100_ls000_le000,lm020_ls060_le020,lm080_ls020_le000,3,4,0.004307308607553531,0.0050143624435080025,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_5,stability_biased,lm020_ls040_le040,lm000_ls040_le060,lm080_ls020_le000,4,17,0.01164500372354349,0.38181571957820637,1,0,0,0,0,1
semantic_plus_prop_probe,rough_seed_5,energy_biased,lm060_ls020_le020,lm000_ls060_le040,lm100_ls000_le000,19,8,0.6164656489741572,0.0831771258790878,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_11,balanced,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,10,4,0.749905260502671,0.03577286759580989,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_11,motion_biased,lm100_ls000_le000,lm000_ls100_le000,lm080_ls020_le000,6,2,0.5540408865442786,0.0007254509276770627,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_11,stability_biased,lm020_ls080_le000,lm000_ls080_le020,lm080_ls020_le000,6,12,0.3390986645577858,0.5594708499340446,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_11,energy_biased,lm000_ls100_le000,lm100_ls000_le000,lm100_ls000_le000,3,3,0.547591313806471,0.547591313806471,0,1,0,0,1,1
semantic_plus_prop_probe,rough_seed_4,balanced,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,3,4,0.1640909998792447,0.167424333212578,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_4,motion_biased,lm020_ls080_le000,lm000_ls100_le000,lm080_ls020_le000,4,3,0.6290113757007559,0.07501137570075601,0,0,1,0,0,1
semantic_plus_prop_probe,rough_seed_4,stability_biased,lm000_ls100_le000,lm000_ls100_le000,lm080_ls020_le000,1,5,0.0,0.5569999999999999,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_4,energy_biased,lm020_ls080_le000,lm000_ls080_le020,lm100_ls000_le000,11,6,4.767862468057862,0.612047628198621,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_25,balanced,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,13,8,0.2816669674948088,0.2333729512036904,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_25,motion_biased,lm080_ls000_le020,lm100_ls000_le000,lm080_ls020_le000,2,6,0.007966230981075031,0.033524854073517504,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_25,stability_biased,lm060_ls000_le040,lm040_ls040_le020,lm080_ls020_le000,3,13,0.05763094158373107,0.5483958397848061,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_25,energy_biased,lm040_ls040_le020,lm100_ls000_le000,lm100_ls000_le000,2,2,0.060503759923311584,0.060503759923311584,0,1,0,0,1,1
semantic_plus_prop_probe,rough_seed_12,balanced,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,3,10,0.006007828421616956,0.27336439191352324,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_12,motion_biased,lm100_ls000_le000,lm080_ls000_le020,lm080_ls020_le000,7,3,0.4883915582195467,0.12323315961884831,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_12,stability_biased,lm040_ls040_le020,lm060_ls000_le040,lm080_ls020_le000,10,15,0.6254258118510478,1.1194319712830678,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_12,energy_biased,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,14,0.0,0.9895874923976087,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_6,balanced,lm000_ls080_le020,lm000_ls100_le000,lm080_ls020_le000,4,14,0.07496055129465143,0.19646303752110775,1,0,0,0,0,1
semantic_plus_prop_probe,rough_seed_6,motion_biased,lm020_ls080_le000,lm060_ls040_le000,lm080_ls020_le000,4,6,0.03484608108908177,0.06378750170648817,1,0,0,0,0,1
semantic_plus_prop_probe,rough_seed_6,stability_biased,lm000_ls060_le040,lm000_ls100_le000,lm080_ls020_le000,14,21,0.3611037085623153,0.6144933657514767,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_6,energy_biased,lm040_ls060_le000,lm100_ls000_le000,lm080_ls020_le000,2,8,0.004972483206469827,0.2931492573234983,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_29,balanced,lm060_ls040_le000,lm000_ls020_le080,lm080_ls020_le000,20,3,1.0631067557243135,0.01807345113361848,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_29,motion_biased,lm060_ls040_le000,lm080_ls020_le000,lm080_ls020_le000,4,4,0.15487168492320835,0.15487168492320835,0,1,0,0,0,1
semantic_plus_prop_probe,rough_seed_29,stability_biased,lm080_ls020_le000,lm000_ls020_le080,lm080_ls020_le000,14,1,0.9411594326149977,0.0,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_29,energy_biased,lm080_ls000_le020,lm000_ls000_le100,lm100_ls000_le000,21,11,2.3440401475809276,0.5558651539577645,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_18,balanced,lm000_ls100_le000,lm020_ls080_le000,lm080_ls020_le000,6,8,0.8790905326088567,1.6530904404215563,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_18,motion_biased,lm000_ls100_le000,lm060_ls040_le000,lm080_ls020_le000,10,8,1.8293446024535902,0.7482497464283054,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_18,stability_biased,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,3,8,0.5539999999999999,4.008310195358528,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_18,energy_biased,lm000_ls100_le000,lm100_ls000_le000,lm100_ls000_le000,11,11,2.622873817942152,2.622873817942152,0,1,0,0,0,0
semantic_plus_prop_probe,rough_seed_10,balanced,lm060_ls020_le020,lm060_ls020_le020,lm080_ls020_le000,1,5,0.0,0.04660870274838702,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_10,motion_biased,lm080_ls020_le000,lm060_ls020_le020,lm080_ls020_le000,8,1,0.12445712658575056,0.0,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_10,stability_biased,lm040_ls000_le060,lm060_ls020_le020,lm080_ls020_le000,10,15,0.07625516735373955,0.17602207741313627,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_10,energy_biased,lm080_ls020_le000,lm060_ls020_le020,lm100_ls000_le000,2,4,0.026515531867813136,0.07278475262244571,1,0,0,0,1,1
semantic_plus_prop_probe,rough_seed_8,balanced,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,0.0,0.0,0,1,0,1,1,1
semantic_plus_prop_probe,rough_seed_8,motion_biased,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,0.0,0.0,0,1,0,1,1,1
semantic_plus_prop_probe,rough_seed_8,stability_biased,lm080_ls020_le000,lm080_ls020_le000,lm080_ls020_le000,1,1,0.0,0.0,0,1,0,1,1,1
semantic_plus_prop_probe,rough_seed_8,energy_biased,lm040_ls060_le000,lm080_ls020_le000,lm080_ls020_le000,4,4,0.554459329261933,0.554459329261933,0,1,0,0,0,1
semantic_plus_prop_probe,rough_seed_22,balanced,lm040_ls040_le020,lm000_ls100_le000,lm080_ls020_le000,15,6,0.3563928110448611,0.14102356059836776,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_22,motion_biased,lm080_ls020_le000,lm100_ls000_le000,lm080_ls020_le000,2,1,0.000743379983356468,0.0,0,0,1,0,1,1
semantic_plus_prop_probe,rough_seed_22,stability_biased,lm040_ls020_le040,lm020_ls060_le020,lm080_ls020_le000,9,16,0.18643816821627854,0.5499283318018938,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_22,energy_biased,lm040_ls020_le040,lm000_ls100_le000,lm100_ls000_le000,16,9,1.0037376478307327,0.5569999999999999,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_20,balanced,lm000_ls060_le040,lm060_ls020_le020,lm080_ls020_le000,5,12,0.05196741740147459,0.14667944598463062,1,0,0,0,0,1
semantic_plus_prop_probe,rough_seed_20,motion_biased,lm080_ls000_le020,lm080_ls000_le020,lm080_ls020_le000,1,7,0.0,0.04602913148335923,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_20,stability_biased,lm000_ls040_le060,lm000_ls060_le040,lm080_ls020_le000,9,18,0.28171297281234325,0.6086434426243702,1,0,0,0,0,0
semantic_plus_prop_probe,rough_seed_20,energy_biased,lm060_ls020_le020,lm100_ls000_le000,lm100_ls000_le000,13,13,0.5981245821404113,0.5981245821404113,0,1,0,0,0,0
semantic_plus_prop_probe,rough_seed_28,balanced,lm000_ls100_le000,lm020_ls040_le040,lm080_ls020_le000,11,4,1.014424125716714,0.2066409730589126,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_28,motion_biased,lm060_ls040_le000,lm040_ls020_le040,lm080_ls020_le000,13,3,1.0603254090222614,0.017943524956309964,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_28,stability_biased,lm000_ls100_le000,lm020_ls040_le040,lm080_ls020_le000,12,6,2.24120539716592,0.38428357903425,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_28,energy_biased,lm000_ls100_le000,lm020_ls040_le040,lm100_ls000_le000,10,6,1.3780980728772108,0.6351132921090953,0,0,1,0,0,0
semantic_plus_prop_probe,rough_seed_17,balanced,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,6,0.0,0.19233300719603325,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_17,motion_biased,lm100_ls000_le000,lm100_ls000_le000,lm080_ls020_le000,1,3,0.0,0.08680197374791396,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_17,stability_biased,lm100_ls000_le000,lm100_ls000_le000,lm020_ls080_le000,1,10,0.0,0.4407909749710096,1,0,0,1,1,1
semantic_plus_prop_probe,rough_seed_17,energy_biased,lm020_ls060_le020,lm100_ls000_le000,lm080_ls020_le000,3,10,0.038109966463823725,0.44073567876514763,1,0,0,0,1,1
