update,beta,policy_steps,mean_req_vx_mps,mean_abs_req_yaw_rate_rps,mean_req_body_height_m,mean_app_vx_mps,mean_app_body_height_m,mean_state_vx_mps,mean_abs_state_vy_mps,mean_abs_state_yaw_rate_rps,mean_state_z_m,mean_abs_roll_rad,mean_abs_pitch_rad,mean_cost_motion,mean_cost_stability,mean_cost_posture,mean_cost_traction,mean_cost_energy,max_cost_traction,final_goal_distance_m,any_override
10,balanced,41,0.1954081421240983,0.0065830516748175754,0.2985173309366105,0.1954081421240983,0.2985173309366105,0.20507554310124096,0.010107537922477804,0.02199449150811699,0.3253519149815164,0.0019122837231140982,0.028185419374849738,0.24301247371290055,0.21770381650975448,0.012057409295520204,0.213176351325731,0.5432677925934567,3.864117638081097,0.12244647984895463,0
10,stability,41,0.19856582075476695,0.01206977358542201,0.2996450584352288,0.19856582075476695,0.2996450584352288,0.2075726905973946,0.0098339528221248,0.023848589409991714,0.32629332382504533,0.0019401325184068212,0.027592045050568698,0.2426413315756274,0.2238680316856494,0.01156424382278235,0.2191861076638345,0.5458113953873858,3.9752463584377167,0.12001178742844264,0
10,energy,42,0.1899235858271519,0.008222446577357396,0.2972104528067368,0.1899235858271519,0.2972104528067368,0.20027369225309008,0.0102849284968605,0.019310265291659606,0.3242057476724897,0.0019742772639715226,0.028911633195266837,0.24845400396855394,0.19803956627394315,0.012627108214048412,0.1933143280320375,0.5268309483171719,3.6705662823367695,0.11789555896100969,0
20,balanced,40,0.20168258287347268,0.006397800148988608,0.2948956794217229,0.20168258287347268,0.2948956794217229,0.21079292558133603,0.010420204808178823,0.020984492504794616,0.3215820588171482,0.0018931699337315423,0.027545716310851277,0.2364159648976787,0.20520768161336284,0.01160847610919391,0.20070712499021415,0.5461658417553836,3.9232903458747366,0.12134682763747111,0
20,stability,40,0.2015715712620295,0.013208897523581984,0.295912740804255,0.2015715712620295,0.295912740804255,0.2105265311896801,0.010490147704695118,0.0231468902902634,0.32255472168326377,0.001943491625615934,0.027383320475928487,0.23928858401531533,0.21703643156056698,0.011473217677739145,0.21245859249352236,0.5484003090497822,4.098336799457889,0.1397315899903454,0
20,energy,40,0.19978708242066207,0.006630330567131751,0.2944004823770374,0.19978708242066207,0.2944004823770374,0.20910019539296626,0.010758282846654765,0.01891425884277851,0.32115124985575677,0.0019221714130253531,0.027652119239792227,0.23735857892165052,0.19182084377277436,0.011725828092948434,0.18757089219013784,0.5420257649969924,3.620573513479536,0.12737955739089063,0
30,balanced,38,0.21030985207517486,0.0070923360879532995,0.292799017672476,0.21030985207517486,0.292799017672476,0.21924417073789396,0.010753043094729563,0.019303427567999614,0.31928492925669016,0.0019448167753293283,0.026440850655107123,0.22615649468845114,0.21499846537525516,0.010820276243137332,0.21072895196152794,0.5602921202720594,4.08041117042362,0.14331613999811033,0
30,stability,39,0.20654306289089178,0.008742727880151227,0.2944244904586902,0.20654306289089178,0.2944244904586902,0.2153976620771946,0.010497606196739256,0.021406796174442907,0.32107464243204165,0.0018909328778719124,0.027144990598735135,0.231974937033782,0.22168851832200162,0.01132078995469607,0.2171363586613675,0.5569359495808751,4.278445769071274,0.13580825938312666,0
30,energy,38,0.2094092991705494,0.009440227683425244,0.29216323612944073,0.2094092991705494,0.29216323612944073,0.2186295197982537,0.01096537661463739,0.018469122935417352,0.318789574660753,0.0019673370021145707,0.02672821650967786,0.2267239307390118,0.20503141903792166,0.011074743384856228,0.20092691907817753,0.5606502564466431,3.618466706711676,0.14676615118551875,0
40,balanced,38,0.2191314105728739,0.014663814968968692,0.29495498645462487,0.2191314105728739,0.29495498645462487,0.22674028261711723,0.010575501614718968,0.023544774416797355,0.32115060796863154,0.001985991498498295,0.025513024216419773,0.22218945425774655,0.21827419146177504,0.010092965265419395,0.21402521129910088,0.5719031935772081,4.008886752500664,0.1191965341794263,0
40,stability,38,0.21491681631458434,0.015880212874004717,0.2965840735796251,0.21491681631458434,0.2965840735796251,0.22307524712462173,0.01041386943688849,0.024317318818870455,0.322949156165123,0.001956220381304631,0.026169252385826486,0.22642786415535113,0.2359311317863976,0.010528299763337464,0.2314308281983152,0.570630626008437,3.9366377862620325,0.14496606635686235,0
40,energy,38,0.2152984809375515,0.011030756108658878,0.2943503085249348,0.2152984809375515,0.2943503085249348,0.22343652264068,0.01075560333993053,0.02185693771561522,0.32066179341391515,0.0019168982974310654,0.025893000444691432,0.22383127211230563,0.21362209499583368,0.010379753458765162,0.20918374609702778,0.5662971325444859,3.896023146491392,0.12917878673514552,0
