update,beta,terrain,seed,source_log,episode_step,policy_step,command_seq,state_sim_time_s,decision_dt_s,req_vx_mps,req_yaw_rate_rps,req_body_height_m,req_clearance_m,req_gait_period_s,req_duty_factor,req_norm_0,req_norm_1,req_norm_2,app_vx_mps,app_yaw_rate_rps,app_body_height_m,app_clearance_m,state_vx_mps,state_vy_mps,state_yaw_rate_rps,state_z_m,roll_rad,pitch_rad,cost_motion,cost_stability,cost_posture,cost_traction,cost_energy,progress_rate_mps,energy_power_ratio,energy_abs_j,energy_dt_s,slip_cum_rms_mps,slip_cum_mean_mps,slip_cum_max_mps,goal_distance_m,safety_state,override_active,terminated,truncated
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,6,0,5,1.2,0.19999999999999996,0.19261970445513726,0.008620579540729523,0.2966667842119932,0.06,0.7142857142857143,0.65,-0.036901477724313736,0.021551448851823807,-0.05555359646677971,0.19261970445513726,0.008620579540729523,0.2966667842119932,0.06,0.17698894441127777,0.04098827764391899,-0.04789205268025398,0.3297826647758484,-0.007069532293826342,0.04250631853938103,0.21924767653615734,3.864117638081097,0.02636147490339342,3.864117638081097,1.0286827572635093,0.22460185877107414,2.0573655145270195,8.989477038685791,0.19999999999999996,0.4054626838276269,0.2323874987875823,1.8880314503027338,1.7633642805381124,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,7,1,6,1.4000000000000001,0.20000000000000018,0.19273603931069375,0.00824686959385872,0.2967391846328974,0.06,0.7142857142857143,0.65,-0.036319803446531296,0.020617173984646797,-0.054346922785043716,0.19273603931069375,0.00824686959385872,0.2967391846328974,0.06,0.23192547261714935,0.002865734277293086,0.02465648204088211,0.33002808690071106,0.0012919876025989652,0.04478585720062256,0.2776062240553862,2.1954717790484666,0.02926472866985931,2.1954717790484666,1.258431468684135,0.17791502075569104,2.516862937368268,10.997210473897155,0.20000000000000018,0.38790655292651166,0.21267703479816394,1.8880314503027338,1.7277812763869742,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,8,2,7,1.6,0.19999999999999996,0.19284720942378045,0.007634373009204865,0.296817384660244,0.06,0.7142857142857143,0.65,-0.035763952881097794,0.01908593252301216,-0.05304358899593353,0.19284720942378045,0.007634373009204865,0.296817384660244,0.06,0.17841115593910217,0.0020365577656775713,-0.06603043526411057,0.32606929540634155,0.014626231975853443,0.024072570726275444,0.23077645614869807,0.40093223492459135,0.008454884571850011,0.40093223492459135,0.8388491835859574,0.21537883508104155,1.6776983671719155,7.330554946625412,0.19999999999999996,0.4072829261457533,0.21793167338683872,1.9534060260918757,1.684705509370766,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,9,3,8,1.8,0.19999999999999996,0.19324099868535996,0.006749233603477478,0.29697048783302304,0.06,0.7142857142857143,0.65,-0.033795006573200226,0.016873084008693695,-0.05049186944961548,0.19324099868535996,0.006749233603477478,0.29697048783302304,0.06,0.21484896540641785,-0.012882580049335957,0.02937757782638073,0.32687392830848694,0.007698718924075365,0.02883397974073887,0.2693800491552498,0.012130310250376789,0.012130310250376789,0.010044825055312009,0.8126499767606282,0.18449596067580012,1.6252999535212571,7.101604702709011,0.19999999999999996,0.3877041647508038,0.19807743237868977,1.9534060260918757,1.6478063172356059,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,10,4,9,2.0,0.19999999999999996,0.19325591623783112,0.006343285739421845,0.2970116849988699,0.06,0.7142857142857143,0.65,-0.03372041881084442,0.01585821434855461,-0.04980525001883507,0.19325591623783112,0.006343285739421845,0.2970116849988699,0.06,0.17226630449295044,-0.009820913895964622,0.021288707852363586,0.3244624435901642,0.0026101169642060995,0.018462102860212326,0.24663657480375417,0.04788467792355221,0.004973075916992758,0.04788467792355221,0.5250437637194985,0.20269074015699667,1.0500875274389974,4.588264773502516,0.19999999999999996,0.364504332008536,0.1777121440611363,1.9534060260918757,1.6072681692042066,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,11,5,10,2.2,0.20000000000000018,0.19340520128607752,0.005873131006956101,0.2970902495831251,0.06,0.7142857142857143,0.65,-0.0329739935696125,0.014682827517390251,-0.04849584028124809,0.19340520128607752,0.005873131006956101,0.2970902495831251,0.06,0.19722837209701538,0.00031214943737722933,0.02370358444750309,0.3236157298088074,0.0006769466563127935,0.019857484847307205,0.25720656826236343,0.02112697228730183,0.005753223710622153,0.02112697228730183,0.3393813035509458,0.19423474539010926,0.6787626071018911,2.965793306136817,0.20000000000000018,0.34800553175066007,0.16423986531218665,1.9534060260918757,1.5684212201261847,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,12,6,11,2.4,0.19999999999999973,0.19347256720066072,0.00544644258916378,0.2971555877476931,0.06,0.7142857142857143,0.65,-0.03263716399669647,0.01361610647290945,-0.0474068708717823,0.19347256720066072,0.00544644258916378,0.2971555877476931,0.06,0.19590993225574493,0.016308089718222618,-0.008424135856330395,0.32296696305274963,-0.003087306162342429,0.02194509096443653,0.25553263768730083,0.007757649593746273,0.0070264757036275,0.007757649593746273,0.4910721550787825,0.19557388985015936,0.9821443101575664,4.29139288206018,0.19999999999999973,0.3324446518402233,0.1502554437836708,1.9534060260918757,1.5293064421561529,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,13,7,12,2.6,0.20000000000000018,0.19356023371219636,0.005043004453182221,0.2972258070856333,0.06,0.7142857142857143,0.65,-0.03219883143901825,0.012607511132955551,-0.0462365485727787,0.19356023371219636,0.005043004453182221,0.2972258070856333,0.06,0.2055252343416214,-0.013833035714924335,-0.029264839366078377,0.32269591093063354,-0.00224108318798244,0.018826544284820557,0.22596318611676752,0.15364553303360673,0.005171349975726578,0.15364553303360673,0.43362788156670357,0.219229451106586,0.8672557631334064,3.7893975155639765,0.20000000000000018,0.3201775517179482,0.14228922502295532,1.9534060260918757,1.4854605519348356,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,14,8,13,2.8000000000000003,0.20000000000000018,0.19380970411002638,0.004194546490907669,0.2973604933172464,0.06,0.7142857142857143,0.65,-0.030951479449868202,0.010486366227269173,-0.043991778045892715,0.19380970411002638,0.004194546490907669,0.2973604933172464,0.06,0.21179552376270294,-0.0032980754040181637,0.00748624699190259,0.32188355922698975,0.0012208397965878248,0.017552880570292473,0.2635897141639779,0.007456916651363813,0.004495308876223323,0.007456916651363813,0.619360169550252,0.18912822866881768,1.238720339100503,5.412479195879328,0.20000000000000018,0.31005830189916905,0.1336354797663526,1.9534060260918757,1.447634906201072,normal,0,0,0
10,balanced,low_friction,27200,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl,15,9,14,3.0,0.19999999999999973,0.19390135258436203,0.003729701042175293,0.29742484152317045,0.06,0.7142857142857143,0.65,-0.03049323707818985,0.009324252605438232,-0.042919307947158813,0.19390135258436203,0.003729701042175293,0.29742484152317045,0.06,0.1988193392753601,0.002912205643951893,0.008807395584881306,0.3217213749885559,0.001819443772546947,0.02500731311738491,0.2352211540369637,0.00912424248364466,0.00912424248364466,0.003079212411331271,0.4438318259574209,0.21182307677042905,0.8876636519148431,3.878567984454108,0.19999999999999973,0.29912441375233795,0.12600649322444504,1.9534060260918757,1.4052702908469863,normal,0,0,0
