tag,base_tag,n_timestep_rows,base_condition_count,rho_slip_target,rho_rough_target,sigma_target,is_sparse_anchor,context_frac_flat,context_frac_start_flat,context_frac_rough,context_frac_upslope,context_frac_downslope,context_frac_goal_flat,context_frac_unknown,context_unique_count,ref_vx_mean_mean_g1,ref_vx_mean_std_g1,ref_yaw_rate_mean_mean_g1,ref_yaw_rate_mean_std_g1,ref_clearance_mean_mean_g1,ref_clearance_mean_std_g1,x_progress_g1,y_change_g1,abs_y_change_g1,y_late_minus_early_g1,abs_y_late_minus_early_g1,vx_tracking_error_g1,vx_tracking_abs_error_g1,vx_tracking_ratio_g1,lateral_per_forward_g1
clean,clean,2226,3,0.24119493,0.01680673,0.31152502,0,0.20305480682839172,0.0,0.1958670260557053,0.20170709793351302,0.2151841868823001,0.18418688230008984,0.0,5,0.1867969451931716,0.05075313732073974,0.0046044395606469005,0.0036545377183131314,0.04695867026055705,0.0033552943760856153,8.135062614,-0.275924738,0.26955128199999995,-0.20036166563611862,0.18659346108086255,0.011549853661675075,0.011549853661675075,0.9381689371326117,0.2070566166231025
clean_r1,clean,2224,3,0.36240620,0.31835992,0.43116233,0,0.2014388489208633,0.0,0.18884892086330934,0.2014388489208633,0.22526978417266186,0.18030575539568344,0.002697841726618705,6,0.18683678057553957,0.05076187984312488,0.002833257263938849,0.0030674872775420083,0.046888489208633095,0.003289703281382661,8.109472279,-0.338403191,0.338403191,-0.3064900408879892,0.2637713755465587,0.013166952667805765,0.013166952667805765,0.9295269773582816,0.20772185074327962
clean_r2,clean,2222,3,0.32946617,0.23793328,0.37131508,0,0.19486948694869488,0.0,0.20297029702970298,0.19396939693969398,0.22052205220522053,0.18766876687668768,0.0,5,0.18609923492349234,0.05154512952558658,0.0006250868559855985,0.0016938613900415894,0.047034203420342036,0.003421059866486603,8.052099773999998,-0.381625767,0.334618563,-0.26491778664189186,0.1998967556283784,0.011660271665912852,0.011660271665912852,0.9373437957941819,0.21314409064187018
m015,m015,2124,3,0.20318699,0.49761701,0.46254287,0,0.2015065913370998,0.0,0.1963276836158192,0.1902071563088512,0.24717514124293785,0.1647834274952919,0.0,5,0.1907909604519774,0.0439205779154008,0.002903446093220339,0.002898362427420626,0.04696327683615819,0.0033272010477338764,8.190966671,-0.060289805,0.050923865,-0.06978633192937853,0.04437739827966101,0.015791034231202483,0.015791034231202483,0.9172338448645887,0.20635146165895654
m015_r1,m015,2121,3,0.42282746,0.14699991,0.45806842,0,0.20132013201320131,0.0,0.18953323903818953,0.20744931636020744,0.2362093352192362,0.16548797736916548,0.0,5,0.19045851013672796,0.044712116073336056,0.0026780254474304574,0.0025769965949192127,0.04689533239038189,0.0032628720833140184,8.030125068,-0.3538588,0.30973714,-0.2956071729052334,0.28228918179915136,0.016520888945063955,0.016520888945063955,0.9132572814246851,0.2027784626998376
m015_r2,m015,1721,3,1.00000000,1.00000000,0.80980762,0,0.242300987797792,0.0,0.3381754793724579,0.25624636839047066,0.16327716443927948,0.0,0.0,4,0.20639320162696106,0.008056561978767186,-0.007623127565950029,0.011334031235662833,0.048378074762928526,0.0040735799330519715,6.588343014,2.037021006,2.037021006,1.2469990192129143,1.2469990192129143,0.06490046611699549,0.06490046611699549,0.6855493998571823,0.5039566525520892
m030,m030,2225,3,0.86670792,0.43825698,0.61596933,0,0.20314606741573032,0.0,0.20404494382022473,0.19820224719101123,0.22112359550561797,0.17348314606741572,0.0,5,0.1886179775280899,0.04801240032564719,0.006629998134831461,0.005645514272369946,0.04704044943820224,0.003427350053505806,8.158692227000001,-0.6181951229999999,0.616471447,-0.5498931509041834,0.5350194203265857,0.01622483580837525,0.01622483580837525,0.9139804380207662,0.225661114986075
m030_r1,m030,2122,3,0.98784003,0.32949758,0.67305680,0,0.20829406220546653,0.0,0.19368520263901978,0.20735155513666353,0.2408105560791706,0.14985862393967955,0.0,5,0.1936227615457116,0.038928449078994766,0.007691360481149859,0.005940527046882313,0.0469368520263902,0.0033022176656534,8.103720529999999,-0.6660934869999999,0.633082237,-0.547355399096181,0.5227771215770862,0.01946139575850034,0.01946139575850034,0.8994880787613094,0.22805430162324222
m030_r2,m030,2225,3,0.20776830,0.26619248,0.38154155,0,0.19820224719101123,0.0,0.20314606741573032,0.20134831460674157,0.21932584269662922,0.17797752808988765,0.0,5,0.18780449438202246,0.04922842298505292,0.0007624815456179775,0.0007503370047261085,0.047031460674157304,0.003419567544007434,8.104529803,-0.111427745,0.107089035,-0.05188505016194332,0.039942892620782725,0.014872449294490442,0.014872449294490442,0.9208088744445186,0.20764516221693843
m060,m060,2226,3,0.48921262,0.49095367,0.49144957,0,0.192722371967655,0.0,0.20125786163522014,0.18598382749326145,0.23315363881401618,0.18688230008984727,0.0,5,0.18613319856244384,0.05136204810328038,0.0030269254088050312,0.0028250881179732014,0.0470125786163522,0.0034033807325563412,8.225599844000001,-0.409069087,0.403953805,-0.2887107125997304,0.2687839268557951,0.01287863196849895,0.01287863196849895,0.930809591905345,0.21970354176844573
