group,rows,legacy_valid_rows,rho_slip_pred_mean,rho_slip_pred_std,rho_slip_pred_min,rho_slip_pred_max,rho_slip_pred_sat_rate,rho_rough_pred_mean,rho_rough_pred_std,rho_rough_pred_min,rho_rough_pred_max,rho_rough_pred_sat_rate,sigma_pred_mean,sigma_pred_std,sigma_pred_min,sigma_pred_max,sigma_pred_sat_rate,legacy_slip_mean,legacy_rough_mean,legacy_sigma_mean,legacy_l1_mean,legacy_l1_std,legacy_l1_max,manual_l1_mean,manual_l1_std,manual_l1_max,observed_features_mean,imputed_features_mean,x_mean,y_mean,ref_vx_mean
ALL,3036,2280,0.18189575144268774,0.37257643749490543,0.0,1.0,0.9255599472990778,0.6076887308959157,0.4645977711490085,0.0,1.0,0.8804347826086957,0.37137893377470355,0.37943308743511933,0.0,1.0,0.5820158102766798,0.09296052631578948,0.16458333333333333,0.18907894736842104,0.9632917683070175,0.8096431242357502,2.9,0.9632917683245613,0.809643124223195,2.9,19.41304347826087,3.5869565217391304,4.972999022540096,-0.10111983961855223,0.16838984881209504
KNOWN_CONTEXT_ONLY,2307,2280,0.23937386275682704,0.4109971945929081,0.0,1.0,0.9020372778500216,0.4837204104898136,0.4691019044225886,0.0,1.0,0.8426527958387516,0.4887327450975293,0.3634672206084134,0.0,1.0,0.44993498049414826,0.09296052631578948,0.16458333333333333,0.18907894736842104,0.9632917683070175,0.8096431242357502,2.9,0.9632917683245613,0.809643124223195,2.9,22.998699609882966,0.0013003901170351106,4.972999022540096,-0.10111983961855223,0.16824555700043345
context:downslope,513,513,0.968937113079922,0.1264366224405242,0.11195064,1.0,0.9200779727095516,1.0,0.0,1.0,1.0,1.0,0.9959481266081871,0.02739811849705114,0.71723989,1.0,0.9727095516569201,0.25,0.15,0.3,2.2660818693372318,0.14192483797952204,2.3,2.2660818692787523,0.14192483827704383,2.3,23.0,0.0,6.998512298245614,-0.12270525925925926,0.2025
context:flat,457,430,0.0,0.0,0.0,0.0,1.0,0.1432596833916849,0.3445040784011337,0.0,1.0,0.975929978118162,0.4258572720568928,0.1912775598499566,0.0,0.54073772,0.16411378555798686,0.0,0.05,0.05,0.5429917410232559,0.1484445340578521,1.0,0.5429917410232559,0.1484445340578521,1.0,22.99343544857768,0.006564551422319475,0.9266318643326039,0.01113110284463895,0.21
context:goal_flat,500,500,0.06967102108,0.22473459521081024,0.0,1.0,0.916,0.33261932714,0.30541528810935703,0.0,1.0,0.324,0.10023554748,0.2781868604189574,0.0,1.0,0.928,0.0,0.05,0.05,0.50380144842,0.7120575107812813,2.9,0.50380144846,0.7120575108425043,2.9,23.0,0.0,8.148028992,-0.277415324,0.02926
context:rough,422,422,0.048187800545023696,0.08977344402819992,0.0,0.29014837,0.6611374407582938,0.8795347111848342,0.3171603698075677,0.0,1.0,0.966824644549763,0.6431665904739337,0.07813129589267732,0.25186548,0.7066154,0.0,0.1,0.4,0.35,0.962243663507109,0.1341234811299853,1.05171108,0.9622436636255924,0.13412348080648864,1.05171108,23.0,0.0,5.04122833886256,-0.06808715165876777,0.205
context:unknown,729,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,8.065843621399177,14.934156378600823,,,0.21
context:upslope,415,415,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.24201013431325302,0.06626424180705817,0.18572203,0.49558848,0.0,0.1,0.2,0.2,0.3430150214939759,0.06561637793382553,0.59558848,0.34301502149397595,0.06561637793382552,0.59558848,23.0,0.0,3.0303332987951808,-0.01923408674698795,0.21
