t_wall,context,x,y,observed_features,imputed_features,learned_slip,learned_rough,learned_sigma,damped_slip,damped_rough,damped_sigma,safe_slip,safe_rough,safe_sigma,legacy_slip,legacy_rough,legacy_sigma,learned_l1_legacy,damped_l1_legacy,safe_l1_legacy
1784664160.903607,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.003522,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.103514,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.203519,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.303499,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.403504,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.503521,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.603778,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.703518,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.803497,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664161.903493,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.003696,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.103620,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.203569,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.303521,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.403525,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.503572,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.603615,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.703616,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.803822,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664162.903743,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.003562,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.103567,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.203896,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.303627,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.403616,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.503623,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.603800,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.703558,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.803551,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664163.903573,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.003513,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.103593,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.203653,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.303521,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.403520,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.503556,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664164.603722,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
