context_id,group,terrain,seed,beta_name,feasible,pareto_nondominated,linearly_supported,support_grid_count,support_fraction,max_margin,max_margin_beta_motion,max_margin_beta_stability,max_margin_beta_energy
low_friction:low_friction:27029,low_friction,low_friction,27029,stability,True,True,True,10226,0.5037190286192799,0.006458792038677719,0.0,0.0,1.0
low_friction:low_friction:27029,low_friction,low_friction,27029,energy,True,True,False,0,0.0,-0.0004908202235545209,0.0,0.95,0.05
low_friction:low_friction:27030,low_friction,low_friction,27030,balanced,True,True,True,3770,0.18570513767794689,0.0012393587509116,0.665,0.0,0.335
low_friction:low_friction:27030,low_friction,low_friction,27030,motion,True,True,True,5479,0.26988818284813554,0.0031807038735401916,1.0,0.0,0.0
low_friction:low_friction:27030,low_friction,low_friction,27030,stability,True,True,True,11052,0.5444066794739175,0.005705820378014259,0.0,0.0,1.0
low_friction:low_friction:27030,low_friction,low_friction,27030,energy,True,True,False,0,0.0,-0.00028211262675572224,0.005,0.96,0.035
low_friction:low_friction:27031,low_friction,low_friction,27031,balanced,True,True,True,12765,0.6287867592729423,0.002596773547350871,0.535,0.0,0.465
low_friction:low_friction:27031,low_friction,low_friction,27031,motion,True,True,True,7513,0.37008029161125067,0.005374847752193157,1.0,0.0,0.0
low_friction:low_friction:27031,low_friction,low_friction,27031,stability,True,True,True,23,0.0011329491158071031,5.49832944253868e-05,0.0,0.915,0.085
low_friction:low_friction:27031,low_friction,low_friction,27031,energy,True,True,False,0,0.0,-0.0004270235016107103,0.0,0.925,0.075
low_friction:low_friction:27032,low_friction,low_friction,27032,balanced,True,True,True,6628,0.3264863799812817,0.0012021147440943935,0.57,0.0,0.43
low_friction:low_friction:27032,low_friction,low_friction,27032,motion,True,True,True,7195,0.35441603861878723,0.0038482543917804923,1.0,0.0,0.0
low_friction:low_friction:27032,low_friction,low_friction,27032,stability,True,True,True,1003,0.049406433180631495,9.320389703393328e-05,0.0,0.0,1.0
