eta_name,eta_motion,eta_stability,eta_energy,contexts,beta_changed_fraction,mean_beta_motion,mean_beta_stability,mean_beta_energy,mean_J_motion,mean_J_stability,mean_J_energy,target_objective,target_improved_count,target_tied_count,target_worsened_count,mean_delta_target_regret,median_delta_target_regret,mean_delta_target_J,mean_delta_non_target_regret
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,0.0,0.4005555555555556,0.3944444444444445,0.20499999999999996,4.558288603395641,0.2891227240842308,127.4620268101601,,,,,,,,
motion_biased,0.7,0.15,0.15,18,0.5555555555555556,0.5105555555555557,0.3272222222222223,0.1622222222222222,4.546627708836439,0.28993807261662785,127.53016383920573,motion,10,8,0,-0.1827842876788219,-0.11348667136409551,-0.011660894559201433,0.14055497825128085
stability_biased,0.15,0.7,0.15,18,0.7777777777777778,0.32722222222222225,0.3761111111111111,0.2966666666666667,4.577781376802388,0.2875273860583499,127.70854051874085,stability,14,4,0,-0.36420380891390525,-0.34678473731066617,-0.0015953380258808701,0.28762484875407573
energy_biased,0.15,0.15,0.7,18,0.6111111111111112,0.3761111111111112,0.38833333333333336,0.23555555555555557,4.562687006325955,0.28982822052024626,127.06419963066212,energy,11,7,0,-0.27721337570348936,-0.1999702240219259,-0.397827179497978,0.1526520677248324
