fold,held_context,pca_rank,k95,k95_explained_variance,held_nn_latent,train_nn_median,train_nn_max,held_nn_over_train_median,held_nn_over_train_max,held_whitened_rms_radius,train_whitened_radius_median,train_whitened_radius_max,held_radius_over_train_max,outside_latent_box_dims,outside_latent_box_fraction,held_reconstruction_rms_m,train_reconstruction_rms_median,train_reconstruction_rms_max,held_reconstruction_over_train_max,score_excess_mean,score_excess_p95,physical_linf_mean_iqr,physical_linf_median_iqr,physical_linf_p95_iqr
1,rough_seed_13,16,6,0.9551316101869018,0.21089561600562795,0.1865217990877197,0.24258910471999146,1.1306754333119284,0.869353206315899,1.3975905858381443,0.9388320373387609,1.3415893995396966,1.0417424185951842,3,0.5,0.012084384649306938,0.008258103545774933,0.011240047520506512,1.0751186440502145,0.18719236641743553,0.6018647023037372,0.17272522558171438,0.09956583473877537,0.4291815354346628
2,rough_seed_7,16,6,0.9617853073716038,0.18648965868317427,0.19085245035171428,0.24310993800552363,0.977140499582269,0.7671001038177925,1.8614849552299484,0.9700384685163732,1.3189928411195153,1.4112926902999599,2,0.3333333333333333,0.02184273057830038,0.008057446440119981,0.011031844860250209,1.979970789564292,0.2597743537485096,0.5092705981054324,0.24676500621807357,0.19653415353206363,0.6852038908119873
3,rough_seed_15,16,6,0.9606309127785133,0.20446264933351052,0.18904036655257864,0.23865902640240103,1.0815819555483268,0.8567145035979814,1.3319228923618904,0.9714953557016067,1.401355086158237,0.9504535328110933,1,0.16666666666666666,0.01742390628218706,0.008156089430612811,0.011119116887843714,1.567022494496504,0.6200644230719811,1.09692473298913,0.35767241796780547,0.3986897657623207,0.4755620616814642
4,rough_seed_0,16,6,0.9627390765219628,0.2304232073385626,0.18727441817693902,0.25362506574474153,1.2304040753759338,0.908519064004777,1.253038615212595,0.9717192415360167,1.3584795356623296,0.9223831366746893,0,0.0,0.015534478407631148,0.00877010430146014,0.010426135186858221,1.4899555903717625,0.2431545521861394,0.6337512762456708,0.22509081126603397,0.2579321034037071,0.4349923819648891
5,rough_seed_5,16,6,0.9631899341097631,0.1478639008190469,0.193561599845115,0.2811948397651738,0.7639113384956795,0.5258414448235545,0.6591452525190996,0.9834187352125395,1.3737138436075704,0.4798271893279384,0,0.0,0.013977754736517781,0.008394145448278073,0.011298846357792679,1.237095743573634,0.162057227145299,0.4388736777400915,0.24986347548838556,0.14703569762423532,0.7261040755239071
6,rough_seed_11,16,6,0.9624515578724525,0.1490293252797802,0.1956427573200751,0.24134285889995136,0.7617421023972051,0.6175004554063076,0.8609501929065445,1.007502193359005,1.3322483558725688,0.6462385103434088,1,0.16666666666666666,0.011896222363668362,0.008253189132792153,0.011306795691484628,1.0521303018349968,0.3243770344763112,0.9677356088881005,0.06211859463339551,0.09008131524614764,0.09992766007194435
7,rough_seed_4,16,6,0.9632155007360184,0.18392315158946046,0.19206099148167496,0.24492873949411154,0.957628877007068,0.7509251546770086,1.0782055476302157,0.981054080516464,1.324818078013974,0.8138517774806836,1,0.16666666666666666,0.014790691987070087,0.008191882957638272,0.011260608184783109,1.313489621906685,10.516238941878255,19.614848097354685,0.4150294400574491,0.6223991526729314,0.7288891468108776
8,rough_seed_25,16,6,0.9609919383363333,0.13541876301407876,0.19354795020089113,0.24208611953806097,0.6996651882570817,0.5593826001774882,0.5087868351750837,0.9499278450389971,1.3143728603673672,0.3870947510532725,0,0.0,0.007471504041722769,0.008497680213456359,0.011190609350774466,0.6676583738673435,0.18782786716522254,0.5336456853396148,0.09034548904901664,0.09048200315344256,0.149422060633411
9,rough_seed_12,16,6,0.9627202199121234,0.16857040835200313,0.19275396846602685,0.2435061017176103,0.8745366421948085,0.692263590780535,0.6227379274700156,0.9612811360161948,1.31190554973748,0.4746819827041886,0,0.0,0.011377679031411386,0.00811300396678073,0.011163290861786438,1.0192047463672946,1.0103468653701595,2.017349388150348,0.1891133306414157,0.126424759408677,0.4019753721479377
10,rough_seed_6,16,6,0.9614045923216937,0.1754253680012851,0.201820666003708,0.24201500149262797,0.8692140972226405,0.724853281488126,0.6161162545865538,0.9821109698069834,1.3185909752692364,0.4672535047957174,0,0.0,0.011214378170172882,0.008333549174105587,0.011012763889657586,1.01830732798191,0.18220732408226414,0.577408630749366,0.09553183442139561,0.02251376867896647,0.33490424451598544
