context_id,group,terrain,seed,source_beta_name,cost_motion,cost_stability,cost_energy,ideal_cost_motion,ideal_cost_stability,ideal_cost_energy,regret_motion,regret_stability,regret_energy,utopia_l2_score,chebyshev_score,selected_utopia_l2,selected_chebyshev
flat_train:flat:27100,flat_train,flat,27100,balanced,0.2030304388839268,0.011355144203711469,0.5387056566710693,0.19835416724562394,0.011197067652175504,0.5290985907145127,0.1041663395105399,0.0006735659488734875,0.03387577756646279,0.06324199101821777,0.1041663395105399,0,0
flat_train:flat:27100,flat_train,flat,27100,motion,0.19835416724562394,0.011197067652175504,0.5434552248821048,0.19835416724562394,0.011197067652175504,0.5290985907145127,0.0,0.0,0.05062337948585798,0.029227421773448687,0.05062337948585798,1,1
flat_train:flat:27100,flat_train,flat,27100,stability,0.20818512086391436,0.011453654655234728,0.5290985907145127,0.19835416724562394,0.011197067652175504,0.5290985907145127,0.21898951376718262,0.0010933200813459663,0.0,0.12643523043939317,0.21898951376718262,0,0
flat_train:flat:27100,flat_train,flat,27100,energy,0.2061011887426643,0.011441272882193914,0.5314020918061686,0.19835416724562394,0.011197067652175504,0.5290985907145127,0.17256886123686163,0.0010405612083446486,0.008122447681519629,0.0997447889909619,0.17256886123686163,0,0
flat_train:flat:27101,flat_train,flat,27101,balanced,0.2033722443053676,0.01134791284137214,0.5369241383872321,0.19893305317709045,0.011111225650874785,0.5326052482380011,0.09888525004251372,0.0010085267581085842,0.015228974453900162,0.057767440267304626,0.09888525004251372,0,0
flat_train:flat:27101,flat_train,flat,27101,motion,0.19893305317709045,0.011111225650874785,0.5394416710116232,0.19893305317709045,0.011111225650874785,0.5326052482380011,0.0,0.0,0.024106125457738516,0.013917678022144223,0.024106125457738516,1,1
flat_train:flat:27101,flat_train,flat,27101,energy,0.20696042613535245,0.011438929036660727,0.5326052482380011,0.19893305317709045,0.011111225650874785,0.5326052482380011,0.1788138332467611,0.0013963477811934897,0.0,0.1032413624272858,0.1788138332467611,0,0
flat_train:flat:27102,flat_train,flat,27102,balanced,0.20303906793465695,0.011385505444421061,0.5382371881359014,0.19826534725952003,0.01120368871834812,0.5300421826284357,0.1063370665856497,0.0007747230973123099,0.02889666678486586,0.06362177110914674,0.1063370665856497,0,0
flat_train:flat:27102,flat_train,flat,27102,motion,0.19826534725952003,0.01120368871834812,0.5449890221341465,0.19826534725952003,0.01120368871834812,0.5300421826284357,0.0,0.0,0.05270452110006741,0.030428969444634232,0.05270452110006741,1,1
flat_train:flat:27102,flat_train,flat,27102,stability,0.20842490210642345,0.011459994923857209,0.5300421826284357,0.19826534725952003,0.01120368871834812,0.5300421826284357,0.22630927399302464,0.0010921235998535466,0.0,0.13066124167633805,0.22630927399302464,0,0
flat_train:flat:27102,flat_train,flat,27102,energy,0.20624762881816983,0.011477390419960655,0.5336275714751569,0.19826534725952003,0.01120368871834812,0.5300421826284357,0.17780939928648015,0.0011662460027348947,0.012642552430683848,0.10291967213369271,0.17780939928648015,0,0
flat_train:flat:27103,flat_train,flat,27103,balanced,0.2035325858964294,0.011291397168657449,0.5393894403225634,0.19828373212965578,0.011159301583463073,0.5254755691606684,0.1169208989128243,0.0005628607615671924,0.049062138919437406,0.07320725576555456,0.1169208989128243,0,0
flat_train:flat:27103,flat_train,flat,27103,motion,0.19828373212965578,0.011159301583463073,0.5446378660009256,0.19828373212965578,0.011159301583463073,0.5254755691606684,0.0,0.0,0.06756877785147965,0.0390108520813658,0.06756877785147965,1,1
flat_train:flat:27103,flat_train,flat,27103,stability,0.2085849235270693,0.01151046388330626,0.5254755691606684,0.19828373212965578,0.011159301583463073,0.5254755691606684,0.22946430050745792,0.001496306475591723,0.0,0.13248409230349864,0.22946430050745792,0,0
flat_train:flat:27103,flat_train,flat,27103,energy,0.2066347340890774,0.011470684987346573,0.534863992924077,0.19828373212965578,0.011159301583463073,0.5254755691606684,0.1860228345661294,0.0013268081563161368,0.033104816449383324,0.10909045829348624,0.1860228345661294,0,0
flat_train:flat:27104,flat_train,flat,27104,balanced,0.20275299564345195,0.011229601636326709,0.5350506146609368,0.19881816313048156,0.011105011494694424,0.5292785593640402,0.08765040424639209,0.0005308799828527338,0.020353025806546778,0.05195228855271633,0.08765040424639209,0,0
flat_train:flat:27104,flat_train,flat,27104,motion,0.19881816313048156,0.011105011494694424,0.5437821685171378,0.19881816313048156,0.011105011494694424,0.5292785593640402,0.0,0.0,0.05114163260698054,0.02952663535243716,0.05114163260698054,1,1
flat_train:flat:27104,flat_train,flat,27104,energy,0.20623255450598715,0.011386859780744028,0.5292785593640402,0.19881816313048156,0.011105011494694424,0.5292785593640402,0.16515935536311832,0.0012009586898672666,0.0,0.09535731918375148,0.16515935536311832,0,0
flat_train:flat:27105,flat_train,flat,27105,balanced,0.2033471031204577,0.011368821516054863,0.5349547083655947,0.19873199651321327,0.01117936844890361,0.5246354718045745,0.10280385719894389,0.000807261631803077,0.03638698474410451,0.0629637392607595,0.10280385719894389,0,0
flat_train:flat:27105,flat_train,flat,27105,motion,0.19873199651321327,0.01117936844890361,0.5394387014678884,0.19873199651321327,0.01117936844890361,0.5246354718045745,0.0,0.0,0.05219813391594812,0.03013660666756878,0.05219813391594812,1,1
flat_train:flat:27105,flat_train,flat,27105,stability,0.20886313273366347,0.011505455955921411,0.5246354718045745,0.19873199651321327,0.01117936844890361,0.5246354718045745,0.22567623457176805,0.0013894625037430884,0.0,0.13029670430283466,0.22567623457176805,0,0
flat_train:flat:27105,flat_train,flat,27105,energy,0.20684535987177607,0.011508889200141703,0.5303036272921614,0.19873199651321327,0.01117936844890361,0.5246354718045745,0.1807293133397078,0.0014040915956513174,0.019986661419616452,0.10498336821953219,0.1807293133397078,0,0
flat_train:flat:27106,flat_train,flat,27106,balanced,0.2030361497534538,0.011411024672171024,0.5378422427936318,0.19875620361317525,0.011138279518062427,0.5298248023916671,0.09533798658815322,0.001162170143153748,0.028270548879074875,0.05741633408722842,0.09533798658815322,0,0
flat_train:flat:27106,flat_train,flat,27106,motion,0.19875620361317525,0.011138279518062427,0.5451315016620261,0.19875620361317525,0.011138279518062427,0.5298248023916671,0.0,0.0,0.053973433939582593,0.031161576614106495,0.053973433939582593,1,1
flat_train:flat:27106,flat_train,flat,27106,stability,0.2084715728729221,0.011479545038460439,0.5298248023916671,0.19875620361317525,0.011138279518062427,0.5298248023916671,0.21641481313697528,0.0014541361880126401,0.0,0.12494997113133616,0.21641481313697528,0,0
flat_train:flat:27106,flat_train,flat,27106,energy,0.2065526405151475,0.011515405315277586,0.5304825792212364,0.19875620361317525,0.011138279518062427,0.5298248023916671,0.17366961462445812,0.001606937227423679,0.002319407576426311,0.10028143221714621,0.17366961462445812,0,0
flat_train:flat:27107,flat_train,flat,27107,balanced,0.20329890418813903,0.011340106413105296,0.5389735975465749,0.19777294964570663,0.011230212279242965,0.5272380555986839,0.12309346024127252,0.0004682601298635348,0.04138106373437903,0.07497691124052279,0.12309346024127252,0,0
flat_train:flat:27107,flat_train,flat,27107,motion,0.19777294964570663,0.011230212279242965,0.540720139411678,0.19777294964570663,0.011230212279242965,0.5272380555986839,0.0,0.0,0.04753959996180719,0.027447000835116506,0.04753959996180719,1,1
flat_train:flat:27107,flat_train,flat,27107,stability,0.20870090258363894,0.011427415672212084,0.5272380555986839,0.19777294964570663,0.011230212279242965,0.5272380555986839,0.2434257339894363,0.0008402858565401801,0.0,0.14054275037465352,0.2434257339894363,0,0
flat_train:flat:27107,flat_train,flat,27107,energy,0.2064790728766723,0.011509633801204908,0.5335465267423437,0.19777294964570663,0.011230212279242965,0.5272380555986839,0.1939333422954232,0.0011906182210278662,0.022244498602741674,0.11270370674724856,0.1939333422954232,0,0
flat_train:flat:27108,flat_train,flat,27108,balanced,0.2038492129557286,0.011300652711629682,0.5338688987372093,0.19828124426190244,0.011224813519734088,0.5282784140482832,0.12402934692554532,0.0003231516423821562,0.01971278397246015,0.07250741841978685,0.12402934692554532,0,0
flat_train:flat:27108,flat_train,flat,27108,motion,0.19828124426190244,0.011224813519734088,0.5441151248518414,0.19828124426190244,0.011224813519734088,0.5282784140482832,0.0,0.0,0.055842324284200516,0.03224058095765755,0.055842324284200516,1,1
flat_train:flat:27108,flat_train,flat,27108,stability,0.20820294475241616,0.011509363574299564,0.5282784140482832,0.19828124426190244,0.011224813519734088,0.5282784140482832,0.22101094670193874,0.0012124709556419703,0.0,0.127602649721581,0.22101094670193874,0,0
flat_train:flat:27108,flat_train,flat,27108,energy,0.20670673249803673,0.011497837023962001,0.5322661109926886,0.19828124426190244,0.011224813519734088,0.5282784140482832,0.18768205442952968,0.0011633561961161565,0.014061143673001087,0.1086640429855874,0.18768205442952968,0,0
