context_index,context_id,group,terrain,seed,beta_name,beta_motion,beta_stability,beta_energy,feasible,strict_feasible,pareto_nondominated,good_candidate,cost_motion,cost_stability,cost_energy,motion_rank,stability_rank,energy_rank,episode_energy_abs_j,decision_time_s,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps
0,flat:flat:27027,flat,flat,27027,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20278592850707208,0.01127110473648551,0.5398095436365559,2,2,3,160.38821080618308,6.942000000000001,0.003825035084960367,0.027794052021573073,0.21831091252319954
0,flat:flat:27027,flat,flat,27027,motion,0.7,0.15,0.15,True,True,True,True,0.198493207384417,0.011197501790156638,0.545022650388769,1,1,4,161.9371290766833,6.960000000000001,0.0038034609828890764,0.02770315303103494,0.2224399467163226
0,flat:flat:27027,flat,flat,27027,stability,0.15,0.7,0.15,True,True,False,False,0.20785110094542547,0.011462480126974765,0.5298806085616553,4,4,2,162.06865873823364,7.14,0.003532395109151478,0.02802902070187614,0.21398370425615995
0,flat:flat:27027,flat,flat,27027,energy,0.15,0.15,0.7,True,True,True,True,0.20604207027638508,0.011435864140022154,0.5286856363714737,3,3,1,161.7031659518153,7.140000000000002,0.0036091284992365866,0.0279964600794305,0.21545831722872602
1,flat:flat:27028,flat,flat,27028,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2028468856769183,0.011268477762874778,0.5367423895188741,2,2,3,159.47689797927794,6.94,0.003751753419034438,0.027790813083169056,0.21831447639886073
1,flat:flat:27028,flat,flat,27028,motion,0.7,0.15,0.15,True,True,True,True,0.19852049872386535,0.011227860326064222,0.5393030848717228,1,1,4,160.23773177872562,6.972,0.003783214000727924,0.027740681432965274,0.22242826525779333
1,flat:flat:27028,flat,flat,27028,stability,0.15,0.7,0.15,True,True,True,True,0.20841263329969492,0.011474860273804625,0.5293656997664316,4,4,1,161.91116934068614,7.154000000000001,0.003573040202051173,0.02804415316613699,0.21398339514221465
1,flat:flat:27028,flat,flat,27028,energy,0.15,0.15,0.7,True,True,True,True,0.20667276839381665,0.011461913404854467,0.5297238129876041,3,3,2,162.02070142865867,7.140000000000002,0.0037161523888185463,0.02802832787122367,0.21546291417309218
2,flat:flat:27029,flat,flat,27029,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2028322119230605,0.011278937683790862,0.5355170403285672,2,2,3,159.11282222966784,6.924000000000003,0.0037999976328860403,0.027803708444508513,0.21832018021275013
2,flat:flat:27029,flat,flat,27029,motion,0.7,0.15,0.15,True,True,True,True,0.19852762819606845,0.011215192456728314,0.5408861659091527,1,1,4,160.70809681422324,6.975999999999999,0.003788396098471993,0.027725028032869557,0.22242435979492525
2,flat:flat:27029,flat,flat,27029,stability,0.15,0.7,0.15,True,True,False,False,0.2087941899950413,0.011481918312888492,0.5311853729776832,4,4,2,162.46773244551463,7.165999999999999,0.0035745435094602517,0.028052776752965396,0.21398287458079204
2,flat:flat:27029,flat,flat,27029,energy,0.15,0.15,0.7,True,True,True,True,0.20683556531974678,0.011392075934433735,0.5273970228986716,3,3,1,161.30903215300367,7.153999999999999,0.0036325496966952146,0.02794280899945488,0.2154657289172922
3,flat:flat:27030,flat,flat,27030,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2033012664784807,0.01126279230654685,0.5389402105096482,2,2,3,160.12991454880316,6.936000000000002,0.003841266609662169,0.027783801160596866,0.21830909401178358
3,flat:flat:27030,flat,flat,27030,motion,0.7,0.15,0.15,True,True,True,True,0.19877825418881892,0.011206947768963159,0.5427870117125188,1,1,4,161.27287611650542,6.9760000000000035,0.0038214456562466804,0.02771483511842829,0.22243371325380662
3,flat:flat:27030,flat,flat,27030,stability,0.15,0.7,0.15,True,True,False,False,0.2082875527109367,0.011491745353146031,0.530512800987207,4,4,2,162.26202036879366,7.160000000000002,0.0034943642425356697,0.02806477903114297,0.21397569977811404
3,flat:flat:27030,flat,flat,27030,energy,0.15,0.15,0.7,True,True,True,True,0.20697595899354587,0.011439813898563878,0.5274375505040189,3,3,1,161.32142787863387,7.157999999999999,0.003644302686815171,0.028001294228584994,0.2154375994418349
4,flat:flat:27031,flat,flat,27031,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2031993275763825,0.011343150345441987,0.5401013837669101,2,2,3,160.4749223452818,6.956,0.0037763086389544513,0.02788274156912366,0.21830708450254274
4,flat:flat:27031,flat,flat,27031,motion,0.7,0.15,0.15,True,True,True,True,0.19876011937612298,0.011147469843562324,0.5439963446828768,1,1,4,161.63219312686792,6.952,0.0038427921129029698,0.027641192867927336,0.2224418907042812
4,flat:flat:27031,flat,flat,27031,stability,0.15,0.7,0.15,True,True,True,True,0.20854999502551186,0.011485427337144798,0.5320769386493607,4,3,1,162.74042567159447,7.170000000000003,0.003548341501591298,0.02805706288165791,0.2139803403190204
4,flat:flat:27031,flat,flat,27031,energy,0.15,0.15,0.7,True,True,True,True,0.20628656028599632,0.011555254196354961,0.534539072269744,3,4,2,163.49349096034507,7.158000000000001,0.0036958996049464717,0.028142221776196952,0.21544655978679658
5,flat:flat:27032,flat,flat,27032,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,False,False,0.20305339745831014,0.01138207029850228,0.5402352389148841,2,2,4,160.51469338664975,6.960000000000003,0.0037580793410028047,0.027930535325182106,0.21830225394052616
5,flat:flat:27032,flat,flat,27032,motion,0.7,0.15,0.15,True,True,True,True,0.19815626278645365,0.011158050138332008,0.5313396025653098,1,1,2,157.87162192763296,6.928000000000002,0.003684714410730912,0.027654306946055272,0.22247681525700233
5,flat:flat:27032,flat,flat,27032,stability,0.15,0.7,0.15,True,True,True,True,0.20801823183517,0.011419506865332895,0.5256541788088417,4,3,1,160.775967912749,7.1320000000000014,0.003501034741339445,0.027976430506524572,0.21398728570767817
5,flat:flat:27032,flat,flat,27032,energy,0.15,0.15,0.7,True,True,False,False,0.20644830681799428,0.011485305687985047,0.5318036845486267,3,4,3,162.6568484942358,7.158,0.003653839579368789,0.028056914321967354,0.21544208475521634
6,flat:flat:27033,flat,flat,27033,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2036506524371058,0.011323680233231673,0.5362141983358067,2,2,3,159.31996181574686,6.952000000000001,0.0037493761538527504,0.027858801294579506,0.21829410725656676
6,flat:flat:27033,flat,flat,27033,motion,0.7,0.15,0.15,True,True,True,True,0.19815104333628952,0.011155021568430748,0.54283516073271,1,1,4,161.28718215331335,6.964,0.0038420302341335257,0.02765055367818222,0.22243094777359684
6,flat:flat:27033,flat,flat,27033,stability,0.15,0.7,0.15,True,True,True,True,0.20851166611973213,0.011415131062328754,0.516559505337347,4,3,1,157.9942817982328,7.124000000000006,0.003349365893175289,0.027971069750991902,0.21400537097028324
6,flat:flat:27033,flat,flat,27033,energy,0.15,0.15,0.7,True,True,True,True,0.20655654801495493,0.011512015271795252,0.5308664569921817,3,4,2,162.3701891778704,7.1599999999999975,0.0036539847301210317,0.02808951935584351,0.21543093704751562
7,flat:flat:27034,flat,flat,27034,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20285236395503534,0.011334485203321665,0.5230908556077446,2,2,1,155.42075424381224,6.930000000000003,0.003599848458248718,0.027872089302341606,0.21833266265252058
7,flat:flat:27034,flat,flat,27034,motion,0.7,0.15,0.15,True,True,True,True,0.19815123333286322,0.011007672398798985,0.5352910765017778,1,1,4,159.0456838577867,6.922000000000001,0.0037484437827597053,0.027467325574942816,0.22247262469985904
7,flat:flat:27034,flat,flat,27034,stability,0.15,0.7,0.15,True,True,False,False,0.20852131891026154,0.011497474349337771,0.5308365484721994,4,3,2,162.36104139318067,7.167999999999999,0.0035416572326329673,0.028071773448280435,0.21397750865135873
7,flat:flat:27034,flat,flat,27034,energy,0.15,0.15,0.7,True,True,False,False,0.20673476528677975,0.01150441876075775,0.5308895747889014,3,4,3,162.37725995994245,7.162000000000002,0.0036415667477290247,0.02808024991707795,0.2154323473572731
8,flat:flat:27035,flat,flat,27035,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20314606966111906,0.011357881827509207,0.5401308558637374,2,2,3,160.48367909464758,6.95,0.0037903782100042437,0.02790084154128196,0.2183043040773448
8,flat:flat:27035,flat,flat,27035,motion,0.7,0.15,0.15,True,True,True,True,0.19748200554144568,0.011134223693022843,0.5425389098427409,1,1,4,161.19916008932427,6.943999999999998,0.003758653626067727,0.02762476532015913,0.22245195529916706
8,flat:flat:27035,flat,flat,27035,stability,0.15,0.7,0.15,True,True,True,True,0.20841637031450638,0.011495225797730773,0.5287823154182716,4,4,1,161.73273609118158,7.164000000000002,0.003483769259081374,0.02806902855894488,0.21396851901497163
8,flat:flat:27035,flat,flat,27035,energy,0.15,0.15,0.7,True,True,True,True,0.20667139776751023,0.0114229470100988,0.5330347949067483,3,3,2,163.0333944581297,7.148000000000001,0.0036839084379935807,0.027980644138776243,0.21544334466968262
9,flat:flat:27036,flat,flat,27036,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2031937295472977,0.011346392625228716,0.5402625657928969,2,2,3,160.52281274860445,6.948000000000001,0.0037896795518054262,0.027886726235031807,0.21830468778224554
9,flat:flat:27036,flat,flat,27036,motion,0.7,0.15,0.15,True,True,True,True,0.19827189163028397,0.011234018298810782,0.5468683205732533,1,1,4,162.48551459916504,6.964000000000001,0.0038051815667596205,0.02774828792373843,0.22244428729309756
9,flat:flat:27036,flat,flat,27036,stability,0.15,0.7,0.15,True,True,True,True,0.20837778175120333,0.011504857540974687,0.526787520164343,4,4,1,161.12261036467274,7.164,0.0034920638191297,0.028080785313412505,0.21397003552743366
9,flat:flat:27036,flat,flat,27036,energy,0.15,0.15,0.7,True,True,True,True,0.2063921400118817,0.011495324461108344,0.5340046406712781,3,3,2,163.33003034119577,7.146000000000001,0.0037189030960476164,0.028069149098845496,0.21545217567256522
10,low_friction:low_friction:27027,low_friction,low_friction,27027,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20460490422416078,0.009809118264765129,0.580790452808815,2,3,3,172.5644584787783,6.946000000000002,0.00521751632011657,0.025928871277498645,0.21890453117735245
10,low_friction:low_friction:27027,low_friction,low_friction,27027,motion,0.7,0.15,0.15,True,True,True,True,0.20053029973248493,0.00948927023982902,0.5869817403754941,1,1,4,174.4040138314247,6.946000000000001,0.005578488954766662,0.025502633806674866,0.22306096588864047
10,low_friction:low_friction:27027,low_friction,low_friction,27027,stability,0.15,0.7,0.15,True,True,True,True,0.20962149056567397,0.010154817364464431,0.5743277555290139,4,4,1,175.663210751176,7.162000000000002,0.005168617476104769,0.02638181595371018,0.21467906021646094
10,low_friction:low_friction:27027,low_friction,low_friction,27027,energy,0.15,0.15,0.7,True,True,True,True,0.20845273568459055,0.009783730945752174,0.5772640443461927,3,2,2,176.5613005898662,7.136000000000002,0.005008812949316998,0.02589529580913722,0.21591072797775268
11,low_friction:low_friction:27028,low_friction,low_friction,27028,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20455835444366255,0.010530943737597479,0.578095295148489,2,4,3,171.76367323873208,6.966000000000004,0.005575351255983554,0.026865954145027945,0.21888749581926012
11,low_friction:low_friction:27028,low_friction,low_friction,27028,motion,0.7,0.15,0.15,True,True,True,True,0.20036780750103841,0.009414161549364091,0.5865027225123635,1,1,4,174.2616880446405,6.950000000000003,0.005572874324290384,0.025401504928827635,0.223063451095539
11,low_friction:low_friction:27028,low_friction,low_friction,27028,stability,0.15,0.7,0.15,True,True,True,True,0.20978046997138788,0.010177167252527212,0.5736850609099698,4,3,1,175.46663693208586,7.165999999999999,0.005203026532655607,0.026410832039195045,0.21467428656561038
11,low_friction:low_friction:27028,low_friction,low_friction,27028,energy,0.15,0.15,0.7,True,True,True,True,0.2080907821351918,0.010022993012053819,0.5777621738830252,3,2,2,176.71365790320797,7.146000000000002,0.005131817950937344,0.026210019506011307,0.21589958469782558
12,low_friction:low_friction:27029,low_friction,low_friction,27029,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.20493310684729413,0.0098001680933653,0.5805677844439192,2,2,3,172.49829925453014,6.964000000000002,0.005201451956779187,0.025917039414218433,0.21890255296055008
12,low_friction:low_friction:27029,low_friction,low_friction,27029,motion,0.7,0.15,0.15,True,True,True,True,0.20131371957872637,0.00941930644101148,0.5829475311161425,1,1,4,173.2053695822582,6.956000000000001,0.005270571209085705,0.025408445212069083,0.22305319620405925
12,low_friction:low_friction:27029,low_friction,low_friction,27029,stability,0.15,0.7,0.15,True,True,True,True,0.209699550489973,0.009931658305412795,0.5734504758732466,4,3,1,175.39488702909352,7.162,0.005219902207460155,0.026090326423700884,0.21468021082026617
12,low_friction:low_friction:27029,low_friction,low_friction,27029,energy,0.15,0.15,0.7,True,True,True,True,0.20792647182395163,0.01009586789760667,0.5799092679119243,3,4,2,177.3703655536221,7.158,0.005259353394597224,0.026305130015642154,0.21589345893689563
13,low_friction:low_friction:27030,low_friction,low_friction,27030,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,True,True,True,0.2042292021398552,0.009725393494154685,0.5791109879209064,2,2,3,172.06545587376914,6.9300000000000015,0.0052082503546970905,0.025817977545842478,0.21891540008432722
13,low_friction:low_friction:27030,low_friction,low_friction,27030,motion,0.7,0.15,0.15,True,True,True,True,0.20104849826631502,0.009350715873801312,0.5891643949221006,1,1,4,175.0525241470813,6.962000000000002,0.005416012334755282,0.025315764942077924,0.22306262149530304
13,low_friction:low_friction:27030,low_friction,low_friction,27030,stability,0.15,0.7,0.15,True,True,True,True,0.20940738894601477,0.009900872236306172,0.5725314790397587,4,3,1,175.11380374017608,7.144000000000001,0.005205052500005725,0.02604985776769861,0.21469113756503377
