decision_index,context_id,group,terrain,seed,mission,primary_metric,selected_beta_name,feasible_choice_count,preference_pair_count,support_class,max_margin_rho,beta_hat_motion,beta_hat_stability,beta_hat_energy,min_pair_margin_at_beta_hat,max_pair_margin_at_beta_hat,source_beta_consistent,source_beta_min_margin
56,flat_train:flat:27101,flat_train,flat,27101,efficient,cost_energy,energy,3,2,strict,0.004318890149230925,0.0,0.0,1.0,0.004318890149230925,0.006836422773622064,1,0.002471343400670631
59,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,motion,2,1,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.004773720675136928,1,0.0023561018817700283
62,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,balanced,2,1,strict,0.005385834171766496,1.0,-0.0,0.0,0.005385834171766496,0.005385834171766496,0,-0.0009115606187543382
63,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,motion,3,2,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.010159554846903424,1,0.002356101881770028
65,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,energy,2,1,strict,0.0021772732882536228,1.0,0.0,0.0,0.0021772732882536228,0.0021772732882536228,0,-0.002185790523882324
66,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,balanced,3,2,strict,0.003208560883512873,1.0,-0.0,0.0,0.003208560883512873,0.005385834171766496,0,-0.0009115606187543382
67,flat_train:flat:27102,flat_train,flat,27102,fast,decision_time_s,motion,4,3,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.010159554846903424,1,0.002356101881770028
70,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,motion,2,1,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.004773720675136928,1,0.0023561018817700283
72,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,balanced,2,1,strict,0.003208560883512873,1.0,-0.0,0.0,0.003208560883512873,0.003208560883512873,0,-0.00043639026723065843
73,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,motion,3,2,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.0079822815586498,1,0.002356101881770028
75,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,stability,2,1,strict,0.003585388846721216,0.0,-0.0,1.0,0.003585388846721216,0.003585388846721216,1,0.00022339418104255147
76,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,balanced,3,2,strict,0.003208560883512873,1.0,-0.0,0.0,0.003208560883512873,0.005385834171766496,0,-0.0009115606187543382
77,flat_train:flat:27102,flat_train,flat,27102,stable,cost_stability,motion,4,3,strict,0.004773720675136928,1.0,-0.0,0.0,0.004773720675136928,0.010159554846903424,1,0.002356101881770028
