context_id,context_name,terrain,seed,friction_mu,start_x_m,start_y_m,start_yaw_rad,start_height_m,patch_min_m,patch_max_m,patch_std_m,geometry_sha256,h_l00_r00_m,h_l00_r01_m,h_l00_r02_m,h_l00_r03_m,h_l00_r04_m,h_l00_r05_m,h_l01_r00_m,h_l01_r01_m,h_l01_r02_m,h_l01_r03_m,h_l01_r04_m,h_l01_r05_m,h_l02_r00_m,h_l02_r01_m,h_l02_r02_m,h_l02_r03_m,h_l02_r04_m,h_l02_r05_m,h_l03_r00_m,h_l03_r01_m,h_l03_r02_m,h_l03_r03_m,h_l03_r04_m,h_l03_r05_m,h_l04_r00_m,h_l04_r01_m,h_l04_r02_m,h_l04_r03_m,h_l04_r04_m,h_l04_r05_m,h_l05_r00_m,h_l05_r01_m,h_l05_r02_m,h_l05_r03_m,h_l05_r04_m,h_l05_r05_m,h_l06_r00_m,h_l06_r01_m,h_l06_r02_m,h_l06_r03_m,h_l06_r04_m,h_l06_r05_m,h_l07_r00_m,h_l07_r01_m,h_l07_r02_m,h_l07_r03_m,h_l07_r04_m,h_l07_r05_m
flat,flat,flat,,0.8,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_friction,low_friction,low_friction,,0.152,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rough_seed_13,rough_perlin_seed_13,rough_perlin,13,0.8,10.485357813748866,9.742106541400547,-2.392918857385462,0.08507676659777381,-0.03769529243332581,0.14217504590552665,0.05299397061033244,369a851935928958a3fb85c2f0b570e3a4cd84cc3a30e786f8f4b8e5d6a609bd,0.012384273476596083,-0.0016368071581796956,-0.005313631038085381,0.004050707944488363,-0.012029575754460384,-0.030470250638110957,0.011608914779029589,0.009927817264709551,-0.009676463033531577,-0.03769529243332581,-0.02420014341679652,-0.03438849244259377,0.010709873760438957,0.016434776901746648,0.0038834296534342866,-0.019582412690917192,-0.024030865017291306,-0.01460462419965361,0.007439913491082764,0.037500055045833716,0.03834260456198724,0.016612377996053126,0.013136415761070816,0.028908638802218597,0.010984133912286156,0.04645237809031756,0.06106746660249289,0.0696758009735463,0.05190092452149979,0.06351591770880795,0.029491141835214063,0.05855829558727839,0.08532972156454148,0.08982297870678511,0.07077944983981103,0.09482208329796242,0.0686738157995309,0.0866110570345296,0.10478809994253378,0.10395865569048375,0.10705771604184373,0.12807798911765383,0.10800836541527019,0.12337322898639948,0.1407827421075965,0.14217504590552665,0.13346975620521473,0.1406103783627345
rough_seed_7,rough_perlin_seed_7,rough_perlin,7,0.8,-9.16447523203687,8.217004199188606,-0.7309454735721689,0.29452560135107464,-0.07962943081344465,0.11524076891018803,0.048059127417444364,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80,0.05528476092107515,0.07086472287724399,0.08454569143684482,0.09664750632471653,0.11524076891018803,0.1064333717631556,0.0542294007280435,0.054762582213422784,0.046242699573759094,0.05333436264657593,0.07384925098076411,0.08770465993545751,0.0590943246353991,0.009773868195619206,0.009903202507080155,0.01180131778214999,0.046006408323086,0.060012866436751966,0.04967204766682348,0.011497024638813413,-0.008108946109280313,-0.007243045080587096,0.017772464663587895,0.02353467778778373,0.01995852139490606,-0.00338759209918732,-0.01368796702660019,-0.021128667179566574,0.013050734978311163,0.014909787536963537,-0.009218868010029857,-0.009020117999144484,-0.017364001825794284,-0.025631385045661814,-0.020719926195070515,-0.009896292036384757,-0.03774276225274731,-0.025483381430335572,-0.01983148142082153,-0.041548349088108005,-0.04654889242739457,-0.038908234985831736,-0.04363836246783387,-0.04903537080852119,-0.04803381552080191,-0.056486954722947846,-0.07962943081344465,-0.06118032032899104
rough_seed_15,rough_perlin_seed_15,rough_perlin,15,0.8,-0.21762295382829788,-9.968860530852025,1.5489726892882194,0.1438705054497039,-0.028052171837597298,0.11283555073131027,0.036354038766438786,e4d71a43daafb13aa30dbc2af3a90f8e1da8ac239791b6fcab88dccc7cb9dcef,0.08506651008546465,0.0818448617020002,0.0667457550203597,0.05701063058988659,0.013500093341697633,-0.028052171837597298,0.07084850494730591,0.06593195964559456,0.05402278556105658,0.03641609944093388,-0.006211014307136664,-0.025946776953093276,0.04405857560419063,0.05131493605902343,0.020482904575091,-0.022043214846614104,-0.021678510946283508,-0.0051204812988732695,0.017860796604713486,0.01379595954069815,0.017507823189582244,-0.013152783892159098,-0.0055069837363095064,0.037788218932942125,0.031110449619935254,0.02289584379468801,0.0278641277115467,0.028457651311942084,0.04713168962508227,0.06864628584870305,0.046824235760494576,0.05621272589177331,0.06149134095530889,0.08735618259454889,0.07553986884600511,0.08889634444803432,0.0501421862791783,0.07554924243031,0.09833400746661894,0.07997424816281504,0.08711930924163111,0.07993360650445716,0.06598956568438505,0.08517627893705226,0.11283555073131027,0.07391648902460618,0.0728906818251916,0.07585058556258831
rough_seed_0,rough_perlin_seed_0,rough_perlin,0,0.8,8.550653174903067,-3.1342309127439734,2.7902504866320035,0.39495313785849573,-0.03903627583036029,0.07718117332169777,0.031004965854538893,7a7c6db151ee37bbe187a27113d570419ab275fd4c04d2fe1a04b076fa51032c,0.05748391579814627,0.05593427802629325,0.04564133973356321,0.026782669975302265,-0.008390966131159416,-0.015491793843333324,0.055051272921242955,0.07718117332169777,0.03933305152192079,0.00025864886922755126,-0.02655540654074251,-0.021719371581726266,0.06847430033292079,0.06500311577217704,0.027555486184973388,-0.015430721163178618,-0.03903627583036029,-0.02331944399730429,0.06325758312111962,0.047629464423753265,0.015926939454561695,-0.018719270084307793,-0.02095368160771638,-0.011967257358398042,0.05529865752193236,0.04728505123604343,0.010319519074671768,-0.01502120559568998,-0.016189196369018388,-0.006410874425492208,0.03335282326848604,0.016752562683581496,-0.010903178405869074,-0.01938959928615802,-0.00803289478812852,-0.013888678329657178,0.01635665634569633,-0.0017990840026173571,-0.013204999604938261,-0.014045326478817177,-0.009767177670200189,-0.016588853932517078,0.017027493359570434,-0.0040941379003878176,-0.0002540328743955156,-0.004260279409805667,-0.014165951434887414,-0.014389792867472218
rough_seed_5,rough_perlin_seed_5,rough_perlin,5,0.8,3.8625673607505546,7.970719344607342,-2.022042701520121,0.1983845364388105,-0.08402249695995874,0.050327642876850154,0.034905302507371894,08ba9f9b3ca76af85d8d8a7387b3c4c4c048aa4cf2c98cfd0fcf32f1b0415223,-0.011497765213824285,-0.004498621068066921,0.024668406751353372,0.04694859058614795,0.050327642876850154,0.015587032335758672,0.00044019528258079643,0.013485553122637522,0.025714397575361814,0.04075500958314804,0.03166655545066793,0.018374542069402866,-0.00959281711236265,-0.014048795030905892,-0.0026308867608672015,0.015972134899713386,0.029458657016541878,0.04725382730870298,-0.020525646531735497,-0.024384565935555075,-0.020415256844648094,-0.010871482536697286,0.0170075159584325,0.028057396971117865,-0.0407668882687969,-0.02241156802255409,-0.013496172646835114,-0.012225683843014618,0.002270557161402703,0.010088995718237487,-0.04385504235940746,-0.02759280634372213,-0.02219466429954281,-0.02067492906045368,-0.010623458903274596,-0.011645676533584032,-0.04641930718009141,-0.04732120083420516,-0.04857639438379213,-0.05687899979801708,-0.049757342061970466,-0.045096992738056146,-0.050216381504464586,-0.06319823661502116,-0.08402249695995874,-0.07792512615660306,-0.0721426592073873,-0.07321896227777289
rough_seed_11,rough_perlin_seed_11,rough_perlin,11,0.8,8.69878868696783,9.319449255831977,-2.321758994750421,0.28884537656304815,-0.04498921391195598,0.028408615116004288,0.01705044422887189,a9dc7dbd1cffb6a9f9708c25cd9ff5340457e0d61d782b1688d31c6ebafad794,0.003334325600869603,0.00729345207006693,0.0035533321058676126,-0.008295178744607501,-0.027433297354875708,-0.028114224789123454,0.01449051392758438,0.011707284082515701,0.004729626772600026,-0.003508291756064097,-0.01779068667650907,-0.009145501651303345,0.00796567277293192,0.002817037181247095,-0.004711399289590579,0.0033153115541306732,0.009261698325640999,0.008240736163126705,-0.03170031155624925,-0.04498921391195598,-0.03352902201541624,0.004394963651349337,0.009329497335037351,0.0087290232191502,-0.033545774837194564,-0.03978545335902273,-0.028767195731849105,-0.00352864795615343,0.005584092075681835,0.002029610708821905,-0.009223576304497993,-0.01429085440325406,-0.009299192934292766,0.00787058112497907,0.01743722515930718,0.009801988611291557,0.016395450506209774,0.004750160406220005,-0.005226971571667627,0.009159486822013285,0.020821009044642236,0.028408615116004288,0.012173099692757205,-0.013819852984446268,-0.026529042721092022,-0.01069479925284933,0.005922994606287257,0.011079450175861816
rough_seed_4,rough_perlin_seed_4,rough_perlin,4,0.8,7.321094712374686,9.521151825826527,-2.2263034967562487,0.40756688422607085,-0.051236571999900116,0.06195942846825697,0.02484289543432982,e91bd3fd92e2997dcb3ee30bdb00e1723e139521bfb064b60d97ee1dec69d48e,-0.0417052906161029,-0.024663758244641454,-0.00832463922603538,0.008648614174046665,0.006404390706449714,-0.003908125899917514,-0.051236571999900116,-0.028984169786477332,-0.009551912979209154,0.021401288969168875,0.029433257200214558,0.01843468207410659,-0.03495455612091375,-0.022719482303651006,-0.005683189892846663,0.011264624220868658,0.03941463579871274,0.03217900465315132,-0.010052196389525592,-0.02453152206084358,-0.010567491282727604,0.0012851762806673217,0.0195100663047455,0.04584284716785442,0.031542530848726436,-0.008808052208454653,-0.007760587968494714,0.0011610006049261323,0.010839727607437177,0.02579670718301208,0.03515363239978725,0.019889280239289375,0.014643533472185721,0.010585144775539346,0.009924810077556023,0.02130756882269763,0.06195942846825697,0.04409695220627302,0.0398648728991981,0.013091718889500448,0.0006500921035714202,0.008846615404398073,0.04784044154782496,0.03415980094514798,0.04649042308781687,0.02121468535514609,-0.0026183461961543086,0.006741135916910557
rough_seed_25,rough_perlin_seed_25,rough_perlin,25,0.8,-0.3190760736787256,-1.3227933762445019,1.3341066427955992,0.28411090285057167,-0.048164316723762035,0.01456664747397407,0.01596276548052871,e3e95a1a832bdb4104e5392e252d42187292c327cdec28a8bd546ee768991a6e,-0.006739436231102125,-0.0030844511734577362,0.0024787250080271495,0.00899965029159977,0.010237320949570361,0.008442204857967817,-0.0007944311176494856,0.005812885574980664,0.0066661835533242675,0.003821137860318846,0.003909822137676988,0.01456664747397407,-0.013382814990370195,-0.02342958096109876,-0.006000234487700207,-0.0011809233797475671,-0.008343903290898458,-0.0050223012243311715,-0.020698086364146273,-0.016573497461667253,-0.006200730048981806,-0.00402124405712273,-0.01229529826046527,-0.019802947933090786,-0.03316025565984554,-0.024980346345016058,-0.00352624553000086,0.00804726730250177,-0.015009030102263898,-0.02647297626319528,-0.048164316723762035,-0.03761410145057198,-0.024568844496803466,-0.023456150573776757,-0.028042441042011312,-0.01906546495743,-0.045475160075206855,-0.02490648984712468,-0.026616428625216737,-0.03395317047112101,-0.01835069077418161,0.006475655495646049,-0.045204758362715064,-0.02610288524570553,-0.02241368641325714,-0.019640740101537213,-0.013945960796912849,0.005300094710403158
