update,beta,policy_step,cost_traction,established_contact_time_s,tail_ge_0p15_s,tail_frac_ge_0p15,tail_ge_0p3_s,tail_frac_ge_0p3,tail_ge_0p5_s,tail_frac_ge_0p5,tail_ge_1p0_s,tail_frac_ge_1p0
10,balanced,0,3.864117638081097,0.2519999999999949,0.06400000000000006,0.25396825396825934,0.04800000000000004,0.19047619047619452,0.030000000000000027,0.11904761904762157,0.0040000000000000036,0.01587301587301621
10,balanced,1,2.1954717790484666,0.3939999999999566,0.03600000000000003,0.09137055837564466,0.030000000000000027,0.07614213197970389,0.02200000000000002,0.05583756345178285,0.006000000000000005,0.015228426395940776
10,balanced,2,0.40093223492459135,0.3639999999999599,0.01200000000000001,0.032967032967036625,0.006000000000000005,0.016483516483518312,0.006000000000000005,0.016483516483518312,0.0,0.0
10,balanced,3,0.010044825055312009,0.39999999999995595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,4,0.04788467792355221,0.5119999999999436,0.008000000000000007,0.015625000000001735,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,5,0.02112697228730183,0.42999999999995264,0.0039999999999995595,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,6,0.007757649593746273,0.5099999999999438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,7,0.15364553303360673,0.48999999999994603,0.019999999999997797,0.04081632653061224,0.005999999999999339,0.012244897959183673,0.0,0.0,0.0,0.0
10,balanced,8,0.007456916651363813,0.42799999999995286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,9,0.003079212411331271,0.5139999999999434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,10,0.0,0.39999999999995595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,11,0.2332162672338076,0.4559999999999498,0.007999999999999119,0.017543859649122806,0.007999999999999119,0.017543859649122806,0.0,0.0,0.0,0.0
10,balanced,12,0.0012011834442306126,0.39999999999995595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,13,0.037660015027147,0.5119999999999436,0.005999999999999339,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,14,0.0779435192544295,0.41199999999984094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,15,0.03306643288220426,0.4439999999997557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,16,0.03236910569337724,0.5079999999997185,0.005999999999999339,0.01181102362205249,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,17,0.0006971278183094197,0.4019999999997772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,18,0.08617261910171685,0.45799999999974617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,19,0.0,0.3999999999997783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,20,0.006823519167172124,0.5139999999997151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,21,0.010439086461603532,0.3999999999997783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,22,0.24803192159110624,0.5059999999997196,0.023999999999997357,0.047430830039546755,0.009999999999998899,0.01976284584981115,0.0,0.0,0.0,0.0
10,balanced,23,0.0025048154550505247,0.4519999999997495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,24,0.0022658650423886466,0.45799999999974617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,25,0.24227624746787116,0.5119999999997162,0.021999999999997577,0.04296875000001908,0.009999999999998899,0.019531250000008674,0.0,0.0,0.0,0.0
10,balanced,26,0.0,0.3999999999997783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,27,0.006302623227219552,0.5119999999997162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,28,0.0,0.3999999999997783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,29,0.13852738095574219,0.46199999999974395,0.0039999999999995595,0.008658008658012502,0.0039999999999995595,0.008658008658012502,0.0,0.0,0.0,0.0
10,balanced,30,0.0009514030174446641,0.41399999999977055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,31,0.0018221405784145412,0.497999999999724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,balanced,32,0.25545965890725614,0.479999999999734,0.023999999999997357,0.05000000000002221,0.009999999999998899,0.020833333333342585,0.0,0.0,0.0,0.0
10,balanced,33,0.0116907069033983,0.4279999999997628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
