context_id,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,group,terrain,seed,episode_index,raw_path,raw_source_part,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,source_stage
rough_seed_30,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,30,0,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0000.jsonl,prefix_partial,38,5,7.6,1.6734916222050285,212.88711516575236,0.00920256464033934,0.04640920700976838,0.01861312407440415,0.0994625804304905,0.08374813339971696,0.00796416127426762,0.0008710801393730175,4.541403075556528,0.17727011281391225,0.08374813339971696,0.17727011281391225,attitude,127.21134204738219,T5.5f3_extension
rough_seed_31,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,31,1,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0001.jsonl,prefix_partial,37,5,7.4,1.6603566077968153,211.71201981434183,0.006003120864824978,0.08082048772985193,0.017683382648588843,0.12701368610392727,0.0760951188986401,0.006257822277848817,0.0012515644555697052,4.456873881942336,0.30871152300729143,0.0760951188986401,0.30871152300729143,attitude,127.50996913564842,T5.5f3_extension
rough_seed_32,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,32,2,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0002.jsonl,prefix_partial,39,5,7.800000000000001,1.6873601197661257,196.310843206913,0.00936064667599401,0.04502566812598801,0.03287095570953185,0.06972754536994462,0.058572088724595066,0.002541589648798824,0.00011552680221812719,4.622605399184798,0.17198538355838852,0.058572088724595066,0.17198538355838852,attitude,116.34199534958928,T5.5f3_extension
rough_seed_33,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,33,3,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0003.jsonl,prefix_partial,37,5,7.4,1.6738280423275316,211.30585741007877,0.006816021564197954,0.08309708516050879,0.016388911503916977,0.17917782375576197,0.09151143892988574,0.003625453181648506,0.0008751093886737371,4.421003718942344,0.3174074846357558,0.09151143892988574,0.3174074846357558,attitude,126.24107857354849,T5.5f3_extension
rough_seed_35,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,35,5,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0005.jsonl,prefix_partial,38,5,7.6,1.687789225718394,225.27519385393074,0.011187304804930446,0.08607385198670041,0.027741424534702235,0.14855188780872797,0.08119763430262769,0.007885657959588177,0.002587481517989857,4.50293193260854,0.32877789635144467,0.08119763430262769,0.32877789635144467,attitude,133.4735347407163,T5.5f3_extension
rough_seed_36,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,36,6,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0006.jsonl,prefix_partial,39,5,7.800000000000001,1.699622263620675,214.44807650897246,0.011742634687784493,0.06233718920286165,0.03334574694372706,0.1775794113589575,0.06757671480145508,0.007220216606499363,0.0021435018050544293,4.5892550168081465,0.23811052320216383,0.06757671480145508,0.23811052320216383,attitude,126.17396294405884,T5.5f3_extension
rough_seed_37,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,37,7,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0007.jsonl,prefix_partial,39,5,7.800000000000001,1.7076457058939727,239.47762301347672,0.008943508071934355,0.08542769663703205,0.028768224273030885,0.14576704872469937,0.07944572748268963,0.006812933025405024,0.0013856812933027004,4.567692216879736,0.32630976472172485,0.07944572748268963,0.32630976472172485,attitude,140.23847112250218,T5.5f3_extension
rough_seed_38,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,38,8,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0008.jsonl,prefix_partial,37,5,7.4,1.6633584091643,246.53031427203928,0.0078112530593994695,0.12378077935299493,0.017876991841230344,0.2473110237586198,0.1018939393939607,0.00782828282828472,0.0044191919191930665,4.448830726576775,0.47280774945111276,0.1018939393939607,0.47280774945111276,attitude,148.2123834008212,T5.5f3_extension
rough_seed_39,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,39,9,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0009.jsonl,prefix_partial,41,5,8.200000000000001,1.763577906174878,228.390598831936,0.01300066611414899,0.08331081230339052,0.034730888216260705,0.15829671867635997,0.07168536877656496,0.009804989650289697,0.003813051530668204,4.649638652927693,0.31822386218605664,0.07168536877656496,0.31822386218605664,attitude,129.50411662125268,T5.5f3_extension
rough_seed_40,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,40,10,results/icra27/os_t5p5f2_selector_train_extension_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0010.jsonl,prefix_partial,39,5,7.800000000000001,1.6806135493591434,210.43244844243551,0.006702544142357394,0.07555739957009404,0.017193411315191025,0.14708202089564604,0.0783310595725436,0.00409276944065531,0.0001136880400182006,4.64116215353275,0.28860800708999795,0.0783310595725436,0.28860800708999795,attitude,125.21168148541837,T5.5f3_extension
