context_id,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,terrain,seed,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,source_stage
flat,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,flat,27100,4.467153420035954,0.10764727422495432,0.03934686472389971,0.10764727422495432,attitude,100.54988909022944,T5.5c_frozen
flat,lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,flat,27100,4.469945899774418,0.10773247789699482,0.03945578231293331,0.10773247789699482,attitude,100.57061579877232,T5.5c_frozen
flat,lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,flat,27100,4.482395219000594,0.10765555658293449,0.03958711433757623,0.10765555658293449,attitude,100.74864153845152,T5.5c_frozen
flat,lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,flat,27100,4.473096986949553,0.10776323228923,0.039460256264890775,0.10776323228923,attitude,100.56920588921066,T5.5c_frozen
flat,lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,flat,27100,4.4847112296132,0.10771272620220991,0.03958711433757623,0.10771272620220991,attitude,100.76632352047439,T5.5c_frozen
flat,lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,flat,27100,4.499505713066695,0.1077645947239037,0.039478162223490834,0.1077645947239037,attitude,100.87921994012753,T5.5c_frozen
flat,lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,flat,27100,4.476609590764586,0.10785539329279735,0.03945578231293331,0.10785539329279735,attitude,100.62083597912908,T5.5c_frozen
flat,lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,flat,27100,4.4869363546036505,0.10791981468510763,0.039464731231579925,0.10791981468510763,attitude,100.69302174245277,T5.5c_frozen
flat,lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,flat,27100,4.501379895768366,0.1078199718997769,0.039478162223490834,0.1078199718997769,attitude,100.89519090904237,T5.5c_frozen
flat,lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,flat,27100,4.518070082809281,0.10787701915459925,0.039487121298090525,0.10787701915459925,attitude,101.07091951251621,T5.5c_frozen
flat,lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,flat,27100,4.480397345163054,0.10791824696198046,0.03945578231293331,0.10791824696198046,attitude,100.64913864205676,T5.5c_frozen
flat,lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,flat,27100,4.489862213451604,0.10798132366175422,0.039464731231579925,0.10798132366175422,attitude,100.71461080039796,T5.5c_frozen
flat,lm020_ls040_le040,0.26,0.36999999999999994,0.37,0.2,0.4,0.4,flat,27100,4.503529556390161,0.10787377873386135,0.03936471922859575,0.10787377873386135,attitude,100.90852613275976,T5.5c_frozen
flat,lm020_ls020_le060,0.26,0.26,0.48,0.2,0.2,0.6,flat,27100,4.519560161683371,0.10792691693790064,0.039487121298090525,0.10792691693790064,attitude,101.08111137057324,T5.5c_frozen
flat,lm020_ls000_le080,0.26,0.15,0.59,0.2,0.0,0.8,flat,27100,4.5371087902111285,0.10795760810630325,0.039373652558728184,0.10795760810630325,attitude,101.17897677415537,T5.5c_frozen
flat,lm000_ls100_le000,0.15,0.7,0.15,0.0,1.0,0.0,flat,27100,4.484460789869289,0.1079844358424402,0.03945578231293331,0.1079844358424402,attitude,100.67943777836511,T5.5c_frozen
flat,lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,flat,27100,4.493319030854598,0.10792278971116868,0.039460256264890775,0.10792278971116868,attitude,100.70004431180836,T5.5c_frozen
