context_a,context_b,context_distance,response_distance
rough_seed_13,rough_seed_7,1.2966922566192323,1.4341820472767308
rough_seed_13,rough_seed_15,2.4339284347269903,0.4713227921855785
rough_seed_13,rough_seed_0,3.3415265572690966,1.2651096826415424
rough_seed_13,rough_seed_5,3.2470547257507474,1.780282784227827
rough_seed_13,rough_seed_11,5.029334408472418,1.7100794337514933
rough_seed_13,rough_seed_4,4.814581829345406,2.568066956054809
rough_seed_13,rough_seed_25,6.332725740515312,2.6763336590434483
rough_seed_13,rough_seed_12,5.107872476433776,1.350734802911964
rough_seed_13,rough_seed_6,5.698591888599109,2.7127648720130764
rough_seed_13,rough_seed_29,2.302963193388183,1.3822889061663162
rough_seed_13,rough_seed_18,2.2121791615588102,3.5471231903110105
rough_seed_13,rough_seed_10,0.7059463659910489,2.6302301513803665
rough_seed_13,rough_seed_8,3.290809903750366,1.458867578597186
rough_seed_13,rough_seed_22,3.491384424543028,1.6799067831950012
rough_seed_13,rough_seed_20,3.147621059725272,2.4807798881244887
rough_seed_13,rough_seed_28,1.7008689008302218,2.622296686036589
rough_seed_13,rough_seed_17,2.4192616295071487,2.557129146041477
rough_seed_7,rough_seed_15,1.8171983007625783,1.4880700806894134
rough_seed_7,rough_seed_0,2.204837366157837,0.3747533706272079
rough_seed_7,rough_seed_5,2.2439125218517746,0.6739601373323555
rough_seed_7,rough_seed_11,3.8106165679597916,0.39299560940917816
rough_seed_7,rough_seed_4,3.6632242001188997,1.2784333543425932
rough_seed_7,rough_seed_25,5.196505275251109,1.317326168662141
rough_seed_7,rough_seed_12,4.01586150522959,0.16234466306872222
rough_seed_7,rough_seed_6,4.664965712022098,1.4162155067798254
rough_seed_7,rough_seed_29,1.1465965922934045,0.25108880716712934
rough_seed_7,rough_seed_18,1.10662037892048,2.3689751445279503
rough_seed_7,rough_seed_10,1.5137423333289632,1.2396564753171262
rough_seed_7,rough_seed_8,2.159157789797139,0.23847674845050987
rough_seed_7,rough_seed_22,2.2516489307947345,0.27377433832313924
rough_seed_7,rough_seed_20,2.002155347803762,1.2277577142291805
rough_seed_7,rough_seed_28,0.7625803859756003,1.4368689923894433
rough_seed_7,rough_seed_17,1.250236275225565,1.142708647097909
rough_seed_15,rough_seed_0,2.0894259343806696,1.3615413399285008
rough_seed_15,rough_seed_5,3.199357290801311,1.7862550397471537
rough_seed_15,rough_seed_11,3.7819604564046614,1.8139362622802158
rough_seed_15,rough_seed_4,4.1954462499769365,2.577222798960801
rough_seed_15,rough_seed_25,5.590340361501636,2.754390472317289
rough_seed_15,rough_seed_12,4.616507381799788,1.4195028235992113
rough_seed_15,rough_seed_6,5.351096068111917,2.7345294682323544
rough_seed_15,rough_seed_29,1.316586412440656,1.4360339293334117
rough_seed_15,rough_seed_18,1.3495238618876944,3.498371685000848
rough_seed_15,rough_seed_10,2.144537070119547,2.642482807366001
rough_seed_15,rough_seed_8,1.5441761215379088,1.5513403611215224
rough_seed_15,rough_seed_22,2.6556601727999674,1.7211484012829148
rough_seed_15,rough_seed_20,2.2389643894551874,2.46959335741237
rough_seed_15,rough_seed_28,1.221169678982116,2.664502597408887
rough_seed_15,rough_seed_17,2.223151117802788,2.591363420568395
rough_seed_0,rough_seed_5,1.6916230413080455,0.6254627059268777
rough_seed_0,rough_seed_11,1.8499664838692458,0.5127574568496213
rough_seed_0,rough_seed_4,2.2203037887441672,1.3413734512213333
rough_seed_0,rough_seed_25,3.539479714335711,1.428192794080428
rough_seed_0,rough_seed_12,2.6167632404992682,0.27768189611810135
rough_seed_0,rough_seed_6,3.355678166310497,1.4779148556661192
rough_seed_0,rough_seed_29,1.383479967812447,0.48638247876692364
rough_seed_0,rough_seed_18,1.1769588753102747,2.3975114390569785
rough_seed_0,rough_seed_10,3.320975566884914,1.3920245219388527
rough_seed_0,rough_seed_8,0.9532077014379035,0.4367846270789356
rough_seed_0,rough_seed_22,1.123735987818192,0.579001291954227
rough_seed_0,rough_seed_20,0.5752181847315002,1.2791574584011105
rough_seed_0,rough_seed_28,1.7027717823685662,1.4208136130457898
rough_seed_0,rough_seed_17,1.3147051561085645,1.322736112472435
rough_seed_5,rough_seed_11,2.320032746593765,0.6411783496001223
rough_seed_5,rough_seed_4,1.659392035641855,0.818907361710852
rough_seed_5,rough_seed_25,3.133830965543516,1.1025331843962476
rough_seed_5,rough_seed_12,1.8788817056364981,0.689152876769412
rough_seed_5,rough_seed_6,2.464898791413373,0.9775899210907028
rough_seed_5,rough_seed_29,2.0288842491268,0.8737748117439709
rough_seed_5,rough_seed_18,1.871985149278573,1.8020662039491888
rough_seed_5,rough_seed_10,3.5428053307008223,0.9776519417093453
rough_seed_5,rough_seed_8,2.317973047013072,0.8098623301252443
rough_seed_5,rough_seed_22,1.2570996024286483,0.709128399828954
rough_seed_5,rough_seed_20,1.2097544526532773,0.7203372510831788
rough_seed_5,rough_seed_28,2.224454225046298,0.916361243014295
rough_seed_5,rough_seed_17,1.082824285139141,0.9916882943030955
rough_seed_11,rough_seed_4,1.25243715198443,1.0615316144729752
rough_seed_11,rough_seed_25,1.9856742826688039,0.9965342033356789
rough_seed_11,rough_seed_12,1.6287962863529997,0.40642402276124107
rough_seed_11,rough_seed_6,2.282487444849331,1.1705144121541777
rough_seed_11,rough_seed_29,2.9502613372921127,0.5024219076603029
rough_seed_11,rough_seed_18,2.917795431028495,2.1860564878126407
rough_seed_11,rough_seed_10,5.1085882784680585,1.0027106220116253
rough_seed_11,rough_seed_8,2.2805706932930936,0.3420779819311569
rough_seed_11,rough_seed_22,1.6748801476600357,0.31521414872701464
rough_seed_11,rough_seed_20,1.9133983321969723,1.0533442960202686
rough_seed_11,rough_seed_28,3.4675458744146384,1.1907572204971208
rough_seed_11,rough_seed_17,2.6628928693261207,0.8864208403850359
rough_seed_4,rough_seed_25,1.5528972893714834,0.577964262557123
rough_seed_4,rough_seed_12,0.5278515642511487,1.330102828701186
rough_seed_4,rough_seed_6,1.2653426750872567,0.18839727875211712
rough_seed_4,rough_seed_29,3.0934129311907452,1.4491208819677475
rough_seed_4,rough_seed_18,3.0285853100715054,1.1356395802017556
rough_seed_4,rough_seed_10,5.038703548275342,0.41051128467110776
rough_seed_4,rough_seed_8,2.8304626072770165,1.3531087508046185
rough_seed_4,rough_seed_22,1.6580935523715286,1.151762673532205
rough_seed_4,rough_seed_20,1.99855902915867,0.1825400592726643
rough_seed_4,rough_seed_28,3.5234271821260656,0.3588699358246884
rough_seed_4,rough_seed_17,2.427493711329684,0.5694468868444912
rough_seed_25,rough_seed_12,1.27244027736092,1.366595522224397
rough_seed_25,rough_seed_6,1.087123213465915,0.5104329406521663
rough_seed_25,rough_seed_29,4.58722581240491,1.4396386408416593
rough_seed_25,rough_seed_18,4.502680900802115,1.5002383995647612
rough_seed_25,rough_seed_10,6.53159486341877,0.40252043370005963
rough_seed_25,rough_seed_8,4.153595506850369,1.3090219651181587
rough_seed_25,rough_seed_22,3.148806566447748,1.1316068116654197
rough_seed_25,rough_seed_20,3.4373321491041886,0.720636304431529
rough_seed_25,rough_seed_28,5.01187871449977,0.6940606644413542
rough_seed_25,rough_seed_17,3.9585741362648834,0.35973563079332443
rough_seed_12,rough_seed_6,0.7603307334238228,1.4643316781498932
rough_seed_12,rough_seed_29,3.5214633016748214,0.23988767946923825
rough_seed_12,rough_seed_18,3.416584836279482,2.417003144713586
rough_seed_12,rough_seed_10,5.350170204745517,1.3072508257114555
rough_seed_12,rough_seed_8,3.2950540930266246,0.20669200120576783
rough_seed_12,rough_seed_22,2.132463487740245,0.3598432092742129
rough_seed_12,rough_seed_20,2.3875137920511236,1.2773798073902893
rough_seed_12,rough_seed_28,3.8911737846313654,1.461974275177087
rough_seed_12,rough_seed_17,2.7795675227604018,1.2158637563984633
rough_seed_6,rough_seed_29,4.242789808663183,1.5791310310260551
rough_seed_6,rough_seed_18,4.127289612257401,1.0626282745323536
rough_seed_6,rough_seed_10,5.975639621670408,0.4184978157245382
rough_seed_6,rough_seed_8,4.050367507386826,1.4740899834425032
rough_seed_6,rough_seed_22,2.868317428774483,1.2775194717908156
rough_seed_6,rough_seed_20,3.1139727662003454,0.3328607241121109
rough_seed_6,rough_seed_28,4.580651741564245,0.327577398994538
rough_seed_6,rough_seed_17,3.448082927922135,0.5892397071425626
rough_seed_29,rough_seed_18,0.502587165723998,2.5455070235035806
rough_seed_29,rough_seed_10,2.3633129119834133,1.3687525284660662
rough_seed_29,rough_seed_8,1.054886508007557,0.1944678683249411
rough_seed_29,rough_seed_22,1.4892550639323707,0.3403353133545355
rough_seed_29,rough_seed_20,1.2511268400050888,1.4059364309866016
rough_seed_29,rough_seed_28,0.784301687727225,1.6161418942596755
rough_seed_29,rough_seed_17,1.032104368685324,1.255240698638952
rough_seed_18,rough_seed_10,2.2202688947213263,1.3616534335266708
rough_seed_18,rough_seed_8,1.1687020143047577,2.465783508864034
rough_seed_18,rough_seed_22,1.5614080648504045,2.2575929795508043
rough_seed_18,rough_seed_20,1.0967069372689806,1.1490137102438192
rough_seed_18,rough_seed_28,0.5530539579931296,1.0897287011801349
rough_seed_18,rough_seed_17,0.8916660976144769,1.5644461593399246
rough_seed_10,rough_seed_8,3.2333140421379287,1.2768607776551337
rough_seed_10,rough_seed_22,3.6707947245346526,1.0432985987981813
rough_seed_10,rough_seed_20,3.245202236331044,0.5082190294349568
rough_seed_10,rough_seed_28,1.6707723870879332,0.7013000726513415
rough_seed_10,rough_seed_17,2.637506350510742,0.2274751218010518
rough_seed_8,rough_seed_22,1.3764687392541122,0.2892876684898802
rough_seed_8,rough_seed_20,1.159937159485963,1.3235664443304425
rough_seed_8,rough_seed_28,1.6261921996067725,1.4990915578118564
rough_seed_8,rough_seed_17,1.6434599058432384,1.1564026234401226
rough_seed_22,rough_seed_20,0.7837284809365315,1.1223336157992458
rough_seed_22,rough_seed_28,2.068512864650343,1.3491827220622654
rough_seed_22,rough_seed_17,1.1486769776975658,0.9265329925915232
rough_seed_20,rough_seed_28,1.6238425247679977,0.4141170393857245
rough_seed_20,rough_seed_17,0.9231878739985396,0.6679192359753267
rough_seed_28,rough_seed_17,1.2075334180695738,0.8368727163538562
