test_context,nearest_context,context_distance,preference_name,transferred_beta_name,oracle_beta_name,exact,oracle_score,transferred_score,score_excess
rough_seed_7,rough_seed_28,0.7625803859756003,wm040_ws040_we020,lm000_ls100_le000,lm020_ls080_le000,0,0.18407690973964297,0.19210949860933896,0.008032588869695989
rough_seed_7,rough_seed_28,0.7625803859756003,wm040_ws020_we040,lm000_ls100_le000,lm040_ls020_le040,0,0.18335006280574745,0.2749425811322007,0.09159251832645326
rough_seed_7,rough_seed_28,0.7625803859756003,wm040_ws000_we060,lm000_ls100_le000,lm040_ls020_le040,0,0.18218737676117047,0.4106937802617463,0.22850640350057583
rough_seed_7,rough_seed_28,0.7625803859756003,wm020_ws080_we000,lm000_ls100_le000,lm000_ls060_le040,0,0.193752997998557,0.3805877282682675,0.18683473026971048
rough_seed_7,rough_seed_28,0.7625803859756003,wm020_ws060_we020,lm000_ls100_le000,lm000_ls060_le040,0,0.14662411497341107,0.2868712277324129,0.14024711275900184
rough_seed_7,rough_seed_28,0.7625803859756003,wm020_ws040_we040,lm000_ls100_le000,lm000_ls040_le060,0,0.193157007511989,0.27557570483124666,0.08241869731925766
rough_seed_7,rough_seed_28,0.7625803859756003,wm020_ws020_we060,lm000_ls100_le000,lm040_ls020_le040,0,0.17038578739111646,0.41132690396079225,0.2409411165696758
rough_seed_7,rough_seed_28,0.7625803859756003,wm020_ws000_we080,lm000_ls100_le000,lm020_ls020_le060,0,0.202,0.5470781030903379,0.3450781030903379
rough_seed_7,rough_seed_28,0.7625803859756003,wm000_ws100_we000,lm000_ls100_le000,lm020_ls020_le060,0,0.0,0.47534945739134143,0.47534945739134143
rough_seed_7,rough_seed_28,0.7625803859756003,wm000_ws080_we020,lm000_ls100_le000,lm020_ls020_le060,0,0.0,0.38163295685548687,0.38163295685548687
rough_seed_7,rough_seed_28,0.7625803859756003,wm000_ws060_we040,lm000_ls100_le000,lm020_ls020_le060,0,0.0,0.2879164563196323,0.2879164563196323
rough_seed_7,rough_seed_28,0.7625803859756003,wm000_ws040_we060,lm000_ls100_le000,lm020_ls020_le060,0,0.0,0.4119600276598382,0.4119600276598382
rough_seed_7,rough_seed_28,0.7625803859756003,wm000_ws020_we080,lm000_ls080_le020,lm020_ls020_le060,0,0.0,0.42713498713112646,0.42713498713112646
rough_seed_7,rough_seed_28,0.7625803859756003,wm000_ws000_we100,lm000_ls080_le020,lm020_ls020_le060,0,0.0,0.5319926571699986,0.5319926571699986
