beta_name,beta_motion,beta_stability,beta_energy,group,terrain,seed,status,success,m4_terminal,m4_interventions,policy_steps,decision_time_s,energy_abs_j,mean_cost_motion,mean_cost_stability,mean_cost_energy,roll_rms_rad,pitch_rms_rad,mean_applied_vx_mps,slip_speed_mean_mps,slip_speed_rms_mps,slip_speed_max_mps,slip_contact_time_s,slip_contact_samples,slip_physics_steps_with_contact,slip_per_foot_contact_samples,slip_foot_geom_names
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,flat,flat,27100,success,True,False,0,34,6.946000000000001,158.96965408950408,0.20276134586070937,0.011358146105207106,0.5350351874042365,0.003699244504732197,0.027901166071798062,0.21831202984732745,0.01217839223289961,0.06434123244048899,1.6032142008523715,21.325999999993613,10663,4184,"{""FL"": 2616, ""FR"": 2822, ""RL"": 2664, ""RR"": 2561}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,flat,flat,27101,success,True,False,0,34,6.954000000000001,159.28501919792947,0.20311922750121192,0.011271481285488919,0.5360965939403051,0.00373227125922033,0.02779451647849349,0.21831190073314838,0.012179564433258462,0.06435389806653391,1.6032142008523715,21.325999999993613,10663,4184,"{""FL"": 2616, ""FR"": 2822, ""RL"": 2664, ""RR"": 2561}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,flat,flat,27102,success,True,False,0,34,6.946000000000002,159.61534491088437,0.20260586350504525,0.011303540349186948,0.5372083525381802,0.00370178819863245,0.027834015911495587,0.21830816014724622,0.012169454622470814,0.06433734058089302,1.6032142008523715,21.345999999993637,10673,4189,"{""FL"": 2621, ""FR"": 2822, ""RL"": 2664, ""RR"": 2566}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,low_friction,low_friction,27200,success,True,False,0,34,6.930000000000001,171.89725409934786,0.2042909837290304,0.009715568386839749,0.5785448807074597,0.005214201211627186,0.025804932761001417,0.21891501002451955,0.06959976074675246,0.19893098310178894,1.9591671008150546,21.047999999993763,10524,4184,"{""FL"": 2600, ""FR"": 2740, ""RL"": 2631, ""RR"": 2553}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,low_friction,low_friction,27201,success,True,False,0,34,6.9399999999999995,172.2690738755177,0.20444945443245582,0.009710614932060206,0.5797962935306368,0.005209534891358574,0.02579835359099057,0.2189117652090157,0.06954685677402744,0.1988324171622025,1.9591671008150546,21.063999999993783,10532,4188,"{""FL"": 2604, ""FR"": 2740, ""RL"": 2631, ""RR"": 2557}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,low_friction,low_friction,27202,success,True,False,0,34,6.949999999999999,172.74135103013353,0.20406616559174937,0.010467815870319239,0.5813858100794012,0.0055396626360308555,0.026785309086459905,0.2189058783738052,0.06941674555769295,0.1978280016562377,1.9591671008150546,21.081999999993783,10541,4189,"{""FL"": 2607, ""FR"": 2739, ""RL"": 2631, ""RR"": 2564}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,rough,rough_perlin,13,success,True,False,0,35,7.127999999999998,230.67888673086094,0.20946375378911353,0.23646326944795354,0.7542005334954865,0.007584927230535,0.12730646878871116,0.21101392993969578,0.027183042308636073,0.13404035358566088,2.921035754704823,20.62199999999484,10311,4281,"{""FL"": 2701, ""FR"": 2674, ""RL"": 2445, ""RR"": 2491}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,rough,rough_perlin,7,success,True,False,0,36,7.349999999999998,215.61190768563543,0.2121950212680417,0.10087636726418793,0.6853576648638271,0.00701938099525502,0.08310480825518325,0.21132587870169017,0.023473982916232424,0.11668624635153706,2.888623993207324,21.597999999995224,10799,4399,"{""FL"": 2773, ""FR"": 2818, ""RL"": 2653, ""RR"": 2555}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,rough,rough_perlin,15,success,True,False,0,35,7.150000000000001,242.65211390654835,0.21035029370802197,0.19148348673565732,0.7933467876305774,0.008762447833114128,0.11455969821468956,0.210458852105907,0.021429941914039744,0.10440039737224867,1.9498772329543013,20.97399999999461,10487,4289,"{""FL"": 2725, ""FR"": 2690, ""RL"": 2539, ""RR"": 2533}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,flat,flat,27100,success,True,False,0,34,6.941999999999999,160.54187330919098,0.19767336434213423,0.01117047650268009,0.5403267168452712,0.003792366114680332,0.027669701696618212,0.22245428229079528,0.012207254558848187,0.06423994330666818,1.6032142008523715,21.337999999993606,10669,4184,"{""FL"": 2616, ""FR"": 2826, ""RL"": 2666, ""RR"": 2561}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
motion,0.7,0.15,0.15,flat,flat,27101,success,True,False,0,34,6.9540000000000015,162.32361352721273,0.19781515070226277,0.0112464919799395,0.5463234192782918,0.003826035297701005,0.027763688750663502,0.222444890746299,0.012194420855608417,0.0641932377257602,1.6032142008523715,21.35799999999363,10679,4189,"{""FL"": 2621, ""FR"": 2826, ""RL"": 2666, ""RR"": 2566}","{""FL"": ""FL"", ""FR"": ""FR"", ""RL"": ""RL"", ""RR"": ""RR""}"
