terrain,n,success_rate,distance_mean,expected_distance_mean,progress_ratio_mean,fallen_p90_mean,fresh1_mean,quality_score_mean,quality_score_min,quality_score_max
flat_normal,3,1.0,2.9854930232059314,5.600000000000007,0.5331237541439157,0.00014055310900099963,0.9633333333333333,0.6257271719095531,0.5821370273225868,0.66740372404206
rough_mid,3,0.3333333333333333,0.2202008577334612,1.0999999999999994,0.2001825979395103,1.435292877734658e-06,0.9833333333333333,0.2301819520576846,0.17506045170913867,0.3304076416257162
slope_5deg,3,0.6666666666666666,0.18890861996776706,0.8999999999999991,0.2098984666308525,1.8835852036621266e-06,0.96,0.2685642856840206,0.16598168030664948,0.32728176696493827
