terrain,objective_name,beta_motion,beta_stability,beta_energy,winner_style,loser_style,margin,label_confidence,sample_weight,pred_pref_prob,pred_correct
flat_normal,motion_objective,0.7,0.2,0.1,fast,cautious,0.5537860562780146,1.0,0.5537860562780146,0.9944194241988424,1
flat_normal,motion_objective,0.7,0.2,0.1,cautious,high_clearance,0.2951005095779161,1.0,0.2951005095779161,0.9895467096084518,1
flat_normal,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.8488865658559306,1.0,0.8488865658559306,0.9980477265206552,1
flat_normal,stability_objective,0.15,0.75,0.1,fast,cautious,0.12222183298210354,0.41919014991865244,0.05123418849110048,0.9644612635473554,1
flat_normal,stability_objective,0.15,0.75,0.1,cautious,high_clearance,0.17958084295526067,0.6799129225239121,0.12209933576301897,0.99071860971003,1
flat_normal,stability_objective,0.15,0.75,0.1,fast,high_clearance,0.3018026759373642,1.0,0.3018026759373642,0.988737773682841,1
flat_normal,deploy_objective,0.34,0.56,0.1,cautious,fast,0.11705321154988779,0.3956964161358536,0.046317536307482504,0.9544235785828754,1
flat_normal,deploy_objective,0.34,0.56,0.1,cautious,high_clearance,0.37080947807692605,1.0,0.37080947807692605,0.9903292720193639,1
flat_normal,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.25375626652703825,1.0,0.25375626652703825,0.9938406620348451,1
rough_mid,motion_objective,0.7,0.2,0.1,fast,cautious,0.5788328338584079,1.0,0.5788328338584079,0.9947944640895419,1
rough_mid,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.5906902487651027,1.0,0.5906902487651027,0.9966542081661323,1
rough_mid,deploy_objective,0.34,0.56,0.1,high_clearance,fast,0.041797335910446154,0.053624254138391614,0.0022413509631694865,0.9190671527117317,1
slope_5deg,motion_objective,0.7,0.2,0.1,fast,cautious,0.766105526528595,1.0,0.766105526528595,0.9973325680209144,1
slope_5deg,motion_objective,0.7,0.2,0.1,high_clearance,cautious,0.26483657623427476,1.0,0.26483657623427476,0.9886710056542349,1
slope_5deg,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.5012689502943203,1.0,0.5012689502943203,0.9929759225427638,1
slope_5deg,stability_objective,0.15,0.75,0.1,fast,cautious,0.32375297287616,1.0,0.32375297287616,0.9929237018286097,1
slope_5deg,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.5088444769039729,1.0,0.5088444769039729,0.9953597493534498,1
slope_5deg,stability_objective,0.15,0.75,0.1,high_clearance,fast,0.18509150402781294,0.7049613819446042,0.13048236246565229,0.9805606225946918,1
slope_5deg,deploy_objective,0.34,0.56,0.1,fast,cautious,0.2635974646371665,1.0,0.2635974646371665,0.9949458110419164,1
slope_5deg,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.4355448657104078,1.0,0.4355448657104078,0.9936797418885623,1
slope_5deg,deploy_objective,0.34,0.56,0.1,high_clearance,fast,0.1719474010732413,0.6452154594238241,0.11094312138020393,0.9634406810981233,1
