episode_id,terrain,style,policy_id,duration_sec,mpc_vx_mean,mpc_enable_mean,distance_xy_proxy,expected_distance,progress_ratio,success_proxy,ram_run_fallen_p90,ram_recovery_needed_mean,debug_fresh_rate_1p0s,risk_penalty,stale_penalty,success_bonus,quality_score,summary_json,step_csv
flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048,flat_normal,high_clearance,objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single,20.0,0.04499999999999996,1.0,0.5507170477516259,0.8999999999999991,0.6119078308351404,True,9.85128281172365e-07,4.147400858120452e-15,0.98,4.4330772797915455e-07,0.0040000000000000036,0.1,0.7079073875274124,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156,flat_normal,high_clearance,objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single,20.0,0.04499999999999996,1.0,0.1296336762124821,0.8999999999999991,0.14403741801386913,False,9.653190318203997e-07,3.834912148494966e-15,0.97,4.3439356566139914e-07,0.006000000000000005,0.0,0.13803698362030345,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305,flat_normal,high_clearance,objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single,20.0,0.04499999999999996,1.0,0.5475994719936943,0.8999999999999991,0.608443857770772,True,1.9662818431243068e-06,5.903459265879324e-14,0.95,8.848268500680455e-07,0.010000000000000009,0.1,0.6984429729439219,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413,flat_normal,high_clearance,objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single,20.0,0.04499999999999996,1.0,0.5860926377569736,0.8999999999999991,0.6512140419521936,True,3.5704742913367227e-06,4.692896141977594e-14,0.95,1.6067134475266618e-06,0.010000000000000009,0.1,0.741212435238746,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521,flat_normal,high_clearance,objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single,20.0,0.04499999999999996,1.0,0.07224415421414178,0.8999999999999991,0.0802712824601576,False,2.4936700810940238e-06,1.3638351436670094e-14,0.95,1.1221515412657338e-06,0.010000000000000009,0.0,0.07027016030861633,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102209,rough_mid,cautious,objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid,20.0,0.05499999999999997,1.0,0.2863130930896148,1.0999999999999994,0.2602846300814681,True,1.769853952282574e-06,1.3020021601270405e-13,0.97,7.964343240972339e-07,0.006000000000000005,0.1,0.35428383364714405,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102209.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102209.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102317,rough_mid,cautious,objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid,20.0,0.05499999999999997,1.0,0.2500245252033789,1.0999999999999994,0.22729502291216278,True,1.6639755813230295e-06,6.92844052667104e-14,0.99,7.487890358449051e-07,0.0020000000000000018,0.1,0.32529427412312695,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102317.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102317.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102425,rough_mid,cautious,objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid,20.0,0.05499999999999997,1.0,0.2614286275288162,1.0999999999999994,0.2376623886625603,True,9.629385431253468e-07,5.500623013107438e-14,0.97,4.333223636585866e-07,0.006000000000000005,0.1,0.3316619553401966,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102425.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102425.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102534,rough_mid,cautious,objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid,20.0,0.05499999999999997,1.0,0.21977385763893917,1.0999999999999994,0.19979441603539935,False,9.667055564932525e-07,8.21060466384292e-14,0.93,4.3501752915907996e-07,0.013999999999999992,0.0,0.1857939810178702,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102534.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102534.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102642,rough_mid,cautious,objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid,20.0,0.05499999999999997,1.0,0.2823306282016075,1.0999999999999994,0.25666420745600693,True,1.121286686611711e-06,5.065213353931001e-14,0.98,5.045790267035167e-07,0.0040000000000000036,0.1,0.3526637028769802,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102642.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102642.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101629,rough_mid,fast,objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid,20.0,0.28000000000000036,1.0,1.3120727907128091,5.600000000000007,0.23429871262728708,True,1.2975370964340982e-06,1.7691887415088825e-13,0.97,5.838917553169502e-07,0.006000000000000005,0.1,0.3282981287355317,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101629.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101629.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101737,rough_mid,fast,objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid,20.0,0.28000000000000036,1.0,1.339091513185313,5.600000000000007,0.23912348449737703,True,7.703692972427234e-07,3.6473958147109474e-13,0.97,3.4666631141807903e-07,0.006000000000000005,0.1,0.3331231378310656,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101737.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101737.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101845,rough_mid,fast,objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid,20.0,0.28000000000000036,1.0,1.297876037382131,5.600000000000007,0.23176357810395168,True,2.2087306206231005e-06,2.2053314034770723e-13,0.97,9.939288564669944e-07,0.006000000000000005,0.1,0.32576258417509524,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101845.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101845.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101953,rough_mid,fast,objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid,20.0,0.28000000000000036,1.0,1.3409033259373573,5.600000000000007,0.2394470224888135,True,1.733322619656974e-06,2.0168775068707241e-13,0.95,7.799952494363511e-07,0.010000000000000009,0.1,0.3294462424935641,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101953.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101953.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_102101,rough_mid,fast,objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid,20.0,0.28000000000000036,1.0,1.3568036410408149,5.600000000000007,0.24228636447157378,True,2.3895190679468215e-06,8.517246257253318e-13,0.97,1.0752838786796887e-06,0.006000000000000005,0.1,0.3362852891876951,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_102101.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_102101.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102750,rough_mid,high_clearance,objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid,20.0,0.04499999999999996,1.0,0.2055935401306237,0.8999999999999991,0.22843726681180432,True,1.5787685470058932e-06,1.0248491522040178e-13,0.95,7.104458820223723e-07,0.010000000000000009,0.1,0.3184365563659223,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102750.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102750.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102859,rough_mid,high_clearance,objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid,20.0,0.04499999999999996,1.0,0.27984281088269614,0.8999999999999991,0.31093645653632934,True,2.3718193915556185e-06,4.2458906975088367e-13,0.95,1.0673188748062028e-06,0.010000000000000009,0.1,0.4009353892174546,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102859.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102859.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103007,rough_mid,high_clearance,objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid,20.0,0.04499999999999996,1.0,0.15744375843896713,0.8999999999999991,0.1749375093766303,False,1.6784968011052115e-06,7.559300495988359e-14,0.98,7.553235869548969e-07,0.0040000000000000036,0.0,0.17093675405304334,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103007.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103007.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103115,rough_mid,high_clearance,objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid,20.0,0.04499999999999996,1.0,0.16978731743608033,0.8999999999999991,0.18865257492897833,False,1.0383378139522392e-06,6.123734913038675e-14,0.97,4.6725203771157987e-07,0.006000000000000005,0.0,0.18265210767694062,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103115.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103115.csv
rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103223,rough_mid,high_clearance,objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid,20.0,0.04499999999999996,1.0,0.3036737132107166,0.8999999999999991,0.33741523690079656,True,1.556318238726817e-06,3.987054697086786e-14,0.95,7.003432213817591e-07,0.010000000000000009,0.1,0.42741453655757516,data/rollout_dataset_v0/summaries/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103223.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103223.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_103912,slope_5deg,cautious,objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg,20.0,0.05499999999999997,1.0,0.23692690292137553,1.0999999999999994,0.21538809356488695,True,1.0668642289601848e-06,6.231829058177916e-14,0.97,4.80088924843485e-07,0.006000000000000005,0.1,0.3093876134759621,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_103912.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_103912.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104020,slope_5deg,cautious,objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg,20.0,0.05499999999999997,1.0,0.23610179489200364,1.0999999999999994,0.21463799535636707,True,1.7078258451874717e-06,8.390870792665836e-14,0.95,7.6852165970241e-07,0.010000000000000009,0.1,0.30463722683470734,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104020.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104020.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104128,slope_5deg,cautious,objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg,20.0,0.05499999999999997,1.0,0.21765619619157386,1.0999999999999994,0.19786926926506726,False,1.7659340301179327e-06,8.692194732069432e-14,0.97,7.946703439757512e-07,0.006000000000000005,0.0,0.19186847459472328,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104128.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104128.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104236,slope_5deg,cautious,objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg,20.0,0.05499999999999997,1.0,0.16552855608578965,1.0999999999999994,0.1504805055325361,False,2.5281419766542967e-06,1.7925910710488526e-13,0.97,1.1376639522351211e-06,0.006000000000000005,0.0,0.14447936786858387,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104236.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104236.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104344,slope_5deg,cautious,objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg,20.0,0.05499999999999997,1.0,0.20714195669264207,1.0999999999999994,0.1883108697205838,False,1.801548819457821e-06,2.256923784248857e-13,0.95,8.106970477483519e-07,0.010000000000000009,0.0,0.17831005902353605,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104344.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104344.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103331,slope_5deg,fast,objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg,20.0,0.28000000000000036,1.0,1.1441922457428684,5.600000000000007,0.20432004388265482,True,1.158212512564205e-06,4.2536616637041776e-13,0.97,5.211957795320505e-07,0.006000000000000005,0.1,0.2983195226868753,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103331.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103331.csv
slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103439,slope_5deg,fast,objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg,20.0,0.28000000000000036,1.0,1.1706833887382087,5.600000000000007,0.20905060513182272,True,2.027371465374017e-06,2.6573638750606473e-13,0.98,9.123172524260434e-07,0.0040000000000000036,0.1,0.3050496928145703,data/rollout_dataset_v0/summaries/slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103439.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103439.csv
