label	trial	world	goal_x	lateral_bound	hold_vx	log_dir	timeout_s	hold_obs_s
d4_context_meta_v0	1	tracer_mixed_stress_course_v5_lowfric_from_solid	8.0	2.0	0.025	/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_210111	260	60
d4_context_meta_v0	2	tracer_mixed_stress_course_v5_lowfric_from_solid	8.0	2.0	0.025	/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_210610	260	60
d4_context_meta_v0	3	tracer_mixed_stress_course_v5_lowfric_from_solid	8.0	2.0	0.025	/home/kraken/Tracer/TRACER/logs/phase_d4_context_meta_20260718_211110	260	60
