terrain,objective_name,beta_motion,beta_stability,beta_energy,winner_style,loser_style,margin,label_confidence,sample_weight,pred_pref_prob,pred_correct
flat_normal,motion_objective,0.7,0.2,0.1,fast,cautious,1.0482668295195068,1.0,1.0,0.9993818508499076,1
flat_normal,motion_objective,0.7,0.2,0.1,high_clearance,cautious,0.284067523327744,1.0,0.284067523327744,0.9863733212025357,1
flat_normal,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.7641993061917628,1.0,0.7641993061917628,0.9978186068034348,1
flat_normal,stability_objective,0.15,0.75,0.1,fast,cautious,0.40404702242014423,1.0,0.40404702242014423,0.9970195521651926,1
flat_normal,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.203838379975121,0.7901744544323682,0.161067880689219,0.9916632426850688,1
flat_normal,stability_objective,0.15,0.75,0.1,fast,high_clearance,0.20020864244502323,0.7736756474773784,0.1548965510742203,0.9829337387941237,1
flat_normal,deploy_objective,0.34,0.56,0.1,fast,cautious,0.4466406729698881,1.0,0.4466406729698881,0.9982683520041793,1
flat_normal,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.19857303379241634,0.7662410626928016,0.15215481243523468,0.9901181117663166,1
flat_normal,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.2480676391774717,0.9912165417157806,0.24588874741709157,0.9915849145626274,1
rough_mid,motion_objective,0.7,0.2,0.1,fast,cautious,0.6459571867710444,1.0,0.6459571867710444,0.9976596677393655,1
rough_mid,motion_objective,0.7,0.2,0.1,cautious,high_clearance,0.05161311406872676,0.09824142758512165,0.005070546008225443,0.9104753794067452,1
rough_mid,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.6975703008397711,1.0,0.6975703008397711,0.9952983162222243,1
rough_mid,stability_objective,0.15,0.75,0.1,fast,cautious,0.09542059399705771,0.29736633635026233,0.028374872449270887,0.9743327995684192,1
rough_mid,stability_objective,0.15,0.75,0.1,cautious,high_clearance,0.08026943910138518,0.22849745046084172,0.01834136218458831,0.9450810642787498,1
rough_mid,stability_objective,0.15,0.75,0.1,fast,high_clearance,0.1756900330984429,0.6622274231747404,0.11634675789626668,0.969601763671652,1
rough_mid,deploy_objective,0.34,0.56,0.1,fast,cautious,0.07064352708352672,0.18474330492512148,0.013050918664978055,0.9887051418180419,1
rough_mid,deploy_objective,0.34,0.56,0.1,cautious,high_clearance,0.05986448062687641,0.1357476392130746,0.008126461917815311,0.9348514422208111,1
rough_mid,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.13050800771040313,0.4568545805018324,0.059623181114666135,0.9839570912437122,1
slope_5deg,motion_objective,0.7,0.2,0.1,fast,cautious,0.7033418261826998,1.0,0.7033418261826998,0.9974275179346664,1
slope_5deg,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.660097367711927,1.0,0.660097367711927,0.9958334022242856,1
slope_5deg,stability_objective,0.15,0.75,0.1,fast,cautious,0.186830413762193,0.7128655171008773,0.13318495951675657,0.9776645643131538,1
slope_5deg,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.10023912354742237,0.31926874339737443,0.032003219014239706,0.9723067339348809,1
slope_5deg,stability_objective,0.15,0.75,0.1,fast,high_clearance,0.08659129021477063,0.2572331373398665,0.022274149248252335,0.9623106872638463,1
slope_5deg,deploy_objective,0.34,0.56,0.1,fast,cautious,0.1559120416307325,0.572327461957875,0.08923274307518768,0.9893610520344961,1
slope_5deg,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.09325428763280455,0.2875194892400207,0.02681242514962594,0.9717885912931883,1
slope_5deg,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.06265775399792795,0.14844433635421794,0.00930118870966826,0.9822345848760191,1
slippery_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,fast,cautious,0.44120189629617584,1.0,0.44120189629617584,0.9953812761558455,1
slippery_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,high_clearance,cautious,0.08064731307260709,0.2302150594209413,0.018566225971149496,0.966350756068163,1
slippery_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,fast,high_clearance,0.36055458322356876,1.0,0.36055458322356876,0.9935353565621406,1
slippery_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.19911235790123039,0.7686925359146836,0.15305618332704887,0.9826615586073936,1
slippery_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,high_clearance,fast,0.1687861405396759,0.6308460933621631,0.10647807737313156,0.9839154592460103,1
slippery_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,fast,cautious,0.06234658741103416,0.147029942777428,0.009166815179412266,0.9777416397084453,1
slippery_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.16402086200015994,0.6091857363643634,0.09991916959668506,0.9781721255511405,1
slippery_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,high_clearance,fast,0.10167427458912578,0.325792157223299,0.033124681252505346,0.9543235855939135,1
sponge_firm_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,fast,cautious,0.2247536487832365,0.8852438581056205,0.19896178717218788,0.9947233693257416,1
sponge_firm_downslope_5deg_forward,motion_objective,0.7,0.2,0.1,high_clearance,cautious,0.21631021683774326,0.8468646219897421,0.18318547001481458,0.9909067331644189,1
sponge_firm_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,fast,cautious,0.1557190365381742,0.57145016608261,0.08898566929196366,0.9932576858812985,1
sponge_firm_downslope_5deg_forward,stability_objective,0.15,0.75,0.1,high_clearance,cautious,0.11778880357305532,0.3990400162411606,0.04700244609081887,0.9837004227773832,1
sponge_firm_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,fast,cautious,0.4178674429385123,1.0,0.4178674429385123,0.9938048403113452,1
sponge_firm_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,high_clearance,cautious,0.2512171100160663,1.0,0.2512171100160663,0.9866699235265308,1
sponge_firm_downslope_5deg_forward,deploy_objective,0.34,0.56,0.1,fast,high_clearance,0.16665033292244602,0.6211378769202092,0.10351283397949415,0.9779664813985958,1
