yaw_gain	yaw_sign	yaw_k	yaw_max	policy_json	manifest	summary_json	summary_md
0.000	1.0	0.0	0.25	models/phase_d4/d4_context_meta_policy_rough_clearance_holdvx0025_v0.json	reports/phase_d4_context_meta_repeat_20260718_172023_manifest.tsv	reports/phase_d4/yaw_gain_0p000_phase_d4_context_meta_repeat_20260718_172023_summary_v0.json	reports/phase_d4/yaw_gain_0p000_phase_d4_context_meta_repeat_20260718_172023_summary_v0.md
0.050	1.0	0.05	0.25	models/phase_d4/d4_context_meta_policy_rough_clearance_holdvx0025_v0.json	reports/phase_d4_context_meta_repeat_20260718_173532_manifest.tsv	reports/phase_d4/yaw_gain_0p050_phase_d4_context_meta_repeat_20260718_173532_summary_v0.json	reports/phase_d4/yaw_gain_0p050_phase_d4_context_meta_repeat_20260718_173532_summary_v0.md
