terrain,style,n_valid,n_raw,invalid_rate,success_rate,vx_mean,distance_mean,distance_median,fallen_p90_max,fallen_bad_rate,recovery_mean,recovery_bad_rate,fresh1_mean,fresh1_min,stable_score,progress_norm,deploy_score
flat_normal,cautious,3,3,0.0,1.0,0.05500000000000005,0.4908231077027105,0.4720007910033367,2.604374458314851e-06,0.0,3.8126684165077595e-13,0.0,0.9333333333333333,0.9,0.9833325520209959,0.37023958774074284,0.7729168765176584
flat_normal,fast,3,3,0.0,1.0,0.27999999999999986,1.325690509482755,1.2030112977148282,0.0002469044993631542,0.0,3.2773411145810225e-12,0.0,0.95,0.95,0.987425928650191,1.0,0.9949703714600764
flat_normal,high_clearance,3,3,0.0,0.6666666666666666,0.04474999999999996,0.31310931635709927,0.4186252210989738,4.755515419674339e-06,0.0,8.650844219587292e-11,0.0,0.9222222222222222,0.9166666666666666,0.8305541289009297,0.23618583230203952,0.5815533595327524
rough_mid,cautious,3,3,0.0,0.6666666666666666,0.05500000000000005,0.16371381699351908,0.17588929739599424,2.9070322398183635e-06,0.0,1.270311465065727e-13,0.0,0.9777777777777777,0.95,0.8444435723347725,0.2089171453694802,0.5775650964798937
rough_mid,fast,2,3,0.33333333333333337,1.0,0.27999999999999986,0.7836303559671141,0.7836303559671141,2.663474560904433e-06,0.0,8.916614554516562e-14,0.0,0.95,0.95,0.9874992009576318,1.0,0.9283330137163861
rough_mid,high_clearance,3,3,0.0,0.6666666666666666,0.044999999999999964,0.14632354949490667,0.15241017840983037,2.2072861156630097e-06,0.0,1.2699867009420114e-13,0.0,0.9777777777777777,0.95,0.8444437822586097,0.18672521856854574,0.5697980060691016
slippery_downslope_5deg_forward,cautious,3,3,0.0,1.0,0.05500000000000005,0.16126024999894165,0.14591338191160858,7.886358162068063e-07,0.0,8.395015456851259e-14,0.0,0.95,0.95,0.987499763409255,0.20149945655488966,0.7155247151579134
slippery_downslope_5deg_forward,fast,3,3,0.0,1.0,0.2784444444444443,0.8003011658496131,0.7779106764111938,9.149983952738694e-07,0.0,2.246879557949767e-13,0.0,0.9333333333333333,0.9166666666666666,0.9833330588338147,1.0,0.9933332235335259
slippery_downslope_5deg_forward,high_clearance,3,3,0.0,0.6666666666666666,0.044999999999999964,0.13239430719578155,0.11901839970035405,2.5206597911164863e-06,0.0,6.499909960059867e-14,0.0,0.9277777777777777,0.9166666666666666,0.8319436882465071,0.16543060643330382,0.5573448542169258
slope_5deg,cautious,3,3,0.0,0.0,0.05500000000000005,0.11075465521387487,0.12810987934039386,1.966030595212942e-06,0.0,1.3656575253325634e-13,0.0,0.9277777777777777,0.9166666666666666,0.5319438546352658,0.15967277662045695,0.26866301367126627
slope_5deg,fast,2,3,0.33333333333333337,1.0,0.27999999999999986,0.6936351803860672,0.6936351803860672,1.4840526318948832e-06,0.0,3.8446239581197846e-14,0.0,0.9583333333333333,0.95,0.9895828881175437,1.0,0.9291664885803508
slope_5deg,high_clearance,3,3,0.0,0.6666666666666666,0.044999999999999964,0.13134615511198905,0.10878813772159106,1.5422934893649654e-06,0.0,9.691010296383214e-14,0.0,0.9277777777777777,0.9166666666666666,0.8319439817563976,0.1893591311774061,0.5657199552813179
sponge_firm_downslope_5deg_forward,cautious,2,3,0.33333333333333337,1.0,0.05483333333333339,1.9785496363154507,1.9785496363154507,0.000950688379816711,0.0,3.796366860409909e-12,0.0,0.9333333333333333,0.9166666666666666,0.9830481268193882,0.9456950733381576,0.9075458597294438
sponge_firm_downslope_5deg_forward,fast,3,3,0.0,0.3333333333333333,0.21349999999999997,2.0921644746773143,2.62296511737788,0.9954413175582886,0.6666666666666666,1.5701480808251837e-11,0.0,0.95,0.9166666666666666,0.18886760473251338,1.0,0.17554704189300535
sponge_firm_downslope_5deg_forward,high_clearance,3,3,0.0,0.6666666666666666,0.043472222222222204,1.9137107053246722,1.865989732643617,0.999976396560669,0.3333333333333333,3.3395587618960355e-09,0.0,0.9333333333333333,0.9,0.4333404143651327,0.91470375703604,0.49348248070866707
