terrain,rank,style,quality_score,success_proxy,progress_ratio,distance_xy_proxy,mpc_vx_mean,fallen_p90,fresh1,episode_id
rough_mid,13,cautious,0.1857939810178702,False,0.19979441603539935,0.21977385763893917,0.05499999999999997,9.667055564932525e-07,0.93,rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102534
rough_mid,14,high_clearance,0.18265210767694062,False,0.18865257492897833,0.16978731743608033,0.04499999999999996,1.0383378139522392e-06,0.97,rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103115
rough_mid,15,high_clearance,0.17093675405304334,False,0.1749375093766303,0.15744375843896713,0.04499999999999996,1.6784968011052115e-06,0.98,rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103007
slope_5deg,1,high_clearance,0.34001303570083496,True,0.24401419886078024,0.219612778974702,0.04499999999999996,2.5847996312222676e-06,0.98,slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104600
slope_5deg,2,high_clearance,0.332976626249851,True,0.23897705601969096,0.21507935041772167,0.04499999999999996,9.5504401542712e-07,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104816
slope_5deg,3,high_clearance,0.3315885784658267,True,0.23758944617710456,0.2138305015593939,0.04499999999999996,1.9282470020698383e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104452
slope_5deg,4,fast,0.3135413263495219,True,0.2195419165784536,1.2294347328393416,0.28000000000000036,1.3116194850226748e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103656
slope_5deg,5,cautious,0.3093876134759621,True,0.21538809356488695,0.23692690292137553,0.05499999999999997,1.0668642289601848e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_103912
slope_5deg,6,fast,0.3051579430476869,True,0.21515859667981718,1.2048881414069776,0.28000000000000036,1.4525156757372315e-06,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103547
slope_5deg,7,fast,0.3050496928145703,True,0.20905060513182272,1.1706833887382087,0.28000000000000036,2.027371465374017e-06,0.98,slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103439
slope_5deg,8,cautious,0.30463722683470734,True,0.21463799535636707,0.23610179489200364,0.05499999999999997,1.7078258451874717e-06,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104020
slope_5deg,9,fast,0.2983195226868753,True,0.20432004388265482,1.1441922457428684,0.28000000000000036,1.158212512564205e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103331
slope_5deg,10,cautious,0.19186847459472328,False,0.19786926926506726,0.21765619619157386,0.05499999999999997,1.7659340301179327e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104128
slope_5deg,11,fast,0.18617446505252078,False,0.19217517357547084,1.076180972022638,0.28000000000000036,1.5744953998364508e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103804
slope_5deg,12,high_clearance,0.18421963765756252,False,0.1942203238120795,0.17479829143087136,0.04499999999999996,1.5247877627189155e-06,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104924
slope_5deg,13,cautious,0.17831005902353605,False,0.1883108697205838,0.20714195669264207,0.05499999999999997,1.801548819457821e-06,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104344
slope_5deg,14,high_clearance,0.15615630188746019,False,0.16215688115745178,0.14594119304170647,0.04499999999999996,1.2872665138274897e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104708
slope_5deg,15,cautious,0.14447936786858387,False,0.1504805055325361,0.16552855608578965,0.05499999999999997,2.5281419766542967e-06,0.97,slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104236
