mode,idx,context,scope,rows,valid_xy,x_start,x_end,x_min,x_max,y_start,y_end,y_min,y_max,delta_y,abs_delta_y,max_abs_y,mean_abs_y,j7_rows,j7_accepted,j7_projected,j7_empirical,j7_failsafe,run_max_abs_y,run_mean_abs_y,manifest,d5_log_dir,j7_csv
j19_profile,6,rough,context_all,431,431,4.001514,5.998703,4.001514,5.998703,-0.360664,-0.355366,-0.381058,-0.327900,0.005298,0.005298,0.381058,0.355836,431,0,0,0,0,0.405720,0.297625,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,6,downslope,context_all,488,488,6.002491,7.996305,6.002491,7.996305,-0.354874,-0.377621,-0.405720,-0.332964,-0.022747,0.022747,0.405720,0.369625,488,0,0,0,0,0.405720,0.297625,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,6,goal_flat,context_all,344,344,8.000369,8.138908,8.000369,8.145490,-0.378465,-0.346228,-0.379921,-0.288517,0.032237,0.032237,0.379921,0.339286,0,0,0,0,0,0.405720,0.297625,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,7,flat,context_all,443,443,-0.001172,1.997855,-0.001172,1.997855,0.000069,0.099645,-0.012702,0.100268,0.099576,0.099576,0.100268,0.041857,0,0,0,0,0,0.232221,0.094110,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA
baseline,7,upslope,context_all,436,436,2.002945,3.999306,2.002945,3.999306,0.099291,0.085606,0.059888,0.128166,-0.013685,0.013685,0.128166,0.100028,0,0,0,0,0,0.232221,0.094110,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA
baseline,7,rough,context_all,459,459,4.004682,5.999765,4.004682,5.999765,0.085364,0.195060,0.056873,0.232221,0.109695,0.109695,0.232221,0.156382,0,0,0,0,0,0.232221,0.094110,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA
baseline,7,downslope,context_all,508,508,6.004199,7.999738,6.004199,7.999738,0.193839,0.019010,0.019010,0.193839,-0.174829,0.174829,0.193839,0.127227,0,0,0,0,0,0.232221,0.094110,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA
baseline,7,goal_flat,context_all,380,380,8.004326,8.150317,8.004326,8.150317,0.016927,-0.036835,-0.042169,0.020828,-0.053762,0.053762,0.042169,0.028744,0,0,0,0,0,0.232221,0.094110,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA
j19_profile,7,flat,context_all,420,420,0.074258,1.995952,0.074258,1.995952,0.002124,-0.133272,-0.133272,0.007573,-0.135396,0.135396,0.133272,0.062540,448,446,446,0,0,0.256301,0.102450,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,7,upslope,context_all,424,424,2.000653,3.994932,2.000653,3.994932,-0.135272,-0.246806,-0.247138,-0.128586,-0.111534,0.111534,0.247138,0.161345,424,0,0,0,0,0.256301,0.102450,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,7,rough,context_all,432,432,4.000271,5.996194,4.000271,5.996194,-0.246585,-0.080630,-0.256301,-0.070546,0.165954,0.165954,0.256301,0.182218,432,0,0,0,0,0.256301,0.102450,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,7,downslope,context_all,512,512,6.001029,7.996388,6.001029,7.996388,-0.079337,-0.056346,-0.079337,0.037502,0.022991,0.022991,0.079337,0.039728,512,0,0,0,0,0.256301,0.102450,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,7,goal_flat,context_all,339,339,8.000677,8.102549,8.000677,8.102558,-0.056660,-0.110004,-0.113165,-0.050426,-0.053344,0.053344,0.113165,0.071311,0,0,0,0,0,0.256301,0.102450,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,8,flat,context_all,424,424,-0.001478,1.996682,-0.001478,1.996682,-0.000088,-0.091519,-0.100352,0.039153,-0.091431,0.091431,0.100352,0.034796,0,0,0,0,0,0.240008,0.076154,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA
baseline,8,upslope,context_all,427,427,2.001719,3.996502,2.001719,3.996502,-0.090868,-0.195402,-0.195627,-0.065709,-0.104533,0.104533,0.195627,0.121897,0,0,0,0,0,0.240008,0.076154,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA
baseline,8,rough,context_all,424,424,4.002036,5.998016,4.002036,5.998016,-0.195380,-0.068789,-0.240008,-0.068789,0.126591,0.126591,0.240008,0.157690,0,0,0,0,0,0.240008,0.076154,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA
baseline,8,downslope,context_all,493,493,6.002852,7.997957,6.002852,7.997957,-0.068751,-0.000890,-0.083651,0.000166,0.067860,0.067860,0.083651,0.045895,0,0,0,0,0,0.240008,0.076154,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA
baseline,8,goal_flat,context_all,357,357,8.002230,8.142905,8.002230,8.156903,0.000931,-0.048030,-0.048030,0.020961,-0.048961,0.048961,0.048030,0.015511,0,0,0,0,0,0.240008,0.076154,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA
baseline,9,flat,context_all,447,447,-0.001769,1.996879,-0.001769,1.996879,0.000159,0.058383,0.000159,0.071684,0.058224,0.058224,0.071684,0.035864,0,0,0,0,0,0.621932,0.195508,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA
baseline,9,upslope,context_all,429,429,2.002074,3.997915,2.002074,3.997915,0.057730,-0.072767,-0.072767,0.062171,-0.130497,0.130497,0.072767,0.035094,0,0,0,0,0,0.621932,0.195508,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA
baseline,9,rough,context_all,432,432,4.003022,5.999865,4.003022,5.999865,-0.074270,-0.125470,-0.194684,-0.050913,-0.051200,0.051200,0.194684,0.110821,0,0,0,0,0,0.621932,0.195508,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA
baseline,9,downslope,context_all,513,513,6.003906,7.999523,6.003906,7.999523,-0.126363,-0.424803,-0.424803,-0.126363,-0.298440,0.298440,0.424803,0.267578,0,0,0,0,0,0.621932,0.195508,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA
baseline,9,goal_flat,context_all,402,402,8.003284,8.041699,8.003284,8.091920,-0.425002,-0.581550,-0.621932,-0.424993,-0.156548,0.156548,0.621932,0.543246,0,0,0,0,0,0.621932,0.195508,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA
j19_profile,9,flat,context_all,430,430,0.103500,1.995365,0.103500,1.995365,0.006035,-0.121454,-0.121454,0.036763,-0.127489,0.127489,0.121454,0.044641,464,463,463,0,0,0.142834,0.041393,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,9,upslope,context_all,431,431,2.000014,3.996386,2.000014,3.996386,-0.122801,-0.065396,-0.142834,-0.032002,0.057405,0.057405,0.142834,0.081630,431,0,0,0,0,0.142834,0.041393,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,9,rough,context_all,440,440,4.001322,5.998929,4.001322,5.998929,-0.066018,-0.000652,-0.070315,0.063202,0.065366,0.065366,0.070315,0.024747,439,0,0,0,0,0.142834,0.041393,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,9,downslope,context_all,500,500,6.001863,7.996991,6.001863,7.996991,-0.002377,-0.008362,-0.055561,0.032539,-0.005984,0.005984,0.055561,0.022739,501,0,0,0,0,0.142834,0.041393,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,9,goal_flat,context_all,326,326,8.001272,8.184127,8.001272,8.193049,-0.007331,-0.054525,-0.064114,-0.004523,-0.047194,0.047194,0.064114,0.034988,0,0,0,0,0,0.142834,0.041393,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,10,flat,context_all,445,445,-0.001207,1.999840,-0.001207,1.999840,0.000444,-0.122304,-0.127399,0.033495,-0.122748,0.122748,0.127399,0.056424,0,0,0,0,0,0.300163,0.172027,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA
baseline,10,upslope,context_all,389,389,2.005306,3.995986,2.005306,3.995986,-0.122584,-0.110410,-0.185756,-0.089435,0.012174,0.012174,0.185756,0.139748,0,0,0,0,0,0.300163,0.172027,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA
baseline,10,rough,context_all,411,411,4.001504,5.996235,4.001504,5.996235,-0.110027,-0.233838,-0.238322,-0.108198,-0.123810,0.123810,0.238322,0.177652,0,0,0,0,0,0.300163,0.172027,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA
baseline,10,downslope,context_all,501,501,6.000552,7.999493,6.000552,7.999493,-0.235062,-0.192421,-0.300163,-0.191325,0.042640,0.042640,0.300163,0.247528,0,0,0,0,0,0.300163,0.172027,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA
baseline,10,goal_flat,context_all,379,379,8.003187,8.158976,8.003187,8.159078,-0.193153,-0.286946,-0.291856,-0.166800,-0.093793,0.093793,0.291856,0.234988,0,0,0,0,0,0.300163,0.172027,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA
j19_profile,10,flat,context_all,420,420,0.088615,1.997714,0.088615,1.997714,-0.000012,0.003105,-0.037028,0.006675,0.003117,0.003117,0.037028,0.015981,450,449,449,0,0,0.212785,0.063674,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,10,upslope,context_all,426,426,2.003371,3.998506,2.003371,3.998506,0.003858,-0.059441,-0.059441,0.053211,-0.063299,0.063299,0.059441,0.031746,426,0,0,0,0,0.212785,0.063674,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,10,rough,context_all,433,433,4.003106,5.999159,4.003106,5.999159,-0.061166,-0.085522,-0.113104,-0.052762,-0.024356,0.024356,0.113104,0.074793,433,0,0,0,0,0.212785,0.063674,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,10,downslope,context_all,493,493,6.003753,7.997131,6.003753,7.997131,-0.085833,-0.005828,-0.191057,-0.001419,0.080005,0.080005,0.191057,0.110329,494,0,0,0,0,0.212785,0.063674,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,10,goal_flat,context_all,352,352,8.001126,8.178385,8.001126,8.178385,-0.004427,-0.212398,-0.212785,-0.003227,-0.207970,0.207970,0.212785,0.080197,0,0,0,0,0,0.212785,0.063674,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
