mode,idx,context,scope,rows,valid_xy,x_start,x_end,x_min,x_max,y_start,y_end,y_min,y_max,delta_y,abs_delta_y,max_abs_y,mean_abs_y,j7_rows,j7_accepted,j7_projected,j7_empirical,j7_failsafe,run_max_abs_y,run_mean_abs_y,manifest,d5_log_dir,j7_csv
baseline,2,goal_flat,context_all,320,320,8.000747,8.147048,8.000747,8.147048,-0.275416,-0.425051,-0.428930,-0.271894,-0.149634,0.149634,0.428930,0.337192,0,0,0,0,0,0.428930,0.176088,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA
j19_profile,2,flat,context_all,433,433,0.112147,1.996071,0.112147,1.996071,0.005255,-0.233973,-0.240181,0.060725,-0.239228,0.239228,0.240181,0.099006,465,464,464,0,0,0.448506,0.245969,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,2,upslope,context_all,432,432,2.001310,3.998883,2.001310,3.998883,-0.234800,-0.412639,-0.412808,-0.234800,-0.177839,0.177839,0.412808,0.360311,431,0,0,0,0,0.448506,0.245969,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,2,rough,context_all,460,460,4.004728,5.998980,4.004728,5.998980,-0.413122,-0.219825,-0.448506,-0.219825,0.193297,0.193297,0.448506,0.374448,460,0,0,0,0,0.448506,0.245969,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,2,downslope,context_all,483,483,6.001988,7.999051,6.001988,7.999051,-0.216956,0.276627,-0.216956,0.276627,0.493583,0.493583,0.276627,0.120622,483,0,0,0,0,0.448506,0.245969,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,2,goal_flat,context_all,315,315,8.004349,8.126465,8.004349,8.127032,0.276878,0.310106,0.272747,0.317719,0.033228,0.033228,0.317719,0.295754,0,0,0,0,0,0.448506,0.245969,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
baseline,3,flat,context_all,459,459,-0.001549,1.995755,-0.001549,1.995755,0.000299,-0.008040,-0.012996,0.067710,-0.008339,0.008339,0.067710,0.038746,0,0,0,0,0,0.231022,0.076465,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA
baseline,3,upslope,context_all,420,420,2.000976,3.999024,2.000976,3.999024,-0.009356,-0.048858,-0.049325,0.046093,-0.039502,0.039502,0.049325,0.023398,0,0,0,0,0,0.231022,0.076465,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA
baseline,3,rough,context_all,449,449,4.004880,5.997567,4.004880,5.997567,-0.048071,-0.081123,-0.109389,-0.032806,-0.033052,0.033052,0.109389,0.073893,0,0,0,0,0,0.231022,0.076465,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA
baseline,3,downslope,context_all,509,509,6.001940,7.997211,6.001940,7.997211,-0.081226,0.028091,-0.231022,0.028091,0.109317,0.109317,0.231022,0.134083,0,0,0,0,0,0.231022,0.076465,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA
baseline,3,goal_flat,context_all,389,389,8.000327,8.039850,8.000327,8.081035,0.030315,0.190867,0.024972,0.191324,0.160552,0.160552,0.191324,0.105844,0,0,0,0,0,0.231022,0.076465,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA
j19_profile,3,flat,context_all,406,406,0.103171,1.999826,0.103171,1.999826,0.015511,0.013126,0.013126,0.103884,-0.002385,0.002385,0.103884,0.066420,435,433,433,0,0,0.122530,0.056555,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,3,upslope,context_all,442,442,2.004557,3.998119,2.004557,3.998119,0.012971,-0.101245,-0.101510,0.013611,-0.114216,0.114216,0.101510,0.034336,443,0,0,0,0,0.122530,0.056555,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,3,rough,context_all,445,445,4.002308,5.998264,4.002308,5.998264,-0.101450,0.005007,-0.103339,0.020786,0.106457,0.106457,0.103339,0.050609,445,0,0,0,0,0.122530,0.056555,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
