status,mode,idx,return_code,goal_reached,final_x,final_y,max_x,max_abs_y,mean_abs_y,rows,valid_xy,j7_rows,j7_accepted,j7_accept_rate,j7_projected,j7_empirical,j7_failsafe,flat_rows,flat_accepted,upslope_rows,upslope_accepted,rough_rows,rough_accepted,downslope_rows,downslope_accepted,manifest,d5_log_dir,j7_csv,run_dir
ok,flat_noop,3,0,True,8.232712,-0.435010,8.232712,0.443570,0.230737,2123,2123,2178,458,0.210285,458,1713,7,460,458,427,0,405,0,517,0,reports/phase_d4_context_meta_repeat_20260723_173702_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_173702_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_noop
ok,flat_slow03,3,0,True,7.950432,-0.167669,8.089672,0.174245,0.076390,2127,2127,2173,471,0.216751,471,1694,8,472,471,414,0,423,0,482,0,reports/phase_d4_context_meta_repeat_20260723_174147_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_174147_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03
ok,flat_clear03,3,0,True,8.117569,-0.309984,8.117569,0.409428,0.226365,2127,2127,2185,454,0.207780,454,1724,7,455,454,432,0,437,0,496,0,reports/phase_d4_context_meta_repeat_20260723_174633_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_174633_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_clear03
ok,flat_slow03_clear03,3,0,True,8.153760,0.207354,8.177324,0.241698,0.097864,2228,2228,2281,474,0.207804,474,1799,8,475,474,452,0,440,0,501,0,reports/phase_d4_context_meta_repeat_20260723_175119_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_175119_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_flat_slow03_clear03
ok,baseline,4,0,True,8.041471,0.244558,8.077515,0.244558,0.065498,2226,2226,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260723_175612_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_175612_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_baseline
nonzero_exit,flat_noop,4,1,False,nan,nan,nan,nan,nan,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260723_180107_manifest.tsv,,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_noop
ok,flat_slow03,4,0,True,8.203701,0.062147,8.206183,0.273044,0.122430,2223,2223,2276,447,0.196397,447,1823,6,448,447,435,0,448,0,512,0,reports/phase_d4_context_meta_repeat_20260723_180212_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_180212_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03
ok,flat_clear03,4,0,True,8.012594,-0.499449,8.072505,0.550439,0.316740,2128,2128,2172,446,0.205341,446,1719,7,447,446,421,0,451,0,480,0,reports/phase_d4_context_meta_repeat_20260723_180707_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_180707_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_clear03
ok,flat_slow03_clear03,4,0,True,7.992806,-0.565839,8.073414,0.769346,0.380733,2227,2225,2280,446,0.195614,446,1827,7,447,446,448,0,441,0,509,0,reports/phase_d4_context_meta_repeat_20260723_181152_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_181152_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/4_flat_slow03_clear03
ok,baseline,5,0,True,8.185383,-0.124848,8.185383,0.250232,0.117853,2126,2126,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260723_181645_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_181645_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_baseline
ok,flat_noop,5,0,True,8.128056,-0.423753,8.171722,0.454667,0.189945,2228,2228,2273,452,0.198856,452,1814,7,453,452,441,0,449,0,509,0,reports/phase_d4_context_meta_repeat_20260723_182130_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_182130_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_noop
ok,flat_slow03,5,0,True,8.191953,-0.370798,8.197073,0.462906,0.261107,2228,2228,2273,462,0.203256,462,1804,7,463,462,453,0,440,0,508,0,reports/phase_d4_context_meta_repeat_20260723_182626_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_182626_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03
ok,flat_clear03,5,0,True,8.123902,0.186756,8.124407,0.200198,0.110357,2128,2128,2173,444,0.204326,444,1722,7,444,444,416,0,433,0,508,0,reports/phase_d4_context_meta_repeat_20260723_183122_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_183122_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_clear03
ok,flat_slow03_clear03,5,0,True,8.026923,-0.558737,8.056912,0.565538,0.205208,2225,2225,2273,470,0.206775,470,1797,6,471,470,407,0,459,0,519,0,reports/phase_d4_context_meta_repeat_20260723_183607_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_183607_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/5_flat_slow03_clear03
ok,baseline,6,0,True,8.112590,-0.140302,8.112948,0.199063,0.069632,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260723_184100_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_184100_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_baseline
ok,flat_noop,6,0,True,8.128660,-0.396173,8.128660,0.401141,0.129324,2228,2228,2280,454,0.199123,454,1820,6,455,454,450,0,436,0,500,0,reports/phase_d4_context_meta_repeat_20260723_184545_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_184545_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_noop
ok,flat_slow03,6,0,True,8.079815,-0.138621,8.092937,0.317054,0.132806,2127,2127,2172,458,0.210866,458,1707,7,458,458,422,0,429,0,494,0,reports/phase_d4_context_meta_repeat_20260723_185041_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_185041_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_slow03
ok,flat_clear03,6,0,True,8.117581,-0.560700,8.118526,0.563978,0.314734,2128,2126,2173,438,0.201565,438,1728,7,439,438,429,0,431,0,498,0,reports/phase_d4_context_meta_repeat_20260723_185526_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_185526_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_clear03
ok,flat_slow03_clear03,6,0,True,8.185134,0.000666,8.185953,0.192930,0.070614,2224,2224,2280,451,0.197807,451,1822,7,451,451,437,0,456,0,515,0,reports/phase_d4_context_meta_repeat_20260723_190012_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_190012_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/6_flat_slow03_clear03
