update,beta,steps_total,steps_early,steps_post,mean_dCtr_total,mean_dCtr_early,mean_dCtr_post,sum_dCtr_total,sum_dCtr_early,sum_dCtr_post,early_fraction_of_signed_total,post_sign
10,stability,41,3,38,0.006009756338103512,0.0481116624354204,0.002685921646210073,0.24640000986224397,0.1443349873062612,0.10206502255598277,0.5857750873750178,1
10,energy,41,3,38,-0.015446917667453831,-0.11448120582569127,-0.0076284212339087715,-0.6333236243656071,-0.3434436174770738,-0.2898800068885333,0.5422877092593811,-1
20,stability,40,3,37,0.011751467503308246,0.1368277635381527,0.0016101462031857226,0.4700587001323298,0.4104832906144581,0.059575409517871734,0.8732596386342808,1
20,energy,40,3,37,-0.01313623280007629,-0.14939070252927059,-0.0020885730923037764,-0.5254493120030516,-0.4481721075878118,-0.07727720441523973,0.8529311911730298,-1
30,stability,38,3,35,0.011422129162135216,0.2186491109721211,-0.006340183564435003,0.4340409081611382,0.6559473329163633,-0.22190642475522512,1.5112569358850434,-1
30,energy,38,3,35,-0.009802032883350395,-0.15071547990559153,0.002276262575698848,-0.372477249567315,-0.4521464397167746,0.07966919014945967,1.2138900838695696,1
40,stability,38,3,35,0.01740561689921431,0.16085090604124594,0.005110306401325882,0.6614134421701438,0.48255271812373784,0.17886072404640585,0.7295780329780548,1
40,energy,38,3,35,-0.004841465202073075,-0.02843476359712078,-0.002819182482497557,-0.18397567767877684,-0.08530429079136234,-0.0986713868874145,0.4636715671747892,-1
