update,policy_step,phase_mod_25,stability_dCtr,energy_dCtr,S_minus_E_dCtr,S_minus_E_dVxRef,S_minus_E_dYawRef,S_minus_E_dHRef
10,0,0,0.11112872035661958,-0.19355135574432758,0.30468007610094716,0.008105767145752896,-0.017259830981492995,0.0023601917177438203
10,1,1,-0.1260747576849215,-0.1667570309350208,0.04068227325009932,0.008163022249937063,-0.01748018283396959,0.0023969652503729177
10,2,2,0.15928102463456312,0.016864769202274588,0.14241625543228853,0.008176054432988161,-0.01764153325930238,0.002417218945920452
10,3,3,-0.0038427410448109503,-0.009684530292394201,0.005841789247583251,0.008291221782565139,-0.017976423352956773,0.0024878098815679373
10,4,4,-0.006546950480135497,-0.028633018325983695,0.022086067845848198,0.00829382166266443,-0.018119545094668864,0.002497947178781046
10,5,5,0.0019160592983142738,-0.0007541124505853272,0.002670171748899601,0.008319802954792982,-0.018245811387896542,0.0025256023183465315
10,6,6,0.0006977993482611272,-0.0030572857455421314,0.0037550850938032586,0.008330006152391434,-0.01837078370153904,0.0025486897677182707
10,7,7,0.018289950186179516,0.030531206794506965,-0.01224125660832745,0.008362210914492602,-0.018537062034010888,0.0025803751498461036
10,8,8,0.00041237184018277917,-0.0016408180398583081,0.0020531898800410873,0.008413440175354475,-0.018765448406338692,0.002624523863196393
10,9,9,-1.4404554693871544e-05,0.001771153049616178,-0.0017855576043100496,0.00843285657465459,-0.018887630850076678,0.002644312195479892
10,10,10,0.0,0.0,0.0,0.008444110862910748,-0.01901910826563835,0.002665735892951493
10,11,11,0.13232793890988578,-0.13539977373112622,0.26772771264101203,0.008483909443020826,-0.019195602089166642,0.002698540873825539
10,12,12,-0.00013260281923389915,6.910348474554388e-05,-0.00020170630397944303,0.008514107763767237,-0.01933828368782997,0.0027274232916533747
10,13,13,-0.015062051925238056,0.01912683365058942,-0.03418888557582747,0.008524664491415007,-0.019458739459514617,0.0027614969015121726
10,14,14,0.04500483479410024,-0.0007807076893568549,0.04578554248345709,0.00855359248816967,-0.01959373876452446,0.0027805149368941295
10,15,15,0.006788942295365405,0.0013639783582597709,0.005424963937105634,0.008581862598657591,-0.01974092423915863,0.002808829676359925
10,16,16,-0.016255105456119624,-0.00029034333083888947,-0.015964762125280734,0.008590513281524187,-0.01982711851596832,0.002824692986905575
10,17,17,-4.424098963571796e-05,2.5325089172249424e-05,-6.956607880796739e-05,0.008610866405069834,-0.019948749244213103,0.0028491885960102437
10,18,18,0.0027433458462671756,-0.0066528508259301455,0.009396196672197321,0.008642685413360607,-0.020077407360076904,0.002879642620682743
10,19,19,0.0,0.0,0.0,0.008653001300990587,-0.020146917551755905,0.002897255541756738
10,20,20,-0.0017760871562633295,0.0038660500373827933,-0.005642137193646123,0.008663283474743377,-0.020210596174001696,0.002917185367550701
10,21,21,-0.00016990632641720668,0.00036912086288219334,-0.0005390271892994,0.008690673485398287,-0.020322874188423157,0.0028960447735153494
10,22,22,0.00023189906504178515,0.010331993377206833,-0.010100094312165048,0.0087160298600793,-0.0204289048910141,0.0028459781082346702
10,23,23,-0.0006306685386338372,0.0008086381584183648,-0.001439306697052202,0.008730336744338263,-0.02046114131808281,0.0027834857720881456
10,24,24,-4.7742298824677166e-05,-0.00037883200615904046,0.0003310897073343633,0.0087404390797019,-0.020522690564394,0.00273507879115642
10,25,0,-0.008260977712363088,0.0466928352713494,-0.05495381298371249,0.008764738216996193,-0.020592422038316727,0.0026771017536521002
10,26,1,0.0,1.7805534824343205e-10,-1.7805534824343205e-10,0.008782389294356097,-0.02061939872801304,0.002590435221791254
10,27,2,-0.0016209350225784118,0.00536138035457484,-0.0069823153771532516,0.008796775620430713,-0.02062305100262165,0.002532979231327781
10,28,3,0.0,0.0,0.0,0.008815865404903894,-0.02067549675703049,0.002484851423650958
10,29,4,0.14327494049407835,-0.03189352330490908,0.17516846379898743,0.00884959357790649,-0.02076706811785698,0.002449785992503173
10,30,5,-0.0007278299830406674,-0.0006654402697690177,-6.238971327164969e-05,0.008880926936399192,-0.020727738738059998,0.0023553309962153213
10,31,6,-9.103220769370122e-05,0.0033233968369281363,-0.0034144290446218376,0.008876782283186918,-0.0206844300031662,0.0022870807722211173
10,32,7,-0.025774499137036583,0.028858666784818743,-0.054633165921855326,0.008920316887088137,-0.020728601980954407,0.0022233194485306584
10,33,8,0.006039405224522135,-7.848772094978806e-05,0.006117892945471923,0.008966741571202863,-0.020724099082872274,0.002126507051289084
10,34,9,-0.002902659998659777,-0.0006429998912721733,-0.0022596601073876037,0.008988036494702117,-0.02069535776972771,0.0020663856714963624
10,35,10,0.0,0.0,0.0,0.009048889204859745,-0.02074131430126727,0.0020060916617512525
10,36,11,-0.03504089285241238,-0.047489159647284285,0.012448266794871904,0.009125566296279447,-0.020803175494074823,0.0019431220740079858
10,37,12,-0.0006021368481327473,-0.0005897778453005106,-1.2359002832236705e-05,0.009211149346083386,-0.020790370367467403,0.0018518804386258303
10,38,13,-0.017892275610641377,-0.013480460618125543,-0.004411814992515833,0.009307315014302736,-0.020764038339257242,0.0017327296733856135
10,39,14,0.011746435672079558,-0.020319077457883528,0.032065513129963086,0.009489072579890512,-0.020985441096127037,0.001706216819584383
10,40,15,-0.12997315945572996,-0.13994848998377135,0.009975330528041393,0.009767898544669168,-0.02125706002116203,0.001632576454430823
20,0,0,0.1750464535831524,-0.30271683239520053,0.47776328597835294,0.0011403648182749804,-0.019809867069125176,0.0017958573997021166
20,1,1,0.1687291163398612,-0.018664169535925534,0.18739328587578674,0.0010795112699270304,-0.019814329221844673,0.0017723558843136256
20,2,2,0.06670772069144448,-0.12679110565668572,0.1934988263481302,0.0010745573788881468,-0.019682539254426958,0.0017723970115184895
