update,beta,policy_step,episode_step,state_sim_time_s,reward_cost_traction,established_contact_time_s,established_contact_samples,traction_cost_time_sum_delta_s,reconstructed_cost_traction,reconstruction_abs_error,FL_contact_samples,FR_contact_samples,RL_contact_samples,RR_contact_samples,source_log
40,stability,35,41,8.2,0.0,0.40000000000048885,200,0.0,0.0,0.0,0,100,100,0,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/stability/low_friction/episode_0000.jsonl
40,stability,36,42,8.4,0.19518585314413178,0.4660000000005695,233,0.09095660756527657,0.19518585314413178,0.0,83,63,65,79,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/stability/low_friction/episode_0000.jsonl
40,stability,37,43,8.6,0.0006386718840848371,0.40000000000048885,200,0.00025546875363424704,0.0006386718840848371,0.0,100,11,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/stability/low_friction/episode_0000.jsonl
40,energy,0,6,1.2,3.896023146491392,0.27399999999999247,137,1.067510342138612,3.896023146491392,0.0,57,65,86,46,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,1,7,1.4000000000000001,1.7093414308012118,0.39999999999995595,200,0.6837365723204094,1.7093414308012118,0.0,100,0,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,2,8,1.6,0.16703337715587593,0.4319999999999524,216,0.07215841893133046,0.16703337715587593,0.0,67,79,72,69,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,3,9,1.8,0.0,0.39999999999995595,200,0.0,0.0,0.0,0,100,100,12,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,4,10,2.0,0.05128304458964345,0.5419999999999403,271,0.02779541016758369,0.05128304458964345,0.0,97,49,51,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,5,11,2.2,0.046652100123670576,0.4319999999999524,216,0.02015370725342347,0.046652100123670576,0.0,100,36,20,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,6,12,2.4,0.015985675951377943,0.5139999999999434,257,0.008216637439007357,0.015985675951377943,0.0,28,100,100,29,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,7,13,2.6,0.15480874558590543,0.4919999999999458,246,0.07616590282825708,0.15480874558590543,0.0,44,100,100,42,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,8,14,2.8000000000000003,0.020075665774421173,0.42799999999995286,214,0.008592384951451315,0.020075665774421173,0.0,100,6,8,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,9,15,3.0,0.003465619432917906,0.5119999999999436,256,0.0017743971496537725,0.003465619432917906,0.0,86,67,56,87,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,10,16,3.2,0.0,0.39999999999995595,200,0.0,0.0,0.0,0,100,100,0,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
40,energy,11,17,3.4,0.24941238633162977,0.45399999999995,227,0.11323322339454744,0.24941238633162977,0.0,82,62,65,78,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u40/env_logs/energy/low_friction/episode_0000.jsonl
