update,beta,policy_step,bin_index,contact_time_s,contact_samples,speed_time_sum_m,speed_sq_time_sum_m2ps,interval_mean_mps,interval_rms_mps,metadata_json
10,balanced,0,0,0.08800000000000008,44,0.07721513932130505,0.09523733287470475,0.8774447650148294,1.040308809455507,"{""high_s"":0.01,""low_s"":0.0}"
10,balanced,0,1,0.09200000000000008,46,0.05440648160981554,0.05587542495780805,0.5913748001066901,0.7793212274975883,"{""high_s"":0.02,""low_s"":0.01}"
10,balanced,0,2,0.06000000000000005,30,0.02478629941682349,0.020723766210606863,0.41310499028039116,0.5877040951959702,"{""high_s"":0.03,""low_s"":0.02}"
10,balanced,0,3,0.028000000000000025,14,0.002395617259522531,0.00030136490416001957,0.08555775926866176,0.10374503502061803,"{""high_s"":0.04,""low_s"":0.03}"
10,balanced,0,4,0.020000000000000018,10,0.0008141215666888219,5.235943255716899e-05,0.04070607833444106,0.051166117967444504,"{""high_s"":0.05,""low_s"":0.04}"
10,balanced,0,5,0.020000000000000018,10,0.0003038962579260066,6.214433600675376e-06,0.015194812896300317,0.017627299283604635,"{""high_s"":0.06,""low_s"":0.05}"
10,balanced,0,6,0.020000000000000018,10,0.0001177201548022231,7.581647680854689e-07,0.00588600774011115,0.006156966656095631,"{""high_s"":0.07,""low_s"":0.06}"
10,balanced,0,7,0.020000000000000018,10,7.011155480445702e-05,2.875508763591425e-07,0.003505577740222848,0.0037917731759636035,"{""high_s"":0.08,""low_s"":0.07}"
10,balanced,0,8,0.020000000000000018,10,6.206612825338138e-05,2.9506452024633326e-07,0.0031033064126690666,0.0038409928420027875,"{""high_s"":0.09,""low_s"":0.08}"
10,balanced,0,9,0.020000000000000018,10,0.0003699561715165174,3.0378014729166847e-05,0.018497808575825853,0.03897307707197805,"{""high_s"":0.1,""low_s"":0.09}"
10,balanced,0,10,0.13200000000000012,66,0.036986878791536254,0.021392825904271086,0.28020362720860775,0.40257528850035545,"{""high_s"":null,""low_s"":0.1}"
10,balanced,1,0,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.01,""low_s"":0.0}"
10,balanced,1,1,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.02,""low_s"":0.01}"
10,balanced,1,2,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.03,""low_s"":0.02}"
10,balanced,1,3,0.0020000000000000018,1,5.707865923947064e-05,1.6289866702871858e-06,0.028539329619735297,0.028539329619729895,"{""high_s"":0.04,""low_s"":0.03}"
10,balanced,1,4,0.010000000000000009,5,0.0001519221010679063,2.5402617497265884e-06,0.015192210106790616,0.015938198611281595,"{""high_s"":0.05,""low_s"":0.04}"
10,balanced,1,5,0.010000000000000009,5,4.792268696388914e-05,2.585942926744758e-07,0.00479226869638891,0.005085216737509578,"{""high_s"":0.06,""low_s"":0.05}"
10,balanced,1,6,0.010000000000000009,5,2.804290337291883e-05,1.4709905257455705e-07,0.0028042903372918803,0.0038353494309457245,"{""high_s"":0.07,""low_s"":0.06}"
10,balanced,1,7,0.010000000000000009,5,6.393131216383963e-05,4.1575215936270893e-07,0.006393131216383957,0.0064478846094103495,"{""high_s"":0.08,""low_s"":0.07}"
10,balanced,1,8,0.010000000000000009,5,7.858948393009262e-05,6.186904213862678e-07,0.007858948393009255,0.007865687645630655,"{""high_s"":0.09,""low_s"":0.08}"
10,balanced,1,9,0.010000000000000009,5,9.417251614922233e-05,8.876291577595077e-07,0.009417251614922224,0.009421407313981849,"{""high_s"":0.1,""low_s"":0.09}"
10,balanced,1,10,0.3340000000000003,167,0.026340995907970677,0.019048296488092732,0.07886525720949297,0.23881128073996175,"{""high_s"":null,""low_s"":0.1}"
10,balanced,2,0,0.06400000000000006,32,0.06676277034862749,0.09240602925521443,1.0431682866973035,1.2016006853829289,"{""high_s"":0.01,""low_s"":0.0}"
10,balanced,2,1,0.04800000000000004,24,0.033001073792384594,0.035107488639382844,0.6875223706746785,0.8552227857818542,"{""high_s"":0.02,""low_s"":0.01}"
10,balanced,2,2,0.040000000000000036,20,0.013841462159866133,0.00765845478931261,0.346036553996653,0.43756298944587974,"{""high_s"":0.03,""low_s"":0.02}"
10,balanced,2,3,0.040000000000000036,20,0.008997356764341921,0.004736219952325513,0.22493391910854782,0.34410100088220863,"{""high_s"":0.04,""low_s"":0.03}"
10,balanced,2,4,0.03600000000000003,18,0.004132241091529296,0.0019096405033070998,0.11478447476470258,0.23031623810818957,"{""high_s"":0.05,""low_s"":0.04}"
10,balanced,2,5,0.030000000000000027,15,0.0002616046343553325,3.7903618791143914e-06,0.008720154478511075,0.011240346790490035,"{""high_s"":0.06,""low_s"":0.05}"
10,balanced,2,6,0.030000000000000027,15,0.00010322041781305955,6.225207501947376e-07,0.0034406805937686486,0.004555292709931811,"{""high_s"":0.07,""low_s"":0.06}"
10,balanced,2,7,0.030000000000000027,15,8.398952948544466e-05,5.419157757466375e-07,0.002799650982848153,0.004250159901880701,"{""high_s"":0.08,""low_s"":0.07}"
10,balanced,2,8,0.030000000000000027,15,0.0001994078239883519,4.826866217826509e-06,0.006646927466278391,0.012684460595319646,"{""high_s"":0.09,""low_s"":0.08}"
10,balanced,2,9,0.020000000000000018,10,0.00011172929489377571,3.763665716468006e-06,0.0055864647446887804,0.013717991318826533,"{""high_s"":0.1,""low_s"":0.09}"
10,balanced,2,10,0.18800000000000017,94,0.011046989719941946,0.0013360360293710877,0.05876058361671243,0.08430050192207808,"{""high_s"":null,""low_s"":0.1}"
10,balanced,3,0,0.0020000000000000018,1,0.0006613823786220385,0.0002187133253758744,0.330691189311019,0.3306911893110204,"{""high_s"":0.01,""low_s"":0.0}"
10,balanced,3,1,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.02,""low_s"":0.01}"
10,balanced,3,2,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.03,""low_s"":0.02}"
10,balanced,3,3,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.04,""low_s"":0.03}"
10,balanced,3,4,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.05,""low_s"":0.04}"
10,balanced,3,5,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.06,""low_s"":0.05}"
10,balanced,3,6,0.0,0,0.0,0.0,nan,nan,"{""high_s"":0.07,""low_s"":0.06}"
