beta_name,terrain_label,seed,success,policy_steps,mean_cost_motion,mean_cost_stability,mean_cost_energy,mean_cost_traction,mean_applied_vx,mean_applied_yaw_rate,mean_applied_body_height,mean_requested_norm_vx,mean_requested_norm_yaw,mean_requested_norm_height,episode_jsonl
balanced,flat,27100,True,38,0.22204686327628229,0.01162808929278536,0.5133582389660732,3.936496894482768e-06,0.21359411542745013,-0.0013976017625904398,0.2980554692074656,0.06797057713725065,-0.003494004406476099,-0.03240884654223919,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/flat/episode_0000.jsonl
balanced,flat,27101,True,38,0.22204686327628229,0.01162808929278536,0.5133582389660732,3.936496894482768e-06,0.21359411542745013,-0.0013976017625904398,0.2980554692074656,0.06797057713725065,-0.003494004406476099,-0.03240884654223919,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/flat/episode_0001.jsonl
balanced,flat,27102,True,38,0.22204686327628229,0.01162808929278536,0.5133582389660732,3.936496894482768e-06,0.21359411542745013,-0.0013976017625904398,0.2980554692074656,0.06797057713725065,-0.003494004406476099,-0.03240884654223919,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/flat/episode_0002.jsonl
balanced,low_friction,27200,True,38,0.22654064270826413,0.729664496323737,0.5549508180488122,0.7246374037536754,0.21011938803682204,0.005410756423187099,0.29873830053685724,0.05059694018411009,0.013526891057967748,-0.021028324385712806,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/low_friction/episode_0000.jsonl
balanced,low_friction,27201,True,38,0.22654064270826413,0.729664496323737,0.5549508180488122,0.7246374037536754,0.21011938803682204,0.005410756423187099,0.29873830053685724,0.05059694018411009,0.013526891057967748,-0.021028324385712806,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/low_friction/episode_0001.jsonl
balanced,low_friction,27202,True,38,0.22654064270826413,0.729664496323737,0.5549508180488122,0.7246374037536754,0.21011938803682204,0.005410756423187099,0.29873830053685724,0.05059694018411009,0.013526891057967748,-0.021028324385712806,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/low_friction/episode_0002.jsonl
balanced,rough,13,True,37,0.21998378003336952,0.24658492002516424,0.7545128185798136,0.034421432716814096,0.21227520168633077,0.008937499083175853,0.2984527323807816,0.061376008431653716,0.02234374770793963,-0.025787793653639587,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/rough/episode_0000.jsonl
balanced,rough,7,True,38,0.22165356141781453,0.11744442033014309,0.6747111682778468,0.019446668762442422,0.21304811229439158,0.008833381438039635,0.29836819845153706,0.0652405614719579,0.022083453595099087,-0.02719669247438249,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/rough/episode_0001.jsonl
balanced,rough,15,True,37,0.22008101313711234,0.21364739689398607,0.7858243267417511,0.024568681503173092,0.21231930304217983,0.007983344374224544,0.29830593258343835,0.06159651521089915,0.01995836093556136,-0.02823445694269361,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/balanced/rough/episode_0002.jsonl
motion,flat,27100,True,38,0.22017974704125134,0.011587935648062514,0.5151429447351058,3.86879622369049e-06,0.21522743521552337,-0.00203615181687239,0.297814196615823,0.07613717607761684,-0.0050903795421809745,-0.03643005640294991,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/flat/episode_0000.jsonl
motion,flat,27101,True,38,0.22017974704125134,0.011587935648062514,0.5151429447351058,3.86879622369049e-06,0.21522743521552337,-0.00203615181687239,0.297814196615823,0.07613717607761684,-0.0050903795421809745,-0.03643005640294991,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/flat/episode_0001.jsonl
motion,flat,27102,True,38,0.22017974704125134,0.011587935648062514,0.5151429447351058,3.86879622369049e-06,0.21522743521552337,-0.00203615181687239,0.297814196615823,0.07613717607761684,-0.0050903795421809745,-0.03643005640294991,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/flat/episode_0002.jsonl
motion,low_friction,27200,True,38,0.22462255264956746,0.7274257311402266,0.5575517235614941,0.7224748275575603,0.21185421284876374,0.0047309621270917555,0.2984598420898577,0.05927106424381858,0.011827405317729389,-0.0256692985023715,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/low_friction/episode_0000.jsonl
motion,low_friction,27201,True,38,0.22462255264956746,0.7274257311402266,0.5575517235614941,0.7224748275575603,0.21185421284876374,0.0047309621270917555,0.2984598420898577,0.05927106424381858,0.011827405317729389,-0.0256692985023715,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/low_friction/episode_0001.jsonl
motion,low_friction,27202,True,38,0.22462255264956746,0.7274257311402266,0.5575517235614941,0.7224748275575603,0.21185421284876374,0.0047309621270917555,0.2984598420898577,0.05927106424381858,0.011827405317729389,-0.0256692985023715,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/low_friction/episode_0002.jsonl
motion,rough,13,True,37,0.21756319737111735,0.24745721928404513,0.7666869697139154,0.03817540501903174,0.21415727368077717,0.008491973723662463,0.29815106853288975,0.07078636840388582,0.021229934309156158,-0.030815524451837346,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/rough/episode_0000.jsonl
motion,rough,7,True,38,0.21955446539791698,0.11607356618991317,0.6815407457056653,0.018998694476405665,0.21496031711760322,0.008370495711355225,0.2980622930236553,0.07480158558801601,0.020926239278388062,-0.03229511627241185,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/rough/episode_0001.jsonl
motion,rough,15,True,37,0.21978675087695962,0.20206761765022996,0.7823046097238413,0.019136287752809324,0.21413311255542009,0.00746890412190476,0.29801367720135963,0.07066556277710039,0.0186722603047619,-0.03310537997733902,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/motion/rough/episode_0002.jsonl
stability,flat,27100,True,38,0.22125968793754708,0.011660638384210087,0.51381594696328,3.86358003694649e-06,0.21421750178070445,-0.003540676086528325,0.29760530666007023,0.07108750890352224,-0.008851690216320813,-0.039911555665496146,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/flat/episode_0000.jsonl
stability,flat,27101,True,38,0.22125968793754708,0.011660638384210087,0.51381594696328,3.86358003694649e-06,0.21421750178070445,-0.003540676086528325,0.29760530666007023,0.07108750890352224,-0.008851690216320813,-0.039911555665496146,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/flat/episode_0001.jsonl
stability,flat,27102,True,38,0.22125968793754708,0.011660638384210087,0.51381594696328,3.86358003694649e-06,0.21421750178070445,-0.003540676086528325,0.29760530666007023,0.07108750890352224,-0.008851690216320813,-0.039911555665496146,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/flat/episode_0002.jsonl
stability,low_friction,27200,True,38,0.2254699239715777,0.724218237779293,0.5564181768282335,0.719243514368447,0.21111857477379473,0.0032235504599827294,0.2982222414541205,0.05559287386897363,0.008058876149956823,-0.029629309097991177,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/low_friction/episode_0000.jsonl
stability,low_friction,27201,True,38,0.2254699239715777,0.724218237779293,0.5564181768282335,0.719243514368447,0.21111857477379473,0.0032235504599827294,0.2982222414541205,0.05559287386897363,0.008058876149956823,-0.029629309097991177,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/low_friction/episode_0001.jsonl
stability,low_friction,27202,True,38,0.2254699239715777,0.724218237779293,0.5564181768282335,0.719243514368447,0.21111857477379473,0.0032235504599827294,0.2982222414541205,0.05559287386897363,0.008058876149956823,-0.029629309097991177,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/low_friction/episode_0002.jsonl
stability,rough,13,True,37,0.21904890324722226,0.23989768284847504,0.7597767296474673,0.03534995908995604,0.21353602413390135,0.0069520892801921115,0.2978981623758335,0.0676801206695067,0.01738022320048028,-0.035030627069441045,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/rough/episode_0000.jsonl
stability,rough,7,True,38,0.2205986658923718,0.11655184498473281,0.6774914356120775,0.018916375092137422,0.2143415172633372,0.006843747088906209,0.2978149798561476,0.07170758631668593,0.017109367722265522,-0.036417002397540366,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/os_t4p8d_v4_lockstep_checkpoint_sweep_v0/train9/u30/env_logs/stability/rough/episode_0001.jsonl
