pca_dim,is_k90,is_k95,is_k99,is_full_rank,cumulative_explained_variance,context_response_pearson,nearest_exact_accuracy,nearest_score_excess_mean,nearest_score_excess_median,nearest_score_excess_p95,nearest_score_excess_max,nearest_score_excess_le_0p05_fraction
2,0,0,0,0,0.7836762426409948,0.3510007632129301,0.07333333333333333,0.8372705612064815,0.3220178140563957,2.5013628544789674,27.168985422575137,0.18222222222222223
3,0,0,0,0,0.8552980947752995,0.36962438350577603,0.14888888888888888,0.8119731315155015,0.2240240725855988,2.2216795705482557,34.145336136065595,0.2644444444444444
4,1,0,0,0,0.9100765576503818,0.36838734262517225,0.10444444444444445,0.8841300932871348,0.3680722691119265,2.157961643985759,34.145336136065595,0.17555555555555555
5,0,0,0,0,0.940885262299344,0.36773527321796606,0.12444444444444444,0.8850193998069081,0.3154465158837166,2.2448784297677413,34.145336136065595,0.20222222222222222
6,0,1,0,0,0.9600328230021483,0.3667040277864754,0.1288888888888889,0.8705639265108698,0.2988931633251663,2.2448784297677413,34.145336136065595,0.20666666666666667
11,0,0,1,0,0.992342433309258,0.36883179624921386,0.12222222222222222,0.8906468218729763,0.31526840339367956,2.2448784297677413,34.145336136065595,0.19333333333333333
17,0,0,0,1,0.9999999999999999,0.3695351027004072,0.12222222222222222,0.8906468218729763,0.31526840339367956,2.2448784297677413,34.145336136065595,0.19333333333333333
