pca_dim,test_context,nearest_context,pca_distance,preference_name,transferred_beta_name,oracle_beta_name,exact,score_excess
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm020_ws000_we080,lm020_ls060_le020,lm020_ls020_le060,0,0.2773899087197262
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm000_ws100_we000,lm060_ls000_le040,lm020_ls020_le060,0,1.01
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm000_ws080_we020,lm100_ls000_le000,lm020_ls020_le060,0,0.4569764740858468
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm000_ws060_we040,lm100_ls000_le000,lm020_ls020_le060,0,0.34466174467463356
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm000_ws040_we060,lm100_ls000_le000,lm020_ls020_le060,0,0.46993853895194126
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm000_ws020_we080,lm020_ls060_le020,lm020_ls020_le060,0,0.4802725503166991
2,rough_seed_7,rough_seed_17,0.012038066100196069,wm000_ws000_we100,lm020_ls060_le020,lm020_ls020_le060,0,0.5984810906930279
2,rough_seed_7,rough_seed_17,0.012038066100196069,balanced,lm100_ls000_le000,lm000_ls060_le040,0,0.03784085474337451
2,rough_seed_7,rough_seed_17,0.012038066100196069,motion,lm100_ls000_le000,lm000_ls100_le000,0,0.007110061757766156
2,rough_seed_7,rough_seed_17,0.012038066100196069,stability,lm100_ls000_le000,lm020_ls020_le060,0,0.24816147591409102
2,rough_seed_7,rough_seed_17,0.012038066100196069,energy,lm020_ls060_le020,lm020_ls020_le060,0,0.26900629893080497
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm100_ws000_we000,lm000_ls100_le000,lm040_ls060_le000,0,0.04334695684378129
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm080_ws020_we000,lm000_ls100_le000,lm080_ls020_le000,0,0.1004391414930495
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm080_ws000_we020,lm000_ls100_le000,lm020_ls060_le020,0,0.11864741217035818
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm060_ws040_we000,lm000_ls100_le000,lm060_ls040_le000,0,0.259451905567282
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm060_ws020_we020,lm000_ls100_le000,lm060_ls040_le000,0,0.0993409806749303
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm060_ws000_we040,lm000_ls100_le000,lm000_ls080_le020,0,0.2382998414550778
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm040_ws060_we000,lm040_ls040_le020,lm060_ls040_le000,0,0.3897739338756264
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm040_ws040_we020,lm000_ls100_le000,lm060_ls040_le000,0,0.26038466038256025
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm040_ws020_we040,lm000_ls100_le000,lm000_ls080_le020,0,0.2250782862651057
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm040_ws000_we060,lm000_ls100_le000,lm000_ls080_le020,0,0.44369882791500276
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm020_ws080_we000,lm040_ls040_le020,lm000_ls060_le040,0,0.6165182729935832
2,rough_seed_15,rough_seed_18,0.0066174734377557245,wm020_ws060_we020,lm040_ls040_le020,lm020_ls040_le040,0,0.4531147233326407
