mixture_id,terrain,mission,exact_context_count,pair_count,js_mean_nats,js_median_nats,js_q90_nats,js_max_nats,overlap_mean,overlap_median,overlap_min,kl_to_mixture_mean_nats,kl_to_mixture_median_nats,kl_to_mixture_max_nats,exact_entropy_norm_mean,mixture_entropy_norm,mixture_mean_motion,mixture_mean_stability,mixture_mean_energy,posterior_mean_l2_dispersion_mean,posterior_mean_l2_dispersion_max,mean_beta_motion_min,mean_beta_motion_max,mean_beta_stability_min,mean_beta_stability_max,mean_beta_energy_min,mean_beta_energy_max
0,flat,efficient,18,153,0.013712219792343371,0.008082270952451688,0.03076971740065016,0.07470218827922223,0.8999268655912658,0.9168490928668263,0.7120711513315516,0.02753505373574536,0.013598077172333987,0.10978760756886569,0.9188511687451941,0.9220727935316936,0.15314484681772378,0.26372764305554386,0.5831275091476974,0.03315761465998149,0.08556452997830345,0.11684897905054485,0.19728814723635338,0.2369693097331025,0.2957490610698288,0.5141605374222399,0.6242013990650286
1,flat,fast,18,153,0.21230729841004636,0.20042137386088998,0.4176055145656268,0.5118009868355473,0.5228259066944266,0.4864040395767254,0.1475126553927028,0.43474306521598294,0.4159449971060445,0.8487754380701165,0.8891103899621591,0.9399756999981319,0.4833879733286868,0.3829654903426811,0.13364653548918506,0.22003770266429543,0.318723352491487,0.27015535780357736,0.7084774069832038,0.21402239323589106,0.6222437661208841,0.06969034718851036,0.28325392302375957
2,flat,stable,18,153,0.07046237585136121,0.02462071996744171,0.3270990897086986,0.5118009868355473,0.781459824945857,0.8348992201172183,0.1475126553927028,0.1536880484346323,0.07215232804361611,1.5771236101150876,0.8611764619475706,0.8791580947451089,0.6481541992135195,0.2505274205005556,0.10131837954685075,0.06326739580683927,0.3545841404454116,0.3589191776979792,0.7097789991927226,0.21298147122851424,0.40620309271750227,0.06969034718851036,0.23487772972437154
3,low_friction,efficient,18,153,0.023503841571721494,0.013315141730465711,0.058923467717446346,0.12413639987994347,0.8647884744793304,0.888260634530046,0.6172421678004919,0.04738123921601642,0.031203137836483482,0.15359559114586063,0.9107438549952047,0.9162875004993212,0.14953140580318613,0.24961139658171047,0.6008571966854277,0.04651668677716219,0.11337128808278038,0.11109485769351754,0.20129578304344656,0.21884391440852322,0.29018867985806246,0.5085155360113993,0.6700612286228405
4,low_friction,fast,18,153,0.16547579816314092,0.11384527180171597,0.39155152800726845,0.49497536720357577,0.5943697920712446,0.6146151382970442,0.16366760106050188,0.33466624978852816,0.22348135593979263,0.8104454696030526,0.8845969712547307,0.9237532081879053,0.5768648871386515,0.28416556266601206,0.13896954935748038,0.13560988628981988,0.3208659967190553,0.34322339278536007,0.6965023953155384,0.22232934590715528,0.5036324642188168,0.06508269965807051,0.2804748416387991
5,low_friction,stable,18,153,0.17905420381865647,0.14179611463747305,0.41759982114688776,0.615953430274704,0.5658406514482297,0.5581270755451775,0.05878579844338547,0.3919610459956287,0.2906691424907184,1.6216014776449321,0.8748050012385652,0.9206647786227036,0.5235370618906037,0.36627398587426946,0.11018895129496177,0.18312415923990993,0.43473317923880034,0.16866824303290703,0.7193279714012872,0.22315565550861502,0.5398028324551644,0.04886899625863099,0.29451971748969885
6,rough_perlin,efficient,18,153,0.08332775703290642,0.06676241049348014,0.18455920801739673,0.3152617418670162,0.7237055643242839,0.7490369308535141,0.33402765761087566,0.175050432146148,0.12057654916100514,0.6580373490342978,0.9138630049312788,0.934344055029006,0.1621803289470557,0.2644429475809317,0.5733767225611511,0.10668691567001985,0.24789184729188748,0.10432759309440164,0.3381609007282025,0.11719252714101758,0.39752302977593734,0.4366154031925262,0.7672648502499407
7,rough_perlin,fast,18,153,0.1258805162229047,0.09419919113243824,0.2558130319151578,0.3881339161243127,0.6362990834337792,0.662490917439194,0.2535704398573602,0.27083154708023155,0.25988370123014326,0.8077594487540838,0.8613184263798604,0.8930059490539038,0.6356475196254591,0.24867317547913312,0.1156793041564813,0.11769261653868877,0.2612359113643034,0.4374170912325501,0.769792371685283,0.15716830315829014,0.40214636738769083,0.06103885313094883,0.28298999976729916
8,rough_perlin,stable,18,153,0.3075785632411373,0.28329214975031775,0.5577301111822133,0.6264400667919263,0.3956221188675378,0.39321180033276537,0.04630851676843165,0.6507222352528365,0.6570764668274856,1.0233944048746635,0.8971819126891634,0.9733169699307669,0.253956856453862,0.4931194121824229,0.252923730510033,0.25304186415448043,0.37607677433730474,0.11727209855955145,0.5475948597933656,0.2685224426136882,0.7294113179957883,0.04557867687804541,0.5372363927562946
