context_name,terrain,seed,friction_mu,height_std_m,height_relief_p95_p05_m,slope_rms,slope_q95,start_x_m,start_y_m,start_yaw_rad,goal_x_m,goal_y_m,corridor_cells,hfield_rows,hfield_cols,hfield_dx_m,hfield_dy_m,hfield_elevation_scale_m,geometry_sha256
flat,flat,,0.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,
low_friction,low_friction,,0.152,0.0,0.0,0.0,0.0,,,,,,,,,,,,
rough_perlin_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,10.485357813748866,9.742106541400547,-2.392918857385462,10.11906170521561,9.401772645243561,39,128,128,0.22047244094488191,0.22047244094488191,0.56,369a851935928958a3fb85c2f0b570e3a4cd84cc3a30e786f8f4b8e5d6a609bd
rough_perlin_seed_7,rough_perlin,7,0.8,0.05006112014961697,0.1443606530427933,0.1386379300857214,0.20846310682149058,-9.16447523203687,8.217004199188606,-0.7309454735721689,-8.792203451157068,7.883217259419265,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_15,rough_perlin,15,0.8,0.033668027269248404,0.10947541284561157,0.10763443488941303,0.17170709514576932,-0.21762295382829788,-9.968860530852025,1.5489726892882194,-0.2067120012184181,-9.468979593914893,44,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_0,rough_perlin,0,0.8,0.026368483377369616,0.07573769807815556,0.08449867816189084,0.13320365329115583,8.550653174903067,-3.1342309127439734,2.7902504866320035,8.081197354513112,-2.962151766122444,36,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_5,rough_perlin,5,0.8,0.02317663501484346,0.07413114428520198,0.1180151299676271,0.19476002024890582,3.8625673607505546,7.970719344607342,-2.022042701520121,3.644523615509614,7.520767208084685,40,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_11,rough_perlin,11,0.8,0.02459570405162434,0.07298359632492063,0.09309308845507393,0.1549624611215708,8.69878868696783,9.319449255831977,-2.321758994750421,8.357617278220511,8.953933086759568,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_4,rough_perlin,4,0.8,0.0264734129712008,0.0931803194284439,0.09900152213709452,0.15746095549265768,7.321094712374686,9.521151825826527,-2.2263034967562487,7.01631402484727,9.124782386401241,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_25,rough_perlin,25,0.8,0.021486843059416134,0.0697705087661743,0.08482925477643183,0.1391176789426475,-0.3190760736787256,-1.3227933762445019,1.3341066427955992,-0.20183312654616278,-0.8367336151577904,37,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_12,rough_perlin,12,0.8,0.05465448676007577,0.17121311593055727,0.14593325689891912,0.2303823656054781,4.258293579026191,-3.840539322351291,2.407732592594281,3.88699622917549,-3.5056687831964615,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_6,rough_perlin,6,0.8,0.022048422597436352,0.07022949624061586,0.10483539933948723,0.1716689589890907,-4.6845517935721155,-0.9169854323029576,0.19329901473468325,-4.193863871494966,-0.8209366783932387,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
rough_perlin_seed_29,rough_perlin,29,0.8,0.024322829065960914,0.07481968307495118,0.09569934040782421,0.1504421251812541,0.3420706100771304,-3.6416574552642857,1.6644502147260145,0.2953120896808141,-3.1438486156778964,35,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80
