context,baseline_rows,active_rows,baseline_mean_abs_y,active_mean_abs_y,delta_mean_abs_y,baseline_max_abs_y,active_max_abs_y,delta_max_abs_y,baseline_ref_vx_mean,active_ref_vx_mean,baseline_cmd_vx_mean,active_cmd_vx_mean,baseline_cmd_clearance_mean,active_cmd_clearance_mean,baseline_gate_accept_rate,active_j7_accept_rate,active_projected_rate,active_failsafe_rate
downslope,484,485,0.23456213289612632,0.13274381797198528,-0.10181831492414103,0.3779549226681925,0.21396540405710673,-0.16398951861108574,0.20250516528925622,0.20250515463917526,0.20485177790402873,0.2025,0.04501649215200426,0.045,1.0,0.0,0.0,0.0
flat,437,392,0.023857317635739984,0.04711488620690102,0.023257568571161034,0.07945096642609818,0.0811443618475494,0.0016933954214512215,0.21,0.21,0.2113403920391831,0.21997619047619046,0.04500669152262288,0.04200714285714286,0.9770642201834863,0.9976190476190476,0.9976190476190476,0.0
goal_flat,330,344,0.4075215292598342,0.13584859432374588,-0.27167293493608835,0.435303206028302,0.16508741536578297,-0.27021579066251905,0.03145454545454546,0.030159883720930234,0.03143504531722054,0.02800847457627119,0.045,0.045,0.0,0.0,0.0,0.40508474576271186
rough,423,452,0.11426796759184761,0.10068784296019849,-0.013580124631649121,0.17106559651589107,0.22821334331921853,0.05714774680332746,0.20501182033096926,0.20501106194690263,0.19928392068957382,0.2050110375275938,0.05450947080229251,0.054977924944812365,0.9976415094339622,0.0,0.0,0.0
unknown,0,0,,,,,,,,,,0.19318181818181818,,0.045,,0.0,0.0,0.09090909090909091
upslope,451,455,0.12714871106118492,0.06653741176613683,-0.06061129929504809,0.16891864096703577,0.08954265884759019,-0.07937598211944558,0.21,0.21,0.2022241123909432,0.20164052863436124,0.044727708385418896,0.04898458149779736,0.9866962305986696,1.0,1.0,0.0
