beta_axis,physical_objective,median_spearman_rho,mean_spearman_rho,negative_contexts,positive_contexts,zero_contexts,abs_median_rho
motion,motion,-0.5657772650977368,-0.5331291827168201,9,0,0,0.5657772650977368
motion,stability,0.18571821128647864,0.18166483762744837,3,6,0,0.18571821128647864
motion,energy,0.05173578742980477,0.05615764960329236,4,5,0,0.05173578742980477
stability,motion,-0.3415888529019161,-0.35212762441539486,9,0,0,0.3415888529019161
stability,stability,0.37541609852909613,0.2678174523075649,2,7,0,0.37541609852909613
stability,energy,-0.33362950098963845,-0.2249990869276267,7,2,0,0.33362950098963845
energy,motion,0.9770084209183943,0.930853450164502,0,9,0,0.9770084209183943
energy,stability,-0.7324239998993678,-0.48274407010911147,7,2,0,0.7324239998993678
energy,energy,0.27116968417326864,0.1407541988110703,3,6,0,0.27116968417326864
